# tr_p_max_fm: 8.0
# sigma_grid_n: 60
# provenance.equilibrium_backend: models.solve_constraint(FixedMu) with phase-aware xi/T continuity
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# tau_p_nodes: 20
# tau_interpolation_mode: linear
# gc_every_n: 5
# tau_threshold_subtraction: true
# tau_asym_extra_points: 10
# note.tau_threshold_hint: for near-threshold sharp channels, linear+threshold_subtraction often more robust than pchip
# script: scripts/relaxtime/run_gap_transport_scan.jl
# tau_phi_nodes: 8
# tau_asym_window: 0.6
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# git_commit: 689c8aaf02a1189a19b5de2e76cfbd385aa52c35
# tau_n_sigma_points: 6
# y_label.zeta_over_s_over_eta_over_s: (ζ/s)/(η/s)
# provenance.integration_mode: semi_infinite
# tau_asym_fit_min_points: 8
# y_label.sigma_over_T_over_eta_over_s: (σ/T)/(η/s)
# tr_p_nodes: 24
# integration_mode: semi_infinite
# title: gap_transport_scan
# tau_angle_nodes: 4
# y_label.sigma_over_T: σ/T
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,equilibrium_backend,seed_source,phase_prev,phase_curr,phase_structure,phase_boundary_xi_used,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,omega_fm4inv,P_fm4inv,epsilon_fm4inv,s_fm3inv,omega_MeV_fm3,P_MeV_fm3,epsilon_MeV_fm3,eps_minus_3P_over_T4,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta,eta_over_s,zeta_over_s,sigma_over_T,sigma_over_T_over_eta_over_s,zeta_over_s_over_eta_over_s,quality_flag,quality_reason,quality_metric,run_id
53.45412858192915,345.14682908713536,1035.4404872614061,-0.5,0.2708911294014265,1.7491111878745162,true,0,3.693334342513012e-16,models,phase_aware_default_quark,unknown,quark,first_order_possible,-0.5,0.08895042615892557,0.11437681292571279,0.11592519065372858,0.11592519065372867,2.34271822774908,0.5389168864607116,3.368230540379447,-21.744042050198413,21.744042050198413,-18.869926687133372,0.6139635949015139,-4290.686159456278,4290.686159456278,-3723.5456535414037,-15618.073456764301,0.8065447468098893,0.8065447468098893,0.003667055773373802,2.9397405336559334e-6,2.9397405336559325e-6,1.0529950168025563e-8,43.34728089500004,43.34728089500004,16.46801681943739,0.5332969055620599,0.5332969055620599,11.376304108766341,0.023069497771320335,0.023069497771320335,0.060723766010469964,1.87512807513118,1.87512807513118,0.08790201021695798,23.723226272567505,0.6293788434839894,NaN,38.63946733905771,NaN,2.3233645371655167,0.06012931070654288,NaN,true,tau_u_ubar_ratio_high,81.281703386812,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.48,0.2708911294014265,1.7491111878745162,true,0,9.418354378795503e-16,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.5,0.08798239340705201,0.11344789483243103,0.12352390910230457,0.12352390910230462,2.3430280260875818,0.5278507597669087,3.299067248543179,-21.728194552864405,21.728194552864405,-18.92182416746875,0.6066341978209178,-4287.559020660461,4287.559020660461,-3733.7864266263523,-15618.882194784346,0.7900015635487434,0.7900015635487434,0.0035548492679560208,2.8434165241990625e-6,2.8434165241990625e-6,1.023166845338736e-8,53.34111381661282,53.34111381661282,17.562869936358467,0.409331875432108,0.409331875432108,12.02708063434305,0.01874726507282934,0.01874726507282934,0.05693830243141587,2.443005443796327,2.443005443796327,0.08314569681561153,27.3474878751251,0.744434347128174,NaN,45.08068943913751,NaN,2.7480942206306658,0.060959454143681854,NaN,true,tau_u_ubar_ratio_high,130.3126314321446,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.46,0.2708911294014265,1.7491111878745162,true,0,8.479312779571689e-16,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.5,0.08698438750737855,0.11265550668665678,0.1321478798473048,0.13214787984730475,2.343380182998294,0.5173076790678971,3.2331729941743568,-21.71316658149803,21.71316658149803,-18.97586087174752,0.5994873726305773,-4284.593596449196,4284.593596449196,-3744.44932631245,-15620.544762224152,0.7742407714009991,0.7742407714009991,0.003447009134792379,2.7523869096871364e-6,2.752386909687137e-6,9.959279783740878e-9,63.041209027208446,63.041209027208446,18.821528814018286,0.19688684985328395,0.19688684985328395,12.71180388844227,0.015862639937130683,0.015862639937130683,0.05313064681840294,5.079059372147909,5.079059372147909,0.07866704118281846,30.39684842925942,0.8472771402868099,NaN,50.704735107057715,NaN,3.127740440076397,0.061685371858713034,NaN,true,tau_u_ubar_ratio_high,320.1900435411784,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.44,0.2708911294014265,1.7491111878745162,true,0,1.1204141683319884e-15,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.4,0.08590084747916843,0.11193990843357537,0.14203617787565695,0.14203617787565698,2.3437926400032154,0.5071999528352015,3.1699997052200093,-21.69895248452952,21.69895248452952,-19.032430950341972,0.5919604536164454,-4281.788771615288,4281.788771615288,-3755.612129102484,-15623.131205763593,0.7591321692650955,0.7591321692650955,0.0033408576270398827,2.663973241822135e-6,2.663973241822135e-6,9.705142871876957e-9,73.8670183321421,73.8670183321421,20.244026795789896,0.6046769751895638,0.6046769751895638,13.42459300297643,0.013537841686035206,0.013537841686035206,0.04939728691763873,1.653775554603355,1.653775554603355,0.07449015398666353,33.56402250426749,0.9566050861933131,NaN,56.69977157969905,NaN,3.5313267300670628,0.06228114561455181,NaN,true,tau_u_ubar_ratio_high,122.15946920913449,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.42,0.2708911294014265,1.7491111878745162,true,0,1.436221399390037e-15,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.4,0.08468132985366449,0.11124267767481712,0.15349352201049546,0.15349352201049557,2.3442892375919087,0.49743837088196724,3.108989818012295,-21.68555133005757,21.68555133005757,-19.09182883547864,0.5835334505365134,-4279.144362269464,4279.144362269464,-3767.3329344186486,-15626.695683422351,0.7445431087868771,0.7445431087868771,0.0032340555757432382,2.575520693690417e-6,2.5755206936904167e-6,9.462208303087168e-9,86.15893587646958,86.15893587646958,21.794237783583863,0.2286842338179105,0.2286842338179105,14.169753832001327,0.011606457180875012,0.011606457180875012,0.04588368769442503,4.372841902149881,4.372841902149881,0.07057285622997733,36.91441914878262,1.0748259420534922,NaN,63.260159490158955,NaN,3.967741374287438,0.06272101439935002,NaN,true,tau_u_ubar_ratio_high,376.7594050452709,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.4,0.2708911294014265,1.7491111878745162,true,0,2.4827765763866867e-16,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.4,0.0832783366141207,0.11050528545466472,0.16691892449637066,0.16691892449637066,2.344903155924326,0.48792582664698414,3.049536416543651,-21.67296487603762,21.67296487603762,-19.15429760281406,0.5737081242736979,-4276.660715303764,4276.660715303764,-3779.659707646257,-15631.284314658398,0.7303289985407804,0.7303289985407804,0.003124460617592248,2.4842672325287013e-6,2.4842672325287013e-6,9.223735511137149e-9,98.58518433559806,98.58518433559806,23.440558124958333,0.31731473056723325,0.31731473056723325,14.92611278113228,0.010143511996649082,0.010143511996649082,0.04266110024638236,3.1514452487358384,3.1514452487358384,0.06699667989002968,39.818688970203716,1.1839649622393207,NaN,69.40583074470719,NaN,4.370630241217068,0.06297209030309557,NaN,true,tau_u_ubar_ratio_high,310.68581077016734,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.38,0.2708911294014265,1.7491111878745162,true,0,1.3410489615260265e-16,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.4,0.0816446552700624,0.10966687880166535,0.18285120415378942,0.18285120415378925,2.3456826499950605,0.4785477350510123,2.9909233440688268,-21.661196278560947,21.661196278560947,-19.220088039054627,0.5619849287122733,-4274.338453500149,4274.338453500149,-3792.641935768807,-15636.945429818748,0.7163190099841308,0.7163190099841308,0.0030099685025764484,2.3871674360040876e-6,2.387167436004088e-6,8.982929175353158e-9,111.5782846193923,111.5782846193923,25.164779309022155,0.1730137993350797,0.1730137993350797,15.692744424149836,0.008962317384705518,0.008962317384705518,0.03973807946892969,5.779885788550759,5.779885788550759,0.06372371670445882,42.464130613595685,1.2893249735656527,NaN,75.56097760645925,NaN,4.759568821668706,0.06298977292826662,NaN,true,tau_u_ubar_ratio_high,644.9097415824973,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.36,0.2708911294014265,1.7491111878745162,true,0,1.9240329832921277e-15,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.4,0.07972924932057393,0.10866046019746103,0.20204659845951542,0.20204659845951545,2.3467012631077053,0.4691561371062925,2.9322258569143282,-21.650249562589032,21.650249562589032,-19.289549532316336,0.547829234126264,-4272.1783710921145,4272.1783710921145,-3806.3485624882146,-15643.746153967564,0.7022923447731589,0.7022923447731589,0.002888291759535127,2.2806272916758567e-6,2.2806272916758567e-6,8.732392155893291e-9,125.95596975492779,125.95596975492779,26.997499205262123,0.1725601071112947,0.1725601071112947,16.445865291673865,0.00793928229003911,0.00793928229003911,0.0370404678002579,5.795082170150938,5.795082170150938,0.060805557036045725,45.14662296272719,1.4000098965817602,NaN,82.41002880164254,NaN,5.168164419688774,0.06271280928839774,NaN,true,tau_u_ubar_ratio_high,729.9251945508528,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.34,0.2708911294014265,1.7491111878745162,true,0,2.605050040818906e-14,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.3,0.07746956845387634,0.10740540817822246,0.22562242542991806,0.225622425429918,2.348077514776696,0.45953996705846084,2.87212479411538,-21.640130136988663,21.640130136988663,-19.36329362717499,0.5306076543573051,-4270.181535395011,4270.181535395011,-3820.900262049004,-15651.803066617633,0.6879338249432028,0.6879338249432028,0.002756579858998688,2.1600534343603347e-6,2.1600534343603356e-6,8.463153004651758e-9,152.5810270803033,152.5810270803033,28.835343367649802,0.2673003861287514,0.2673003861287514,17.218290835268007,0.006553894800260459,0.006553894800260459,0.03467966333017189,3.741109447998803,3.741109447998803,0.05807777377948063,51.47939133019136,1.6310314125106737,NaN,97.0196922480235,NaN,6.020984947401843,0.06205941090814481,NaN,true,tau_u_ubar_ratio_high,570.8223219954839,20260428T101532_ee54ca64
53.45412858192915,345.14682908713536,1035.4404872614061,-0.32,0.2708911294014265,1.7491111878745162,true,0,4.73501490043297e-13,models,phase_aware_continuity_quark,quark,quark,first_order_possible,-0.3,0.07477515913896901,0.10579100490619585,0.25535051167719786,0.25535051167719747,2.3500168632503704,0.4493624161673619,2.808515101046012,-21.63084707889919,21.63084707889919,-19.44252348163783,0.5094483184154031,-4268.349737573338,4268.349737573338,-3836.534449987688,-15661.344655799567,0.6727403199990668,0.6727403199990668,0.0026106546442638645,2.01898882584018e-6,2.0189888258401814e-6,8.162660354977763e-9,175.93441450849386,175.93441450849386,30.684213521698126,0.10220756623647058,0.10220756623647058,17.968241439416015,0.0056839362713297995,0.0056839362713297995,0.03259004827654641,9.784011466297605,9.784011466297605,0.055653749053391,55.813657076235764,1.8076646569070902,NaN,109.55705428538765,NaN,6.673030087405922,0.060909177696793444,NaN,true,tau_u_ubar_ratio_high,1721.3443288674596,20260428T101532_ee54ca64
