# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-01
# bridge: path_strategy x density_regime
# path_strategy: tmu
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: 0.000000,50.000000,100.000000,150.000000,200.000000,250.000000,300.000000
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: strict_normal_domain
# noanom_policy: none
# gamma_zero_tol: 1.0e-6
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
tmu,4,150.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.053037,0.053037,1.844193,1.844193,2.772827,134.916629,497.423204,NaN,NaN,2.546789,3.349038,1.315004,0,0.050000,0.000000,0,ok,
tmu,4,150.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.053037,0.053037,1.844193,1.844193,2.772827,134.916629,497.423204,NaN,NaN,0.291585,0.201220,0.690090,0,0.050000,0.000000,0,ok,
tmu,5,160.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.093795,0.093795,1.818592,1.818592,2.756476,134.844709,497.036727,NaN,NaN,0.154248,0.056472,0.366114,,,,,ok,
tmu,5,160.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.093795,0.093795,1.818592,1.818592,2.756476,134.844709,497.036727,0.000000,0.000000,0.154240,0.056465,0.366083,,,,,ok,
tmu,5,160.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.093795,0.093795,1.818592,1.818592,2.756476,134.844709,497.036727,NaN,NaN,2.766605,3.629820,1.312012,0,0.050000,0.000000,0,ok,
tmu,5,160.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.093795,0.093795,1.818592,1.818592,2.756476,134.844709,497.036727,NaN,NaN,0.337657,0.233573,0.691746,0,0.050000,0.000000,0,ok,
tmu,6,170.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.231318,0.231318,1.714109,1.714109,2.690387,134.635261,495.593602,NaN,NaN,0.188938,0.076949,0.407273,,,,,ok,
tmu,6,170.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.231318,0.231318,1.714109,1.714109,2.690387,134.635261,495.593602,0.000000,0.000000,0.188919,0.076930,0.407211,,,,,ok,
tmu,6,170.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.231318,0.231318,1.714109,1.714109,2.690387,134.635261,495.593602,NaN,NaN,2.930434,3.851384,1.314271,0,0.050000,0.000000,0,ok,
tmu,6,170.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.231318,0.231318,1.714109,1.714109,2.690387,134.635261,495.593602,NaN,NaN,0.368433,0.256451,0.696058,0,0.050000,0.000000,0,ok,
tmu,7,180.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.435992,0.435992,1.458313,1.458313,2.536320,134.802705,493.450673,NaN,NaN,0.228200,0.102350,0.448510,,,,,ok,
tmu,7,180.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.435992,0.435992,1.458313,1.458313,2.536320,134.802705,493.450673,0.000000,0.000000,0.228156,0.102304,0.448394,,,,,ok,
tmu,7,180.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.435992,0.435992,1.458313,1.458313,2.536320,134.802705,493.450673,NaN,NaN,2.976962,3.948227,1.326261,0,0.050000,0.000000,0,ok,
tmu,7,180.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.435992,0.435992,1.458313,1.458313,2.536320,134.802705,493.450673,NaN,NaN,0.366237,0.258361,0.705446,0,0.050000,0.000000,0,ok,
tmu,8,190.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.536863,0.536863,1.154431,1.154431,2.370557,136.909422,493.889996,NaN,NaN,0.271397,0.131877,0.485919,,,,,ok,
tmu,8,190.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.536863,0.536863,1.154431,1.154431,2.370557,136.909422,493.889996,0.000000,0.000000,0.271304,0.131778,0.485720,,,,,ok,
tmu,8,190.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.536863,0.536863,1.154431,1.154431,2.370557,136.909422,493.889996,NaN,NaN,2.975630,3.995159,1.342626,0,0.050000,0.000000,0,ok,
tmu,8,190.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.536863,0.536863,1.154431,1.154431,2.370557,136.909422,493.889996,NaN,NaN,0.344826,0.251162,0.728374,0,0.050000,0.000000,0,ok,
tmu,9,200.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.605382,0.605382,0.723816,0.723816,2.176765,148.616153,500.473258,NaN,NaN,0.313756,0.163572,0.521336,,,,,ok,
