sample_id,field,S2,S1jump,N_spike,label,reason
S015,eta_over_s,0.00041615829,0.0076574059,0,smooth,all_metrics_within_smooth_thresholds
S015,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S015,sigma_over_T,0.00051869947,0.018059194,0,smooth,all_metrics_within_smooth_thresholds
S016,tau_u,0.00021854949,0.020897294,0,smooth,all_metrics_within_smooth_thresholds
S016,tau_s,0.0021453328,0.023748338,0,smooth,all_metrics_within_smooth_thresholds
S016,eta_over_s,0.00049594236,0.0089445456,0,smooth,all_metrics_within_smooth_thresholds
S016,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S016,sigma_over_T,0.00052738861,0.017423355,0,smooth,all_metrics_within_smooth_thresholds
S017,tau_u,0.00026593646,0.020194991,0,smooth,all_metrics_within_smooth_thresholds
S017,tau_s,0.0032925742,0.025187361,0,smooth,all_metrics_within_smooth_thresholds
S017,eta_over_s,0.00060590952,0.013663753,0,smooth,all_metrics_within_smooth_thresholds
S017,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S017,sigma_over_T,0.00054551292,0.016913434,0,smooth,all_metrics_within_smooth_thresholds
S018,tau_u,0.00014296701,0.021667054,0,smooth,all_metrics_within_smooth_thresholds
S018,tau_s,0.0016462716,0.024190461,0,smooth,all_metrics_within_smooth_thresholds
S018,eta_over_s,0.00045439834,0.007479625,0,smooth,all_metrics_within_smooth_thresholds
S018,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S018,sigma_over_T,0.00058123107,0.020065031,0,smooth,all_metrics_within_smooth_thresholds
S019,tau_u,0.00014597065,0.022405143,0,smooth,all_metrics_within_smooth_thresholds
S019,tau_s,0.0016721024,0.027763729,0,smooth,all_metrics_within_smooth_thresholds
S019,eta_over_s,0.00042626885,0.0083411185,0,smooth,all_metrics_within_smooth_thresholds
S019,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S019,sigma_over_T,0.00059565117,0.021040932,0,smooth,all_metrics_within_smooth_thresholds
S020,tau_u,0.000165406,0.020996993,0,smooth,all_metrics_within_smooth_thresholds
S020,tau_s,0.0017398038,0.02305306,0,smooth,all_metrics_within_smooth_thresholds
S020,eta_over_s,0.00049884561,0.0085420245,0,smooth,all_metrics_within_smooth_thresholds
S020,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S020,sigma_over_T,0.00062348703,0.020939588,0,smooth,all_metrics_within_smooth_thresholds
S021,tau_u,0.0001336805,0.022466932,0,smooth,all_metrics_within_smooth_thresholds
S021,tau_s,0.0012796805,0.025075913,0,smooth,all_metrics_within_smooth_thresholds
S021,eta_over_s,0.00041768058,0.00874425,0,smooth,all_metrics_within_smooth_thresholds
S021,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S021,sigma_over_T,0.00070929672,0.024921538,0,smooth,all_metrics_within_smooth_thresholds
S022,tau_u,0.00011517422,0.022369815,0,smooth,all_metrics_within_smooth_thresholds
S022,tau_s,0.0009506021,0.021092541,0,smooth,all_metrics_within_smooth_thresholds
S022,eta_over_s,0.00039973824,0.0088142111,0,smooth,all_metrics_within_smooth_thresholds
S022,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S022,sigma_over_T,0.00075134929,0.026284723,0,smooth,all_metrics_within_smooth_thresholds
S023,tau_u,0.00010074767,0.022226678,0,smooth,all_metrics_within_smooth_thresholds
S023,tau_s,0.00077167164,0.021094206,0,smooth,all_metrics_within_smooth_thresholds
S023,eta_over_s,0.00038535517,0.0088178745,0,smooth,all_metrics_within_smooth_thresholds
S023,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S023,sigma_over_T,0.00073959518,0.026249021,0,smooth,all_metrics_within_smooth_thresholds
