xi,T_MeV,solver_tol,coarse_status,fine_status,coarse_reason,fine_reason,coarse_topology,fine_topology,coarse_has_s_shape,fine_has_s_shape,coarse_derivative_sign_changes,fine_derivative_sign_changes,coarse_mu_transition,fine_mu_transition,coarse_rho_hadron,fine_rho_hadron,coarse_rho_quark,fine_rho_quark,coarse_area_residual,fine_area_residual,coarse_iterations,fine_iterations,geometry_converged,position_error_MeV,density_error,maxwell_area_gate,geometry_reason,candidate_stable,candidate_stable_vs_previous,iteration_budget_ok,strict_residual_ok,strict_gate
-0.5,20.0,0.0001,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,330.8269614706641,330.82696156519046,0.002879738126599908,0.0028797381277608225,2.79903324973036,2.7990328440871237,7.60751912146815e-5,4.24316117031607e-5,12,12,false,1.666344360273797e-7,1.6491138059571142e-6,7.60751912146815e-5,geometry_tolerance_exceeded,true,true,true,false,false
-0.5,20.0,5.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,330.82699513142256,330.82696156519046,0.002879738540000712,0.0028797381277608225,2.799034145191926,2.7990328440871237,1.8045471788550387e-5,4.24316117031607e-5,15,12,true,3.356623210493126e-5,1.6491138059571142e-6,4.24316117031607e-5,converged,true,true,true,false,false
-0.5,20.0,1.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,330.82698671623297,330.82697839556965,0.002879738436650511,0.002879738334461224,2.7990339213265347,2.7990332920069365,5.48469674762981e-6,4.628709048102499e-6,17,16,true,8.320663312133547e-6,1.6491138059571142e-6,5.48469674762981e-6,converged,true,true,true,false,false
-0.5,20.0,5.0e-6,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,330.82698882003035,330.82697839556965,0.002879738462488061,0.002879738334461224,2.7990339772928823,2.7990332920069365,3.9784517463739187e-7,4.628709048102499e-6,19,16,true,1.0424460697322502e-5,1.6491138059571142e-6,4.628709048102499e-6,converged,true,true,true,true,true
0.0,5.0,0.0001,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,361.0339104793475,361.0339102149054,0.002688669629501591,0.0026886696125903043,2.5043624050110345,2.5043632165708853,1.250929048144741e-5,3.17436630960423e-5,12,12,true,7.053432682369021e-7,7.476151225149774e-6,3.17436630960423e-5,converged,true,true,true,false,false
0.0,5.0,5.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,361.0339104793475,361.0339102149054,0.002688669629501591,0.0026886696125903043,2.5043624050110345,2.5043632165708853,1.250929048144741e-5,3.17436630960423e-5,12,12,true,7.053432682369021e-7,7.476151225149774e-6,3.17436630960423e-5,converged,true,true,true,false,false
0.0,5.0,1.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,361.0339027354162,361.03389472704305,0.0026886691342709406,0.0026886686221290253,2.504362203626416,2.5043628135352587,6.863498391119121e-6,7.001924840060135e-6,16,15,true,8.008373129086976e-6,7.476151225149774e-6,7.001924840060135e-6,converged,true,true,true,false,false
0.0,5.0,5.0e-6,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,361.0339066073818,361.03389859900864,0.002688669381886264,0.002688668869744345,2.5043623043187244,2.5043629142941652,2.8228957859267023e-6,2.684471584943269e-6,17,17,true,8.008373185930395e-6,7.476151225149774e-6,2.8228957859267023e-6,converged,true,true,true,true,true
0.0,20.0,0.0001,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,360.3978673288183,360.39786659527533,0.009243946868329045,0.009243946005248313,2.499498084153095,2.49949840605932,6.248767933976937e-5,8.126244667928442e-5,12,12,false,1.7324222199022188e-6,8.780385340190211e-6,8.126244667928442e-5,geometry_tolerance_exceeded,true,true,true,false,false
0.0,20.0,5.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,360.3978371993209,360.39783646577973,0.009243911418204777,0.009243910555126118,2.4994972963467172,2.4994976187883364,1.2542414789866804e-5,6.232347204862416e-6,14,14,true,1.7324222199022188e-6,8.780385340190211e-6,1.2542414789866804e-5,converged,true,true,true,false,false
0.0,20.0,1.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,360.3978447316953,360.39783646577973,0.00924392028073586,0.009243910555126118,2.4994974932983123,2.4994976187883364,6.215106656093199e-6,6.232347204862416e-6,16,14,true,8.26591553959588e-6,8.780385340190211e-6,6.232347204862416e-6,converged,true,true,true,false,false
0.0,20.0,5.0e-6,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,360.39784096550807,360.39783269959275,0.009243915849470284,0.00924390612386081,2.499497394822514,2.499497520379463,3.163654306537238e-6,3.146413703851863e-6,17,17,true,8.265915312222205e-6,8.780385340190211e-6,3.163654306537238e-6,converged,true,true,true,true,true
0.5,5.0,0.0001,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.93856426863147,378.93856431790766,0.0827303797567257,0.08273038059578823,2.2070761246014157,2.2070778981866614,5.123007853144273e-5,5.2353036904014084e-5,9,9,false,1.2933401194459293e-7,8.221748183934174e-6,5.2353036904014084e-5,geometry_tolerance_exceeded,true,true,true,false,false
0.5,5.0,5.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.9385213041711,378.9385213534467,0.08272964816882095,0.08272964900787283,2.2070743273704214,2.2070760971017074,4.0041267127547755e-5,3.891838616374269e-5,12,12,true,1.2933401194459293e-7,8.221748183934174e-6,4.0041267127547755e-5,converged,true,true,true,false,false
0.5,5.0,1.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.9385427864013,378.93854283567714,0.08273001396277332,0.08273001480183004,2.2070752259859185,2.207076997644183,5.5943999788942956e-6,6.717319569027435e-6,13,13,true,1.2933401194459293e-7,8.221748183934174e-6,6.717319569027435e-6,converged,true,true,true,false,false
0.5,5.0,5.0e-6,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.9385401011225,378.9385374651195,0.08272996823852903,0.08272992335334049,2.207075113658981,2.2070767725085636,1.1005906740121227e-7,4.691607971607492e-6,16,15,true,2.6360029892202874e-6,8.221748183934174e-6,4.691607971607492e-6,converged,true,true,true,true,true
0.5,20.0,0.0001,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.46452496137476,378.46452488246365,0.10924498996502058,0.1092449886095992,2.2015412813512576,2.2015446284295836,5.790390497799855e-5,6.075401870999927e-5,11,11,false,1.692293380983756e-7,4.589507719698904e-6,6.075401870999927e-5,geometry_tolerance_exceeded,true,true,true,false,false
0.5,20.0,5.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.4644836354921,378.46448355658026,0.10924428012857837,0.10924427877314431,2.201539511803248,2.2015428550348677,2.8562064128738688e-5,2.5712090237232255e-5,12,12,true,1.692293380983756e-7,4.589507719698904e-6,2.8562064128738688e-5,converged,true,true,true,false,false
0.5,20.0,1.0e-5,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.4644939669628,378.4644938880511,0.10924445758768893,0.10924445623225779,2.2015399541902503,2.201543298383546,6.9455759565932454e-6,4.095567159433801e-6,14,14,true,1.692293380983756e-7,4.589507719698904e-6,6.9455759565932454e-6,converged,true,true,true,false,false
0.5,20.0,5.0e-6,valid,valid,ok,ok,first_order_candidate,first_order_candidate,true,true,2,2,378.4644991326981,378.4644938880511,0.1092445463172442,0.10924445623225779,2.2015401753837516,2.201543298383546,3.862669154406325e-6,4.095567159433801e-6,15,14,true,5.2446470135691925e-6,4.589507719698904e-6,4.095567159433801e-6,converged,true,true,true,true,true
