sqrt_s_NN_GeV,channel,route,bound_density_inv_fm3,unitary_density_inv_fm3,landau_density_inv_fm3,total_density_inv_fm3,bound_fraction,unitary_fraction,landau_fraction,q_nodes,qmax_inv_fm,passed,production_authorized
3.0,K_minus,direct_finite_q,1.5614977987321357e-6,-8.180347453736032e-8,3.1583366508562296e-14,1.4796943557781418e-6,1.0552840136441388,-0.05528403498865919,2.1344520498595286e-8,24,8.0,true,false
3.0,K_minus,q0_lambda_reference,2.7056575312892767e-5,-2.4706679769899392e-8,1.0706684454438664e-15,2.7031868634193538e-5,1.0009139833813774,-0.0009139834209850763,3.960763719048047e-11,24,8.0,true,false
3.0,K_plus,direct_finite_q,6.293161508378308e-5,-3.3000164215578033e-6,5.814948224613948e-19,5.9631598662225864e-5,1.0553400629127798,-0.055340062912789666,9.751454522545739e-15,24,8.0,true,false
3.0,K_plus,q0_lambda_reference,0.00109339441328387,-9.943440770875289e-7,-2.869749539414177e-22,0.0010924000692067823,1.0009102380209565,-0.0009102380209565033,-2.6270133262605617e-19,24,8.0,true,false
3.0,pi_minus,direct_finite_q,0.0001343211753936453,-2.888307459074145e-6,5.729066208630944e-12,0.00013143287366363735,1.0219754894608761,-0.021975533050170488,4.358929428335223e-8,24,8.0,true,false
3.0,pi_minus,q0_lambda_reference,0.004480967289950493,-9.630786871881828e-7,0.0,0.004480004211263305,1.00021497271917,-0.00021497271916996855,0.0,24,8.0,true,false
3.0,pi_plus,direct_finite_q,0.00012046835183247255,-2.5924384852688822e-6,8.093749637953703e-12,0.00011787592144095332,1.0219928748791824,-0.021992943542481595,6.86632989928146e-8,24,8.0,true,false
3.0,pi_plus,q0_lambda_reference,0.004000464005229258,-8.648016614244481e-7,1.005249893462449e-27,0.003999599203567833,1.0002162220806157,-0.00021622208061572863,2.5133765717467843e-25,24,8.0,true,false
5.0,K_minus,direct_finite_q,0.00011674667973345229,-2.2374516031565236e-5,2.5190636475436266e-11,9.437218889252351e-5,1.2370877596832064,-0.23708802661180853,2.669286022826578e-7,24,8.0,true,false
5.0,K_minus,q0_lambda_reference,0.0011109117854629378,-9.669130713014904e-6,9.128768303656387e-13,0.0011012426556627996,1.0087801991236152,-0.008780199952566667,8.289515718188468e-10,24,8.0,true,false
5.0,K_plus,direct_finite_q,0.0006666349640577137,-0.0001281132324962138,4.784181479549133e-13,0.0005385217320399181,1.237897979590356,-0.23789798047874766,8.883915346232497e-10,24,8.0,true,false
5.0,K_plus,q0_lambda_reference,0.006377929221406599,-5.510966145729431e-5,2.360978524384844e-16,0.00632281955994954,1.0087159946499404,-0.008715994649977663,3.734059626404531e-14,24,8.0,true,false
5.0,pi_minus,direct_finite_q,0.001294193402158848,-0.0001460486893235169,3.735870530625664e-10,0.0011481450864223842,1.127203710980073,-0.12720403636321267,3.253831397098622e-7,24,8.0,true,false
5.0,pi_minus,q0_lambda_reference,0.019668575402765173,-7.263277989020052e-5,-2.2880269392355764e-25,0.019595942622874972,1.0037065213594478,-0.0037065213594478456,-1.1676023875292884e-23,24,8.0,true,false
5.0,pi_plus,direct_finite_q,0.0011317534595664952,-0.000127891221563236,5.113163923372384e-10,0.0010038627493196516,1.1273986013860153,-0.12739911073492047,5.09348905200211e-7,24,8.0,true,false
5.0,pi_plus,q0_lambda_reference,0.017030565549910903,-6.366114398681714e-5,4.296781246447427e-21,0.016966904405924084,1.0037520777192916,-0.003752077719291535,2.532448550218261e-19,24,8.0,true,false
7.7,K_minus,direct_finite_q,0.0004783470438013671,-0.0001292503555087523,8.081527840797427e-10,0.0003490974964453989,1.3702391127751434,-0.37024142775245567,2.3149773123799618e-6,24,8.0,true,false
7.7,K_minus,q0_lambda_reference,0.0037117047501722855,-6.866143554025305e-5,1.945244669416399e-11,0.003643043334084479,1.0188472685585173,-0.01884727389813169,5.339614413083153e-9,24,8.0,true,false
7.7,K_plus,direct_finite_q,0.001615488183100884,-0.00043865839046943296,9.102389305327372e-11,0.001176829883655344,1.3727457175739166,-0.37274579492060383,7.73466873313456e-8,24,8.0,true,false
7.7,K_plus,q0_lambda_reference,0.012606244030183258,-0.00023162142618345867,6.46034798837305e-14,0.012374622604064403,1.0187174537381674,-0.01871745374338797,5.220642434987206e-12,24,8.0,true,false
7.7,pi_minus,direct_finite_q,0.0030011457381187378,-0.0005252497571668962,4.7448617172632216e-9,0.0024759007258135586,1.2121430018695876,-0.21214491828799148,1.91641840393423e-6,24,8.0,true,false
7.7,pi_minus,q0_lambda_reference,0.03480545324410614,-0.00032508503828675833,-6.996244988192793e-23,0.03448036820581938,1.0094281196867234,-0.00942811968672343,-2.0290517045615573e-21,24,8.0,true,false
7.7,pi_plus,direct_finite_q,0.0026235878483804992,-0.00045982286933624343,5.9240086957281904e-9,0.0021637709030529516,1.2125072227742657,-0.21250996059123486,2.737816969148521e-6,24,8.0,true,false
7.7,pi_plus,q0_lambda_reference,0.030073024964093052,-0.0002849345184514498,6.546731998656829e-20,0.029788090445641603,1.0095653838224847,-0.00956538382248465,2.1977682693704538e-18,24,8.0,true,false
11.5,K_minus,direct_finite_q,0.0009457858696828219,-0.00029680597115165874,6.135228536406949e-9,0.0006489860337596995,1.4573285409605883,-0.4573379945207839,9.453560195840276e-6,24,8.0,true,false
11.5,K_minus,q0_lambda_reference,0.006674782066275874,-0.00017541641763402991,1.0435852559776974e-10,0.0064993657530003695,1.0269897586844572,-0.026989774741181572,1.6056724542636124e-8,24,8.0,true,false
11.5,K_plus,direct_finite_q,0.00238385023626477,-0.0007530536906582936,1.3849655227122294e-9,0.0016307979305719993,1.4617692306174557,-0.46177007987382074,8.492563650889938e-7,24,8.0,true,false
11.5,K_plus,q0_lambda_reference,0.01690218449225915,-0.00044206784952560176,1.4526514034218934e-12,0.0164601166441862,1.0268569085887427,-0.02685690867699546,8.825280129074768e-11,24,8.0,true,false
11.5,pi_minus,direct_finite_q,0.004462949853856885,-0.000948323431728013,2.5540015247586785e-8,0.00351465196214412,1.269812744455714,-0.26982001118241206,7.2667266980273205e-6,24,8.0,true,false
11.5,pi_minus,q0_lambda_reference,0.045638734179690194,-0.000654605014401497,-8.519714856030794e-22,0.0449841291652887,1.0145519103414502,-0.014551910341450218,-1.893937931915085e-20,24,8.0,true,false
11.5,pi_plus,direct_finite_q,0.003964725577936963,-0.0008433890768784668,2.9955258153265935e-8,0.0031213664563166494,1.2701890769389232,-0.27019867378010565,9.596841182375768e-6,24,8.0,true,false
11.5,pi_plus,q0_lambda_reference,0.04009946793891636,-0.0005829310129970862,1.1014573878021243e-19,0.03951653692591928,1.01475157132544,-0.014751571325440114,2.787332781379605e-18,24,8.0,true,false
19.6,K_minus,direct_finite_q,0.0015485496241110163,-0.0005359906848939745,2.727346775370567e-8,0.0010125862126847956,1.5293015100463934,-0.529328444511244,2.6934464850545555e-5,24,8.0,true,false
19.6,K_minus,q0_lambda_reference,0.010235841326997609,-0.0003381267556012203,3.282523545941991e-10,0.009897714899648743,1.034162069808746,-0.034162102973204454,3.3164458455541935e-8,24,8.0,true,false
19.6,K_plus,direct_finite_q,0.002896262424289268,-0.0010096174421984436,1.0554595127328728e-8,0.0018866555366859516,1.5351304824709893,-0.5351360768123632,5.594341373978975e-6,24,8.0,true,false
19.6,K_plus,q0_lambda_reference,0.019199477466887067,-0.0006328772280123637,1.9370058238485387e-11,0.01856660025824476,1.0340868656533533,-0.034086866696627756,1.0432743727481201e-9,24,8.0,true,false
19.6,pi_minus,direct_finite_q,0.00573444885396093,-0.0013859566677147446,9.967035167539052e-8,0.004348591856597861,1.318690979301815,-0.3187138994458435,2.2920144028731183e-5,24,8.0,true,false
19.6,pi_minus,q0_lambda_reference,0.053783993667880295,-0.0010192508697445901,-5.06688464313273e-21,0.05276474279813571,1.0193168926008789,-0.01931689260087898,-9.602784689991427e-20,24,8.0,true,false
19.6,pi_plus,direct_finite_q,0.005252799989836518,-0.0012702963640618457,1.1069418614012934e-7,0.003982614319960813,1.3189326326452326,-0.31896042699769755,2.7794352464744445e-5,24,8.0,true,false
19.6,pi_plus,q0_lambda_reference,0.04884989633351868,-0.0009353160268393918,9.380857684387951e-20,0.04791458030667929,1.0195204887709097,-0.01952048877090986,1.9578294590801747e-18,24,8.0,true,false
27.0,K_minus,direct_finite_q,0.0018428872851971258,-0.0006580418218217341,4.408578094697572e-8,0.0011848895491563388,1.5553241114408447,-0.5553613180994557,3.7206658610809366e-5,24,8.0,true,false
27.0,K_minus,q0_lambda_reference,0.011919094749226176,-0.00042214048705331044,4.506578994389618e-10,0.011496954712830765,1.0367175523379506,-0.036717591535973926,3.919802336317992e-8,24,8.0,true,false
27.0,K_plus,direct_finite_q,0.002986649964975537,-0.0010733760112753672,2.1445355187520556e-8,0.0019132953990553573,1.5609978294256717,-0.5610090380216878,1.1208596016124157e-5,24,8.0,true,false
27.0,K_plus,q0_lambda_reference,0.01935581086498193,-0.0006847670891353495,5.2013631187905404e-11,0.01867104382786021,1.0366753483862503,-0.03667535117204141,2.7857912855569796e-9,24,8.0,true,false
27.0,pi_minus,direct_finite_q,0.006159552010358375,-0.0015510030943927827,1.6127183079786968e-7,0.00460871018779639,1.3365023530159326,-0.33653734584998496,3.499283405255305e-5,24,8.0,true,false
27.0,pi_minus,q0_lambda_reference,0.05614204403593989,-0.001158077182033731,-2.39507302153857e-21,0.05498396685390616,1.0210620886104993,-0.021062088610499352,-4.355948031000276e-20,24,8.0,true,false
27.0,pi_plus,direct_finite_q,0.005745934084166271,-0.001447379729564237,1.748047039857048e-7,0.004298729159306019,1.33665878245139,-0.33669944672622737,4.0664274837432424e-5,24,8.0,true,false
27.0,pi_plus,q0_lambda_reference,0.05201706109793966,-0.0010818299443358709,2.075344744407886e-20,0.05093523115360379,1.021239325312443,-0.021239325312442974,4.074477915196524e-19,24,8.0,true,false
39.0,K_minus,direct_finite_q,0.002103938750582968,-0.0007675706343073344,6.030590959149107e-8,0.001336428422185225,1.5742996150461759,-0.5743447397296908,4.512468351494911e-5,24,8.0,true,false
39.0,K_minus,q0_lambda_reference,0.013401163278535215,-0.0004970440984497263,5.284134299886788e-10,0.012904119708498918,1.03851820823616,-0.038518249185363874,4.0949203969384666e-8,24,8.0,true,false
39.0,K_plus,direct_finite_q,0.0029888264707296857,-0.0010962070156785733,3.5890966124188996e-8,0.0018926553460172366,1.579171018653317,-0.5791899819401086,1.8963286791604863e-5,24,8.0,true,false
39.0,K_plus,q0_lambda_reference,0.019063060140643826,-0.0007067161560278204,1.1134937864086494e-10,0.018356344095965385,1.0384998255090334,-0.038499831575022195,6.065988851524028e-9,24,8.0,true,false
