sqrt_s_NN_GeV,channel,reference_over_direct,passed,production_authorized
3.0,pi_plus,33.930586965305906,true,false
3.0,pi_minus,34.08587278345994,true,false
3.0,K_plus,18.31914779602869,true,false
3.0,K_minus,18.26854885850938,true,false
5.0,pi_plus,16.90161769367682,true,false
5.0,pi_minus,17.06747941058203,true,false
5.0,K_plus,11.741066671531946,true,false
5.0,K_minus,11.669143935158246,true,false
7.7,pi_plus,13.766748782698006,true,false
7.7,pi_minus,13.926393674160517,true,false
7.7,K_plus,10.515217854281257,true,false
7.7,K_minus,10.435604297306309,true,false
11.5,pi_plus,12.660012042466343,true,false
11.5,pi_minus,12.799028082953065,true,false
11.5,K_plus,10.093290122346943,true,false
11.5,K_minus,10.014646563884135,true,false
19.6,pi_plus,12.030936580158418,true,false
19.6,pi_minus,12.13375376170998,true,false
19.6,K_plus,9.841012255400027,true,false
19.6,K_minus,9.77468859012578,true,false
27.0,pi_plus,11.848904470600957,true,false
27.0,pi_minus,11.930445745861974,true,false
27.0,K_plus,9.758578752177304,true,false
27.0,K_minus,9.702975877386029,true,false
39.0,pi_plus,11.730675068778607,true,false
39.0,pi_minus,11.79111381017924,true,false
39.0,K_plus,9.69872519822117,true,false
39.0,K_minus,9.655675900246939,true,false
62.4,pi_plus,11.658241643095362,true,false
62.4,pi_minus,11.698058170283398,true,false
62.4,K_plus,9.656292937807502,true,false
62.4,K_minus,9.627028158724022,true,false
130.0,pi_plus,11.622230613376635,true,false
130.0,pi_minus,11.64212877607625,true,false
130.0,K_plus,9.62894672857902,true,false
130.0,K_minus,9.614046974458768,true,false
200.0,pi_plus,11.61706222544808,true,false
200.0,pi_minus,11.630148170126212,true,false
200.0,K_plus,9.622617937795068,true,false
200.0,K_minus,9.612785160765366,true,false
