# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.M_sigma_prime: fm^-1
# y_unit.Gamma_sigma: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_u: fm^-1
# y_unit.M_sigma: fm^-1
# y_unit.Gamma_eta: fm^-1
# y_unit.Gamma_sigma_prime: fm^-1
# y_unit.m_d: fm^-1
# y_unit.Gamma_eta_prime: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.M_eta: fm^-1
# y_unit.M_eta_prime: fm^-1
# y_unit.m_s: fm^-1
# x_label: Temperature
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,root_sign_flipped_pi,root_sign_flipped_K,selected_method_pi,selected_method_K,governance_candidate_count_pi,governance_candidate_count_K,governance_selection_reason_pi,governance_selection_reason_K,second_pass_triggered_pi,second_pass_triggered_K,second_pass_candidate_count_pi,second_pass_candidate_count_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc
20260531T105912_7f3bc53d,165.0,400.0,-0.3,0.6117370849452128,2.491388569505541,1.7435212549847587e-88,0.0,7.105427357601002e-15,8.076939117529491e-11,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.4190095368048028,1.4190095368048032,2.526826794332026,ok,,,2026-05-31T11:00:16Z
20260531T105912_7f3bc53d,170.0,400.0,-0.3,0.5873959249551286,2.4939358521682093,3.0839220770890662e-99,0.0,3.774758283725532e-15,1.0662581928500003e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.1736924051050368,1.1736924051050368,2.403136724610769,ok,,,2026-05-31T11:00:16Z
20260531T105912_7f3bc53d,175.0,400.0,-0.3,0.5946212909489743,2.525604759240992,0.0,0.0,1.838340590865073e-10,1.2878587085651816e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.8321403798584187,0.8321403798584197,2.2596788809278,ok,,,2026-05-31T11:00:16Z
20260531T105912_7f3bc53d,180.0,400.0,-0.3,0.7043917759502559,2.563102309121065,0.0,0.0,7.763687914774664e-9,2.472983817725094e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.4777074931150894,0.47770749311508887,2.141558169869365,ok,,,2026-05-31T11:00:18Z
20260531T105912_7f3bc53d,185.0,400.0,-0.3,0.8444185509552643,2.622010486060017,0.1558172755330599,0.3555242590892144,3.2321748028376537e-9,2.559064071760986e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.303739809346954,0.3037398093469543,2.075446455222961,ok,,,2026-05-31T11:00:19Z
20260531T105912_7f3bc53d,190.0,400.0,-0.3,1.0277527457972264,2.6934600360204293,0.2963028240423258,0.5108038138535254,6.780172422459394e-9,4.3853809472693683e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.22094154557572693,0.220941545575727,2.0219112587900496,ok,,,2026-05-31T11:00:20Z
20260531T105912_7f3bc53d,195.0,400.0,-0.3,1.1930197268286917,2.737391860449648,0.42131088711788245,0.6232633952407126,1.3794778363802704e-9,7.0710288329555765e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.17317549838865628,0.17317549838865637,1.968884858851996,ok,,,2026-05-31T11:00:22Z
20260531T105912_7f3bc53d,200.0,400.0,-0.3,1.3459397849414503,2.76784198599611,0.5465199492180434,0.725260465869021,3.574635165367815e-10,3.6434035900158057e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.14206301145979633,0.1420630114597962,1.9136408467121129,ok,,,2026-05-31T11:00:25Z
20260531T105912_7f3bc53d,205.0,400.0,-0.3,1.4898609724701797,2.7911409799026035,0.6751643352112168,0.8263097328556526,1.1933418835242488e-10,4.405521947248303e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.12019491397721425,0.12019491397721427,1.8554733866511517,ok,,,2026-05-31T11:00:37Z
20260531T105912_7f3bc53d,210.0,400.0,-0.3,1.6268218326280734,2.810805401835292,0.8082622386880746,0.9305288230531568,5.704436922826517e-11,3.2662700526611725e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.10400736330057579,0.10400736330057576,1.7943490055224687,ok,,,2026-05-31T11:00:48Z
20260531T105912_7f3bc53d,215.0,400.0,-0.3,1.7581041435457494,2.8291454794495765,0.9461296258733053,1.0400528870873378,3.275391069479383e-11,5.454396823090235e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.09156688791740568,0.09156688791740562,1.730578422157862,ok,,,2026-05-31T11:00:55Z
20260531T105912_7f3bc53d,220.0,400.0,-0.3,1.8845191362078457,2.8478654307035964,1.0887642989236244,1.1560312530073917,2.0090595853616833e-11,7.735566742717026e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.08173072162146336,0.08173072162146343,1.6647064162376406,ok,,,2026-05-31T11:01:05Z
20260531T105912_7f3bc53d,225.0,400.0,-0.3,2.006574462698101,2.8682931920098214,1.2359774911976258,1.2789843811120891,1.2972067864325254e-11,8.641399151798623e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.07377840057171813,0.07377840057171822,1.5974483685708827,ok,,,2026-05-31T11:01:14Z
20260531T105912_7f3bc53d,230.0,400.0,-0.3,2.1245836693355167,2.8914555075572035,1.3874589447445589,1.4089641478005317,8.714806654097629e-12,8.455000916062622e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.0672319484936635,0.06723194849366348,1.5296273338719404,ok,,,2026-05-31T11:01:24Z
20260531T105912_7f3bc53d,235.0,400.0,-0.3,2.238743888799111,2.918091322877581,1.542825394422091,1.545661827697591,6.038392008633764e-12,1.335885144565589e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.06176082859253797,0.061760828592537946,1.4621023859686197,ok,,,2026-05-31T11:01:29Z
20260531T105912_7f3bc53d,240.0,400.0,-0.3,2.349191949415672,2.948652330864528,1.7016645462818503,1.688513200881648,4.29101199017623e-12,4.440892098500626e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.05712853236305457,0.057128532363054554,1.3956946739712597,ok,,,2026-05-31T11:01:31Z
20260531T105912_7f3bc53d,245.0,400.0,-0.3,2.4560427579430066,2.983316853082534,1.8635738446925878,1.8368081486560737,3.116951141635127e-12,3.736287491118483e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.05316106408447909,0.053161064084479036,1.3311236057916074,ok,,,2026-05-31T11:01:31Z
20260531T105912_7f3bc53d,250.0,400.0,-0.3,2.559412228611794,3.022025143018299,2.0281900151751358,1.989794187775579,2.3101520696400257e-12,8.881784197001252e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.049727549817554555,0.04972754981755456,1.2689639593802886,ok,,,2026-05-31T11:01:33Z
20260531T105912_7f3bc53d,255.0,400.0,-0.3,2.659427610253343,3.064532149845021,2.1952066873137817,2.1467590920482156,1.7464918400378338e-12,2.506497117247269e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.0467278284709784,0.046727828470978394,1.2096282913065082,ok,,,2026-05-31T11:01:36Z
20260531T105912_7f3bc53d,260.0,400.0,-0.3,2.756228913548273,3.1104670611099188,2.364380331512262,2.3070840477735373,1.3458123504506148e-12,5.757537016315179e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.044084198119246396,0.04408419811924641,1.1533719347814066,ok,,,2026-05-31T11:01:47Z
20260531T105912_7f3bc53d,265.0,400.0,-0.3,2.8499652613775943,3.159389133402995,2.5355271377181876,2.4702674442990795,1.0582645870726992e-12,1.1031700664595657e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.0417357197751998,0.04173571977519982,1.1003134455602348,ok,,,2026-05-31T11:02:00Z
20260531T105912_7f3bc53d,270.0,400.0,-0.3,2.9407892941048845,3.2108330362789816,2.708514409943917,2.6359257598846897,8.47655279301307e-13,1.587671072731692e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.039634156971435505,0.039634156971435526,1.050462454038921,ok,,,2026-05-31T11:02:05Z
20260531T105912_7f3bc53d,275.0,400.0,-0.3,3.0288516819327294,3.2643413406973356,2.8832497249722016,2.8037802445016986,6.9155792203901e-13,2.1465078069360663e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.037741006599767785,0.03774100659976778,1.0037484643185504,ok,,,2026-05-31T11:02:11Z
20260531T105912_7f3bc53d,280.0,400.0,-0.3,3.114296774689718,3.3194850068396553,3.0596701494544973,2.9736371729593696,5.734301922188934e-13,2.6625023931903058e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.03602528756557405,0.03602528756557407,0.9600466116077576,ok,,,2026-05-31T11:02:15Z
20260531T105912_7f3bc53d,285.0,400.0,-0.3,3.1972596889981983,3.375874321643802,3.2377327952919517,3.145367112588646,4.867217739956686e-13,3.114415632798202e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.03446187325335904,0.03446187325335901,0.9191986081721641,ok,,,2026-05-31T11:02:18Z
20260531T105912_7f3bc53d,290.0,400.0,-0.3,3.277864720995511,3.4331630744611297,3.4174072125382082,3.3188862765041365,4.135580766728708e-13,3.422468419214372e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.033030223430661636,0.03303022343066163,0.8810286179635152,ok,,,2026-05-31T11:02:23Z
20260531T105912_7f3bc53d,295.0,400.0,-0.3,3.356224801900789,3.4910484097629304,3.59866963489478,3.4941412460999226,3.590461261637756e-13,3.634654635832447e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.03171341393690337,0.03171341393690337,0.8453546110776606,ok,,,2026-05-31T11:02:26Z
20260531T105912_7f3bc53d,300.0,400.0,-0.3,3.432441686620376,3.5492682050499242,3.781498850817497,3.6710972451698924,3.148592497836944e-13,4.007905118896815e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.030497390372392928,0.03049739037239292,0.8119960595705481,ok,,,2026-05-31T11:02:28Z
20260531T105912_7f3bc53d,100.0,400.0,0.0,0.68398108141867,2.5220487501606947,0.0,0.0,1.961715234699568e-10,3.9102054927298013e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8626534763472018,1.8626534763472018,2.784364067382322,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,105.0,400.0,0.0,0.6839849776254562,2.5220446678142583,0.0,0.0,5.278000259067994e-13,9.421352586969078e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8623095033183563,1.8623095033183565,2.7841813205566526,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,110.0,400.0,0.0,0.68399000916331,2.522034974737221,0.0,0.0,8.808509477375992e-13,5.312195128226449e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8617633331835926,1.8617633331835928,2.783885145876129,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,115.0,400.0,0.0,0.6839957942245783,2.522014736359249,0.0,0.0,1.1648459974367142e-12,2.3172574969976267e-11,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8609127837365995,1.8609127837365995,2.7834146177408625,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,120.0,400.0,0.0,0.6840013012462133,2.521975713502834,0.0,0.0,1.056488230233299e-12,8.623435299170978e-11,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8596080263970758,1.8596080263970765,2.7826788275878966,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,125.0,400.0,0.0,0.684004474472733,2.521904479421906,0.0,0.0,3.510525203864745e-13,2.877860172390001e-10,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8576280848245106,1.8576280848245108,2.781541733025293,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,130.0,400.0,0.0,0.6840016915267836,2.5217794535331737,0.0,0.0,2.7067237340361316e-13,8.885663316249293e-10,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8546427375417922,1.8546427375417922,2.779797712413461,ok,,,2026-05-31T11:02:31Z
20260531T105912_7f3bc53d,135.0,400.0,0.0,0.6839869804827587,2.5215660588673225,0.0,0.0,7.581046901350419e-12,2.5976347739486982e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.850146978098,1.8501469780979998,2.777129839816407,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,140.0,400.0,0.0,0.6839508779755634,2.521208348280382,0.0,0.0,4.585154478320419e-11,7.338505136900153e-9,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8433387679022437,1.8433387679022435,2.7730328646991613,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,145.0,400.0,0.0,0.6838787628298741,2.520613070372758,0.0,0.0,1.8414825220247621e-10,8.881784197001252e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8328646887688855,1.8328646887688858,2.7666549009134793,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,150.0,400.0,0.0,0.6837486543722331,2.5196162171618908,0.0,0.0,6.057276902282638e-10,7.993605777301127e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.8162072981048918,1.8162072981048918,2.756421150259687,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,155.0,400.0,0.0,0.6835311752929878,2.517898816540676,0.0,0.0,1.723270415254774e-9,7.394085344003543e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.7878964648940987,1.7878964648940987,2.7389522015058865,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,160.0,400.0,0.0,0.6832306574196566,2.514779576543491,0.0,0.0,3.4093323719730506e-9,8.72191208145523e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.7332229959898489,1.7332229959898482,2.7053579955077245,ok,,,2026-05-31T11:02:32Z
20260531T105912_7f3bc53d,165.0,400.0,0.0,0.6833727758302426,2.509781193518818,0.0,0.0,8.21866796840709e-10,6.831424315123513e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.6204572318883677,1.6204572318883683,2.637531128668567,ok,,,2026-05-31T11:02:33Z
20260531T105912_7f3bc53d,170.0,400.0,0.0,0.6856311104264075,2.506476413063055,0.0,0.0,7.536193891155563e-13,1.6975310046518644e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.4663176998745568,1.4663176998745573,2.5485314442356133,ok,,,2026-05-31T11:02:33Z
20260531T105912_7f3bc53d,175.0,400.0,0.0,0.6918124723342879,2.508144396973941,0.0,0.0,4.923950136515032e-11,1.5498713423767185e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.2941874826827617,1.2941874826827608,2.454901413858133,ok,,,2026-05-31T11:02:33Z
20260531T105912_7f3bc53d,180.0,400.0,0.0,0.7061199427939011,2.5182655480255742,0.0,0.0,1.731593313181179e-9,3.490672195738398e-10,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,1.0907491921325874,1.0907491921325878,2.3533994894042225,ok,,,2026-05-31T11:02:33Z
20260531T105912_7f3bc53d,185.0,400.0,0.0,0.7389263632200805,2.541735747898083,0.0,0.0,3.863576125695545e-14,1.3322676295501878e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.8455377248573706,0.8455377248573704,2.2455537911170196,ok,,,2026-05-31T11:02:36Z
20260531T105912_7f3bc53d,190.0,400.0,0.0,0.8038509424912602,2.5676748373005096,0.0,0.0,3.441247287128135e-11,4.987121826616203e-13,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.5871278742472638,0.587127874247264,2.147326583224708,ok,,,2026-05-31T11:02:37Z
20260531T105912_7f3bc53d,195.0,400.0,0.0,0.8633780663129775,2.5617088850832843,0.09230630481914949,0.22463467115011607,4.6152481836259085e-10,5.118150058688055e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.3956579940609349,0.3956579940609351,2.075422584644203,ok,,,2026-05-31T11:02:37Z
20260531T105912_7f3bc53d,200.0,400.0,0.0,1.0216287811176683,2.6505041523986055,0.2686786289857307,0.4574678381237062,1.9770716175315783e-9,4.685146961137584e-12,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.28451937010012673,0.2845193701001266,2.0200335255998882,ok,,,2026-05-31T11:02:39Z
20260531T105912_7f3bc53d,205.0,400.0,0.0,1.1723235246782633,2.708069880374946,0.39496334278027584,0.5901953737886504,6.853094678058303e-10,5.861977570020827e-14,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.2188953688891021,0.2188953688891019,1.9692120443898706,ok,,,2026-05-31T11:02:42Z
20260531T105912_7f3bc53d,210.0,400.0,0.0,1.3146758224519763,2.7484895674254726,0.515182763947207,0.6989671428167268,2.2936953139468416e-10,3.372831559360308e-15,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.17673600152886484,0.17673600152886507,1.9184211116455259,ok,,,2026-05-31T11:02:46Z
20260531T105912_7f3bc53d,215.0,400.0,0.0,1.4499064987818362,2.7794385905795234,0.6362048982951918,0.8006903297504564,8.420713762616928e-11,2.969470362231502e-16,good,good,false,false,newton,newton,0,0,none,none,false,false,0,0,0.14764689891045488,0.14764689891045496,1.866204869460653,ok,,,2026-05-31T11:02:52Z
