window_id,mode_key,observable,channel,exchange_channel,sigma_scope,xi,sigma_peak_ds,sigma_peak_value,simple_peak_ds,simple_peak_invabs,mixed_peak_ds,mixed_peak_invabs,dominant_denominator_branch,denominator_sigma_same_band,max_abs_D_simple_sq,max_abs_D_mixed_sq,max_abs_D_total_sq
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,s,full_process,0.25,0.0001,149.7860508903109,0.0001,5.829395770007686,0.0001,4.326335161662078e8,mixed_detM,true,1.3619716657582015,2882.368137085807,2759.9286868652352
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,t,full_process,0.25,0.0001,149.7860508903109,0.0001,990.5810780859201,0.0001,82771.84045407141,mixed_detM,true,231.43794215012704,0.9105287459533484,261.3816174173914
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,s,full_process,0.26,0.0001,6693.68991811507,0.0001,5.64564630340833,0.0001,1.843861174809762e10,mixed_detM,true,1.3195679652206245,122019.06586203682,122027.69898160442
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,t,full_process,0.26,0.0001,6693.68991811507,0.0001,994.3078652096771,0.0001,82999.92250553227,mixed_detM,true,232.4015242870409,0.9134436777363498,262.4550230818348
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,s,full_process,0.27,0.0001,171.37967437398567,0.0001,5.4736342556758215,0.0001,4.50840407873439e8,mixed_detM,true,1.2798642610859654,2963.7763665794664,3086.7499692194165
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_uubar,t,full_process,0.27,0.0001,171.37967437398567,0.0001,997.8830888110377,0.0001,83223.44539588883,mixed_detM,true,233.32850578881707,0.9162970309506746,263.4884836476287
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,s,full_process,0.25,0.0001,162.5302329183553,0.0001,5.829395770007686,0.0001,4.326335161662078e8,mixed_detM,true,1.3619716657582015,2882.368137085807,3007.531530637895
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,t,full_process,0.25,0.0001,162.5302329183553,0.0001,990.5810780859201,,,simple_1m4KPi,true,925.7517686005086,0.0,925.7517686005086
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,s,full_process,0.26,0.0001,6692.885737448926,0.0001,5.64564630340833,0.0001,1.843861174809762e10,mixed_detM,true,1.3195679652206245,122019.06586203682,122013.07187839967
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,t,full_process,0.26,0.0001,6692.885737448926,0.0001,994.3078652096771,,,simple_1m4KPi,true,929.606097148164,0.0,929.606097148164
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,s,full_process,0.27,0.0001,158.28275525134993,0.0001,5.4736342556758215,0.0001,4.50840407873439e8,mixed_detM,true,1.2798642610859654,2963.7763665794664,2843.3624924616884
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_dbar,uubar_to_ddbar,t,full_process,0.27,0.0001,158.28275525134993,0.0001,997.8830888110308,,,simple_1m4KPi,true,933.3140231552563,0.0,933.3140231552563
