mode_key,scan_rows,channel_rows,failed_rows,xi_count,xi_min,xi_max,xi_step,plot_count,has_antiquark_tau_fields,has_zeta_over_s,scan_csv,channel_diagnostics_csv,plot_manifest,scan_sha256,diagnostics_sha256
mode_a,910,38220,0,103,-0.5,0.5,0.01,36,True,True,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/phase_guided_transport_scan.csv,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/channel_diagnostics.csv,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/plot_manifest.json,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,6eaf02101e330762569d028fe1398c94184e243ea6d7e39a8db69718a6e4e246
mode_b,909,38178,0,101,-0.5,0.5,0.01,36,True,True,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/phase_guided_transport_scan.csv,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/channel_diagnostics.csv,data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/plot_manifest.json,3b73b937f1f09cf7112b3a42219088f98b852e5ef0354174b66f71823f7bb29c,ada5d7c204a02e705cfbb5744bedbcc68158d54cce55faa0c8b92d0ba50d0d0f
