window_id,mode_key,plot_panel,plot_series,target_xi,species,rank,channel,density_key,target_contribution,target_rate,target_share,prev_contribution,next_contribution,contribution_ratio_to_neighbor_max,rate_ratio_to_neighbor_max,contribution_delta_vs_neighbor_max
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,1,uubar_to_ssbar,dbar,9.985695331205146e-06,0.011430324239148791,0.0001992004274323128,2.123336542935205e-05,9.614659488550998e-06,0.470283213672825,1.0018658840582373,-1.1247670098146904e-05
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,2,usbar_to_usbar,sbar,5.0349810690402336e-05,0.1961329287498513,0.0010044071522312028,0.0001772838801170805,4.8594529197461604e-05,0.2840067052748997,0.6246506004844739,-0.00012693406942667818
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,3,uubar_to_uubar,dbar,0.00029087110322294907,0.3329513780825486,0.005802465043035417,0.0035032613394058868,0.0002775656139164514,0.08302866244979527,0.29538802861568547,-0.0032123902361829377
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,4,uubar_to_ddbar,dbar,0.00019620802890538328,0.2245934123089395,0.003914071271678475,0.003549735009050663,0.00018808842953386623,0.055273993243190545,0.19664625944920341,-0.00335352698014528
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,5,udbar_to_udbar,dbar,0.00021898024074258678,0.25066007630262294,0.004368344527680432,0.006942107904092929,0.00020919931282509875,0.03154376794020738,0.11222210682488831,-0.006723127663350342
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,d,6,us_to_us,s,0.006045236187633525,0.19519883660633783,0.12059386878575536,0.014549700439350876,0.0058107160163613876,0.41548870458416315,1.00178619388814,-0.008504464251717352
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,1,ubarsbar_to_ubarsbar,sbar,6.219152293692486e-05,0.24226119959092052,0.00041013516552220223,0.0002200192576894543,5.985365208472764e-05,0.2826639976429015,0.6216974197566071,-0.00015782773475252947
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,2,ubarubar_to_ubarubar,dbar,0.00014271934050481578,0.16336652411872107,0.0009411929082445536,0.0014779733526849518,0.00013577010920163377,0.09656421764678336,0.34354297713451426,-0.001335254012180136
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,3,ubardbar_to_ubardbar,dbar,0.00020470421570519063,0.23431874106142941,0.0013499652915155368,0.0019952250804603534,0.00019494677082724778,0.10259705419198105,0.36500577855112315,-0.0017905208647551627
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,4,uubar_to_ssbar,d,0.0020090834577288766,0.011430324239148791,0.01324932623565521,0.004085915490012314,0.001925188527620408,0.49170949879896364,1.0018658840582373,-0.002076832032283437
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,5,subar_to_subar,s,0.0071615247782005585,0.23124345544875105,0.04722819142534206,0.09948435549318871,0.006810005159114897,0.0719864419153912,0.19405020883875015,-0.09232283071498815
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,dbar,6,uubar_to_uubar,d,0.05852214617347511,0.3329513780825486,0.38593668355598465,0.674129111556321,0.055578269434313654,0.08681148042749345,0.29538802861568547,-0.615606965382846
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,s,1,ssbar_to_ssbar,sbar,6.896192484100484e-05,0.26863466030611444,0.000965624751154999,0.00018709988690061757,6.673585614085965e-05,0.3685834662082696,0.8106705905862021,-0.00011813796205961273
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,s,2,ssbar_to_uubar,sbar,9.82667818303821e-05,0.19139448048500204,0.0013759598063791904,0.000272424916515528,9.509233874146714e-05,0.36071143229947905,0.7933566658906547,-0.00017415813468514587
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,s,3,usbar_to_usbar,ubar,0.0003426890838678134,0.1961329287498513,0.004798431338688983,0.001951766939710936,0.00032852813928016376,0.17557889566392948,0.6246506004844739,-0.0016090778558431225
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,s,4,ss_to_ss,s,0.0022876230435878294,0.07386665183002512,0.03203195730533719,0.006795216082542256,0.0021967516025187066,0.3366519939616069,0.9074957449767223,-0.004507593038954426
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,s,5,us_to_us,u,0.06861935766450653,0.19519883660633783,0.9608280267984398,0.2084681672823225,0.06575919400232605,0.32915988354028786,1.00178619388814,-0.13984880961781598
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sbar,1,sbarsbar_to_sbarsbar,sbar,1.9821560891940666e-05,0.07721301702671352,0.00022130877783008263,5.0612287934607813e-05,1.9186139369779652e-05,0.39163534589763177,0.861371402302314,-3.079072704266715e-05
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sbar,2,ubarsbar_to_ubarsbar,ubar,0.0004232857229721706,0.24226119959092052,0.004726007529607947,0.0024222524516860724,0.00040464655740599337,0.17474880567363302,0.6216974197566071,-0.0019989667287139017
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sbar,3,ssbar_to_ssbar,s,0.00831951664245951,0.26863466030611444,0.09288784421757425,0.02766413422696327,0.007982831417790283,0.30073294809098944,0.8106705905862021,-0.01934461758450376
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sbar,4,ssbar_to_uubar,s,0.011854833355125497,0.19139448048500204,0.13235984267358347,0.040280085584754856,0.011374786407089638,0.2943100339293295,0.7933566658906547,-0.02842525222962936
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,sbar,5,usbar_to_usbar,u,0.06894772439046516,0.1961329287498513,0.7698049968014042,0.3755765800947833,0.06578273577923352,0.18357833806640714,0.6246506004844739,-0.30662885570431814
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,1,uubar_to_ssbar,ubar,9.985695331205137e-06,0.011430324239148791,0.00019920042743231284,2.1233365429352056e-05,9.614659488550998e-06,0.47028321367282444,1.0018658840582373,-1.124767009814692e-05
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,2,usbar_to_usbar,sbar,5.0349810690402336e-05,0.1961329287498513,0.001004407152231204,0.0001772838801170805,4.8594529197461604e-05,0.2840067052748997,0.6246506004844739,-0.00012693406942667818
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,3,uubar_to_uubar,ubar,0.00029087110322294885,0.3329513780825486,0.005802465043035419,0.0035032613394058876,0.0002775656139164514,0.0830286624497952,0.29538802861568547,-0.003212390236182939
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,4,uubar_to_ddbar,ubar,0.00019620802890538315,0.2245934123089395,0.0039140712716784765,0.0035497350090506643,0.00018808842953386623,0.05527399324319049,0.19664625944920341,-0.0033535269801452812
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,5,udbar_to_udbar,ubar,0.0002189802407425866,0.25066007630262294,0.004368344527680434,0.006942107904092931,0.00020919931282509875,0.03154376794020734,0.11222210682488831,-0.006723127663350344
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,u,6,us_to_us,s,0.006045236187633525,0.19519883660633783,0.12059386878575548,0.014549700439350876,0.0058107160163613876,0.41548870458416315,1.00178619388814,-0.008504464251717352
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,1,ubarsbar_to_ubarsbar,sbar,6.219152293692486e-05,0.24226119959092052,0.00041013516552220277,0.0002200192576894543,5.985365208472764e-05,0.2826639976429015,0.6216974197566071,-0.00015782773475252947
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,2,ubarubar_to_ubarubar,ubar,0.00014271934050481567,0.16336652411872107,0.000941192908244554,0.0014779733526849523,0.00013577010920163377,0.09656421764678325,0.34354297713451426,-0.0013352540121801366
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,3,ubardbar_to_ubardbar,ubar,0.00020470421570519047,0.23431874106142941,0.0013499652915155375,0.001995225080460354,0.00019494677082724778,0.10259705419198095,0.36500577855112315,-0.0017905208647551634
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,4,uubar_to_ssbar,u,0.002009083457728874,0.011430324239148791,0.01324932623565521,0.0040859154900123144,0.001925188527620408,0.49170949879896286,1.0018658840582373,-0.0020768320322834405
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,5,subar_to_subar,s,0.0071615247782005585,0.23124345544875105,0.047228191425342125,0.09948435549318871,0.006810005159114897,0.0719864419153912,0.19405020883875015,-0.09232283071498815
mode_b_T120p0_muB900p0_xim0p12_1,mode_b,T120.0,muB900.0,-0.12,ubar,6,uubar_to_uubar,u,0.05852214617347503,0.3329513780825486,0.3859366835559846,0.6741291115563212,0.055578269434313654,0.08681148042749331,0.29538802861568547,-0.6156069653828461
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,1,uubar_to_ddbar,dbar,0.18888083519382615,2.5245911119733644,0.31623182274451545,0.022055299720839396,0.02104437567736898,8.563965921322678,8.646326485227771,0.16682553547298676
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,2,uubar_to_uubar,dbar,0.2062393013431186,2.7566052774816003,0.34529405865006246,0.03977133881527815,0.038249594999426866,5.185626320024506,5.235497035513335,0.16646796252784046
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,3,uubar_to_ssbar,dbar,0.0021401052966535687,0.028604759212729917,0.003583049588548575,0.0021631346758139453,0.002117356023598313,0.9893537007113479,0.9988684196442316,-2.3029379160376638e-05
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,4,usbar_to_usbar,sbar,0.008956056632878896,0.24654887668136277,0.014994586987674306,0.009073490642157223,0.008842144064965023,0.9870574606940458,0.9953389787534765,-0.0001174340092783277
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,5,us_to_us,s,0.03635360916607957,0.19323248433820236,0.060864661457759345,0.03667846034944335,0.03603557644407562,0.9911432710024124,0.9994414029571489,-0.0003248511833637835
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,d,6,udbar_to_udbar,dbar,0.02454456233898702,0.3280639026436718,0.04109348457168384,0.024932898788145787,0.02416922004662132,0.9844247372734936,0.9938920538449081,-0.0003883364491587653
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,dbar,1,uubar_to_ddbar,d,0.99669411764934,2.5245911119733644,0.4299478802939487,0.11634556014338734,0.11108190548209645,8.56667084176644,8.646326485227771,0.8803485575059526
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,dbar,2,uubar_to_uubar,d,1.0882919819041275,2.7566052774816003,0.4694608129765256,0.20980076220609498,0.20189897584008556,5.187264195136995,5.235497035513335,0.8784912196980325
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,dbar,3,ubarsbar_to_ubarsbar,sbar,0.008331186435691062,0.2293469929167221,0.0035938568161784736,0.008418650122275977,0.008245853489798222,0.9896107231783533,0.9979136633841293,-8.746368658491509e-05
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,dbar,4,uubar_to_ssbar,d,0.011292995174105038,0.028604759212729917,0.004871503956226313,0.011410913418028117,0.011176380107024427,0.9896661871312791,0.9988684196442316,-0.0001179182439230795
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,muB450.0,alpha1.0,0.26,dbar,5,ubarubar_to_ubarubar,dbar,0.01419590297101424,0.1897431808276453,0.006123742764370856,0.014398685876780873,0.0139992404285881,0.9859165685325743,0.9953982322026204,-0.00020278290576663388
