window_id,window_label,mode_key,plot_panel,plot_series,observable,primary_species,xi,mechanism_verdict,evidence_score,dominant_channels,channel_coverage_share,dominant_denominator_branch,max_rate_reproduction_rel_error,denominator_sigma_alignment,upstream_branch_flag,mechanism_note
mode_a_muB450p0_alpha1p0_xip0p26_2,"muB450.0, alpha1.0, tau_dbar, xi=0.26",mode_a,muB450.0,alpha1.0,tau_dbar,dbar,0.26,small_denominator_supported,0.95,uubar_to_uubar;uubar_to_ddbar,0.8994086932704743,mixed_detM,0.0,true,false,"uubar_to_uubar:full_process_rate_rel_err=0.0 | uubar_to_uubar:exchange=s:branch=mixed_detM,aligned=true | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_ddbar:full_process_rate_rel_err=0.0 | uubar_to_ddbar:exchange=s:branch=mixed_detM,aligned=true | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=true"
mode_b_T200p0_muB450p0_xip0p31_1,"T200.0, muB450.0, tau_dbar, xi=0.31",mode_b,T200.0,muB450.0,tau_dbar,dbar,0.31,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar,0.7614427908317833,simple_1m4KPi,1.7693393690896493e-11,true,false,"dubar_to_dubar:full_process_rate_rel_err=1.769e-11 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=1.276e-11 | uubar_to_uubar:exchange=s:branch=simple_1m4KPi,aligned=true | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true"
mode_a_muB900p0_alpha1p0_xim0p03_1,"muB900.0, alpha1.0, tau_ubar, xi=-0.03",mode_a,muB900.0,alpha1.0,tau_ubar,ubar,-0.03,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar;uubar_to_ddbar,0.9254248753323171,simple_1m4KPi,1.410457186678328e-14,true,false,"dubar_to_dubar:full_process_rate_rel_err=1.41e-14 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=2.012e-15 | uubar_to_uubar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=false | uubar_to_ddbar:full_process_rate_rel_err=4.411e-15 | uubar_to_ddbar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=false"
mode_a_muB900p0_alpha1p1_xip0p20_1,"muB900.0, alpha1.1, tau_dbar, xi=0.20",mode_a,muB900.0,alpha1.1,tau_dbar,dbar,0.2,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar;uubar_to_ddbar,0.909774529600377,simple_1m4KPi,4.517974090443865e-15,true,false,"dubar_to_dubar:full_process_rate_rel_err=2.983e-15 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=2.438e-15 | uubar_to_uubar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_ddbar:full_process_rate_rel_err=4.518e-15 | uubar_to_ddbar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=true"
mode_a_muB0p0_alpha1p2_xim0p47_1,"muB0.0, alpha1.2, tau_s, xi=-0.47",mode_a,muB0.0,alpha1.2,tau_s,s,-0.47,small_denominator_supported,0.95,usbar_to_usbar;ssbar_to_ssbar,0.7129992142961719,simple_1m4KPi,1.5922743054393902e-16,true,false,"usbar_to_usbar:full_process_rate_rel_err=1.592e-16 | usbar_to_usbar:exchange=s:branch=simple_1m4KPi,aligned=true | usbar_to_usbar:exchange=t:branch=mixed_detM,aligned=false | ssbar_to_ssbar:full_process_rate_rel_err=0.0 | ssbar_to_ssbar:exchange=s:branch=mixed_detM,aligned=true | ssbar_to_ssbar:exchange=t:branch=mixed_detM,aligned=true"
mode_a_muB450p0_alpha1p0_xim0p20_1,"muB450.0, alpha1.0, tau_dbar, xi=-0.20",mode_a,muB450.0,alpha1.0,tau_dbar,dbar,-0.2,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar;uubar_to_ddbar,0.8147915532119131,simple_1m4KPi,1.021649716325903e-15,true,false,"dubar_to_dubar:full_process_rate_rel_err=1.022e-15 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=1.556e-16 | uubar_to_uubar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_ddbar:full_process_rate_rel_err=0.0 | uubar_to_ddbar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=true"
mode_b_T200p0_muB0p0_xim0p21_1,"T200.0, muB0.0, tau_ubar, xi=-0.21",mode_b,T200.0,muB0.0,tau_ubar,ubar,-0.21,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar;uubar_to_ddbar;subar_to_subar,0.794010551157283,simple_1m4KPi,6.527216110349778e-16,true,false,"dubar_to_dubar:full_process_rate_rel_err=3.112e-16 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=6.527e-16 | uubar_to_uubar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_ddbar:full_process_rate_rel_err=3.341e-16 | uubar_to_ddbar:exchange=s:branch=mixed_detM,aligned=false | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=true | subar_to_subar:full_process_rate_rel_err=0.0 | subar_to_subar:exchange=s:branch=simple_1m4KPi,aligned=true | subar_to_subar:exchange=t:branch=mixed_detM,aligned=false"
mode_a_muB450p0_alpha1p1_xip0p35_1,"muB450.0, alpha1.1, tau_ubar, xi=0.35",mode_a,muB450.0,alpha1.1,tau_ubar,ubar,0.35,small_denominator_supported,0.95,dubar_to_dubar;uubar_to_uubar;uubar_to_ddbar,0.8280643071652302,simple_1m4KPi,1.0902443797563915e-13,true,false,"dubar_to_dubar:full_process_rate_rel_err=1.09e-13 | dubar_to_dubar:exchange=s:branch=simple_1m4KPi,aligned=true | dubar_to_dubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_uubar:full_process_rate_rel_err=3.009e-14 | uubar_to_uubar:exchange=s:branch=simple_1m4KPi,aligned=true | uubar_to_uubar:exchange=t:branch=mixed_detM,aligned=true | uubar_to_ddbar:full_process_rate_rel_err=4.83e-14 | uubar_to_ddbar:exchange=s:branch=simple_1m4KPi,aligned=true | uubar_to_ddbar:exchange=t:branch=simple_1m4KPi,aligned=true"
