mode_key,mode,plot_panel,plot_series,species,observable,xi_left,xi_right,xi_mid,tau_left,tau_right,tau_ratio_right_over_left,tau_step_factor,tau_rel_step,log_step_abs,robust_z,phase_left,phase_right,phase_reference_left,phase_reference_right,phase_structure_left,phase_structure_right,seed_right,m_u_left,m_u_right,Phi_left,Phi_right
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,ubar,tau_ubar,-0.13,-0.12,-0.125,0.3571010832272542,6.594711725232475,18.4673529008471,18.4673529008471,0.9458503876885284,2.9160044650903783,248.00281486193907,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.4446043944155144,1.5261700534994047,0.2532292651172192,0.13846116728368252
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,dbar,tau_dbar,-0.13,-0.12,-0.125,0.3571010832272542,6.594711725232475,18.4673529008471,18.4673529008471,0.9458503876885284,2.9160044650903783,248.00281486193907,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.4446043944155144,1.5261700534994047,0.2532292651172192,0.13846116728368252
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,sbar,tau_sbar,-0.13,-0.12,-0.125,2.2421843162132347,11.165052996409859,4.979542901836999,4.979542901836999,0.7991783543764447,1.6053381000441782,386.83406446393207,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.4446043944155144,1.5261700534994047,0.2532292651172192,0.13846116728368252
mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,ubar,tau_ubar,0.26,0.27,0.265,0.4313739518278308,1.8420696668847354,4.270238522932277,4.270238522932277,0.7658210438059272,1.4516696858519054,169.5318910645148,hadron,hadron,crossover,crossover,crossover_possible,crossover_possible,phase_aware_continuity_hadron,1.0942563874212174,1.1022755085867502,0.5089572266004811,0.5079423195192739
mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,dbar,tau_dbar,0.26,0.27,0.265,0.4313739518278308,1.8420696668847354,4.270238522932277,4.270238522932277,0.7658210438059272,1.4516696858519054,169.5318910645148,hadron,hadron,crossover,crossover,crossover_possible,crossover_possible,phase_aware_continuity_hadron,1.0942563874212174,1.1022755085867502,0.5089572266004811,0.5079423195192739
mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,ubar,tau_ubar,0.25,0.26,0.255,1.7770086104536544,0.4313739518278308,0.24275287654217098,4.1194156553126575,0.757247123457829,1.4157113220676425,165.28383234011565,hadron,hadron,crossover,crossover,crossover_possible,crossover_possible,phase_aware_continuity_hadron,1.0860320991851309,1.0942563874212174,0.5099831170422963,0.5089572266004811
mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,dbar,tau_dbar,0.25,0.26,0.255,1.7770086104536544,0.4313739518278308,0.24275287654217098,4.1194156553126575,0.757247123457829,1.4157113220676425,165.28383234011565,hadron,hadron,crossover,crossover,crossover_possible,crossover_possible,phase_aware_continuity_hadron,1.0860320991851309,1.0942563874212174,0.5099831170422963,0.5089572266004811
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,ubar,tau_ubar,0.31,0.32,0.315,0.15348114802839274,0.5898400627835437,3.8430782565845036,3.8430782565845036,0.73979192375626,1.3462736747853425,1152.9843919708533,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.4584952542047695,0.46766191435996474,0.6156986871375865,0.6151629598999663
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,dbar,tau_dbar,0.31,0.32,0.315,0.15348114802839274,0.5898400627835437,3.8430782565845036,3.8430782565845036,0.73979192375626,1.3462736747853425,1152.9843919708533,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.4584952542047695,0.46766191435996474,0.6156986871375865,0.6151629598999663
mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.0,ubar,tau_ubar,-0.003,0.003,0.0,0.9904377701927239,3.7072579931154417,3.7430498964049668,3.7430498964049668,0.7328381860577238,1.3199007594252028,84.98168852263248,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.6364003185598558,1.3395817569149469,0.2654589831457642,0.1903798518327652
mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.0,dbar,tau_dbar,-0.003,0.003,0.0,0.9904377701927239,3.7072579931154417,3.7430498964049668,3.7430498964049668,0.7328381860577238,1.3199007594252028,84.98168852263248,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.6364003185598558,1.3395817569149469,0.2654589831457642,0.1903798518327652
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,ubar,tau_ubar,0.3,0.31,0.305,0.5109381261800189,0.15348114802839274,0.300390869587048,3.328995989041596,0.6996091304129519,1.2026707537383308,1029.9126251000648,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44940105303518385,0.4584952542047695,0.6162347439028665,0.6156986871375865
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,dbar,tau_dbar,0.3,0.31,0.305,0.5109381261800189,0.15348114802839274,0.300390869587048,3.328995989041596,0.6996091304129519,1.2026707537383308,1029.9126251000648,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44940105303518385,0.4584952542047695,0.6162347439028665,0.6156986871375865
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,s,tau_s,-0.13,-0.12,-0.125,4.594011680522248,14.002288268218948,3.047943549553005,3.047943549553005,0.6719099341106056,1.1144671171650342,161.9782003056794,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.4446043944155144,1.5261700534994047,0.2532292651172192,0.13846116728368252
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,u,tau_u,0.31,0.32,0.315,0.5757215099708028,1.5566185651349367,2.7037700314755986,2.7037700314755986,0.6301460596283612,0.9946471070327577,1023.8593250464392,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.4584952542047695,0.46766191435996474,0.6156986871375865,0.6151629598999663
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,d,tau_d,0.31,0.32,0.315,0.5757215099708028,1.5566185651349367,2.7037700314755986,2.7037700314755986,0.6301460596283612,0.9946471070327577,1023.8593250464392,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.4584952542047695,0.46766191435996474,0.6156986871375865,0.6151629598999663
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,u,tau_u,-0.13,-0.12,-0.125,7.479691771808944,19.948578524102846,2.667032162914694,2.667032162914694,0.6250513908661904,0.9809663047127231,110.03446306252401,quark,hadron,first_order,first_order,first_order_possible,first_order_possible,first_order_stable_multiseed_hadron,0.4446043944155144,1.5261700534994047,0.2532292651172192,0.13846116728368252
