point,regime,n_pi,n_K,kpi_ratio
muB0_T208,stable,0.34465191566583037,0.19596136448944404,0.5685776157978631
muB0_T208,strict_bw_stage1,0.07822362383083462,0.0400471384927334,0.5119570857435449
muB0_T208,strict_bw_stage2,0.20968272406243949,0.5833566524338094,2.782092111031985
muB0_T208,phase_shift_current,2.825152056795388,3.866937311158646,1.3687536930472233
muB0_T208,phase_shift_gbu,0.2618159235644508,0.20315084823571838,0.7759300712880783
muB0_T208,phase_shift_current_derivative_ref,0.04624986571363261,-0.11646677890774322,-2.5182079366213914
muB0_T208,phase_shift_gbu_derivative_ref,0.22518840563207843,0.023035350612156107,0.10229367958576055
muB0_T220,stable,0.35845254253373116,0.22879610990352253,0.638288428047605
muB0_T220,strict_bw_stage1,0.06335972515675178,0.0372780975425535,0.588356364399113
muB0_T220,strict_bw_stage2,0.6041742336649798,1.0349016754305382,1.712919250383658
muB0_T220,phase_shift_current,2.7982831078431776,3.9147638643595903,1.3989877769647685
muB0_T220,phase_shift_gbu,0.20837460527043938,0.18505900422420343,0.8881072815184184
muB0_T220,phase_shift_current_derivative_ref,-0.03496073344032595,-0.12929197114480015,3.698205341300606
muB0_T220,phase_shift_gbu_derivative_ref,0.05493082804412991,0.003449727471150299,0.06280130109050756
