point,meson,density_raw,density_tailnorm,density_gbu_raw,density_gbu_tailnorm
muB0_T208,pi,2.825152056795388,-278.31225211636354,0.2618159235644509,-174.54847573944295
muB0_T208,K,3.866937311158646,-274.9127107665251,0.20315084823571838,-130.30819500636397
muB0_T220,pi,2.7982831078431776,-246.6964064322113,0.2083746052704394,-121.11040658807804
muB0_T220,K,3.9147638643595903,-257.76217423900465,0.18505900422420343,-101.29507426776588
