comparison_id,T_MeV,muB_MeV,eB_GeV2,profile_a,regularization,fortran_n_max,fortran_pz_max_fm_inv,julia_n_max,julia_pz_max_fm_inv,fortran_residual_norm,julia_residual_norm,max_abs_state_delta_fm_inv,fortran_state,julia_state,verdict
p1,50,0,0.01,0.0108805,smooth_Landau_cutoff_N10,400,25,300,25,4.135945711693483e-08,4.15856838042195e-09,8.99145093573583e-05,"-1.958795785282835;-1.958318336464493;-2.322880728834404;1.270579889354954e-05;1.270579889354952e-05","-1.958885699792192;-1.958408205260108;-2.322987333063354;1.27167534599658e-05;1.27167534599658e-05",same_route_candidate
p2,150,0,0.02,0.0108805,smooth_Landau_cutoff_N10,400,25,300,25,7.879709591000386e-07,4.40826278202432e-09,1.07165424845235e-04,"-1.947005935065991;-1.945108742656304;-2.317374174369415;0.04639938537893964;0.04639938537893421","-1.947096631374938;-1.94519958634151;-2.31748133979426;0.04639528687340011;0.04639528687340011",same_route_candidate
