method,xi,T_MeV,status,reason,legacy_converged,legacy_mu,legacy_area,candidate_count,candidate_mu,candidate_area,rho_hadron,rho_quark,endpoint_dependent,endpoint_mu_zero,source_point_count
independent_oracle,-0.5,5.0,first_order,unique_three_crossing_candidate,true,317.797192999,35.99495949785824,1,331.52549799321025,-9.124843314782917e-9,0.0016980793053411665,2.803080118140777,true,317.797193,1197
independent_oracle,-0.5,20.0,first_order,unique_three_crossing_candidate,true,330.8029181695722,7.884252880477525e-7,1,330.8029192233193,-3.731255834736068e-6,0.005664190852583045,2.7983936649601837,false,94.031838,1194
independent_oracle,-0.5,60.0,first_order,unique_three_crossing_candidate,true,322.21364294555474,3.4713414196995845e-6,1,322.213643057185,-3.77859859451789e-6,0.03298353143660221,2.7854380803505547,false,-6.0e-6,1194
independent_oracle,-0.5,130.0,first_order,unique_three_crossing_candidate,true,245.5925395473987,3.6212441683892136e-6,1,245.59254031380905,2.02856875378194e-6,0.8111084441292876,2.889205913853568,false,0.0,1191
independent_oracle,-0.5,147.094727,first_order,unique_three_crossing_candidate,true,202.24667888959345,3.304456382762666e-6,1,202.24664867400654,4.997751211699057e-6,2.1974872658802407,2.252794603199192,false,0.0,1191
independent_oracle,-0.5,147.219727,monotone,no_s_shape,false,,,0,,,,,false,0.0,1191
independent_oracle,0.0,5.0,first_order,unique_three_crossing_candidate,true,361.02523090029035,1.419362684824828e-6,1,361.0252332696763,-4.50147903628863e-6,0.005243801817786789,2.5041367500456726,false,318.261865,1200
independent_oracle,0.0,20.0,first_order,unique_three_crossing_candidate,true,360.3970944778017,1.1063006702390174e-6,1,360.3970952431723,-3.011855485871327e-6,0.009762693655301535,2.499477896162938,false,103.659128,1195
independent_oracle,0.0,60.0,first_order,unique_three_crossing_candidate,true,353.43422499258116,1.5681380964828215e-6,1,353.43422580377063,-3.487600806895454e-6,0.11817188372572587,2.484404187454693,false,1.231385,1194
independent_oracle,0.0,120.0,first_order,unique_three_crossing_candidate,true,308.6045875351331,4.1419090335861165e-6,1,308.6045840010746,1.3058124214388125e-6,0.962004466949882,2.5034960966980373,false,-0.0,1193
independent_oracle,0.0,131.086914,monotone,no_s_shape,false,,,0,,,,,false,-0.0,1192
independent_oracle,0.0,145.0,monotone,no_s_shape,false,,,0,,,,,false,0.0,1191
