xi,method,calculation_sha,T_MeV,rho_level,rho,muq_MeV,pressure_fm4,residual_norm,iterations,converged,finite,sampling_role,cache_reused,solver_message
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,3,3.94375,397.346382,22.031433,0.0,2,true,true,stage_b_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,3,3.95625,397.729014,22.03511,0.0,2,true,true,stage_b_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,3,3.96875,398.110687,22.038789,0.0,2,true,true,stage_b_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,3,3.98125,398.491398,22.04247,0.0,2,true,true,stage_b_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,3,3.99375,398.871146,22.046153,0.0,2,true,true,stage_b_grid,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,0.784375,347.25829,21.646407,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,0.790625,347.317094,21.64652,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,0.796875,347.374023,21.64663,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.078125,348.450364,21.648941,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.084375,348.449431,21.648939,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.490625,347.307874,21.645236,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.496875,347.282492,21.645144,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.903125,346.175226,21.640699,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,1.909375,346.175543,21.640701,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,2.190625,347.271893,21.646302,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,2.196875,347.325718,21.646589,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
0.35,production_hybrid,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,101.0,4,2.203125,347.381046,21.646885,0.0,2,true,true,stage_c_guard,false,governance.selection=pressure_max_under_constraints;seed=continuation
