channel,xi,muB_MeV,T_Mott_MeV,gap_source,bracket_T_low_MeV,bracket_T_high_MeV,gap_low_inv_fm,gap_high_inv_fm,bracket_gap_jump_inv_fm,bracket_mass_jump_inv_fm,bracket_threshold_jump_inv_fm,bracket_kind,M_inv_fm,M_MeV,Gamma_inv_fm,Gamma_MeV,threshold_inv_fm,threshold_MeV,source_csv
K,0.3,0,215.211227549,M_K-m_u+m_s,215,220,-0.0105193331809,0.238485430945,0.249004764126,0.0596919573721,0.189312806754,continuous_bracket,2.52991069908,499.219688518,0.0164730149302,3.25057061713,2.52991069908,499.219688518,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,200,211.828905448,M_K-m_u+m_s,210,215,-0.0802603830339,0.1391615207,0.219421903734,0.00548978458386,0.21393211915,continuous_bracket,2.55496377346,504.163336526,0.106997753542,21.1135457133,2.55496377346,504.163336526,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,400,202.512575881,M_K-m_u+m_s,200,205,-0.108049455419,0.106967842601,0.21501729802,0.00607561003835,0.221092908059,continuous_bracket,2.56737250592,506.611914475,0.126873843986,25.0356350121,2.56737250592,506.611914475,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,600,185.967249838,M_K-m_u+m_s,185,190,-0.0445945365754,0.185927789761,0.230522326336,0.031171715982,0.199350610354,continuous_bracket,2.60087346944,513.222559104,0.0634675906659,12.5238692633,2.60087346944,513.222559104,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,800,160.925923698,M_K-m_u+m_s,160,165,-0.0439462879842,0.193364238245,0.237310526229,0.0397305145359,0.197580011693,continuous_bracket,2.66218228819,525.320444383,0.0590258454913,11.6473930133,2.66218228819,525.320444383,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,900,144.384115396,M_K-m_u+m_s,140,145,-0.241245627019,0.0338904098128,0.275136036832,0.00290217311128,0.278038209944,continuous_bracket,2.68739843683,530.296271344,0.111078913552,21.9188687745,2.68739843683,530.296271344,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,1000,120.700763963,M_K-m_u+m_s,120,125,-0.0264430150853,0.162229751116,0.188672766201,0.0415420563604,0.147130709841,continuous_bracket,2.76439362137,545.489500125,0.0382847166171,7.5546082759,2.76439362137,545.489500125,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
K,0.3,1100,85.1151761154,M_K-m_u+m_s,85,90,-0.00329127170858,0.139588686338,0.142879958047,0.0463339973328,0.0965459607141,continuous_bracket,2.81503474229,555.482360592,0.00599990681053,1.1839436112,2.81503474229,555.482360592,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,0,196.492274437,M_pi-m_u+m_d,195,200,-0.132092751084,0.310495916994,0.442588668077,0.149360582638,0.293228085439,continuous_bracket,0.764939854382,150.943286646,0.0581750286414,11.4795038767,0.764939854382,150.943286646,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,200,193.203409294,M_pi-m_u+m_d,190,195,-0.320015440979,0.179476524651,0.49949196563,0.12645650787,0.37303545776,continuous_bracket,0.764884055074,150.932275936,0.0883800895066,17.4397779221,0.764884055074,150.932275936,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,400,182.572158661,M_pi-m_u+m_d,180,185,-0.25102321028,0.236938932261,0.487962142541,0.140026775005,0.347935367536,continuous_bracket,0.776425992383,153.209811799,0.0801573509733,15.8172095955,0.776425992383,153.209811799,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,600,163.748278172,M_pi-m_u+m_d,160,165,-0.4804842823,0.160455717756,0.640940000056,0.153652470957,0.487287529098,continuous_bracket,0.792029832886,156.288870834,0.0822508809984,16.2303195948,0.792029832886,156.288870834,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,800,134.421353267,M_pi-m_u+m_d,130,135,-2.35495648564,0.308206061186,2.66316254683,0.309482120655,2.35368042617,continuous_bracket,0.914345606248,180.425075444,0.0975205065919,19.2434290043,0.914345606248,180.425075444,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,900,114.001441313,M_pi-m_u+m_d,110,115,-2.68011654332,0.668822418573,3.34893896189,0.521408901319,2.82753006057,branch_jump,1.08284145384,213.673855562,0.100173978303,19.7670306166,1.08284145384,213.673855562,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,-0.3,1000,73.7801168268,M_pi-m_u+m_d,70,75,-2.95214273676,0.952687288341,3.9048300251,0.796848447994,3.10798157711,branch_jump,1.28282515465,253.136039292,0.0306752821995,6.05306141058,1.28282515465,253.136039292,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,0,207.247382365,M_pi-m_u+m_d,205,210,-0.180176972219,0.220682656746,0.400859628965,0.0866870244061,0.314172604559,continuous_bracket,0.861087187353,169.915751419,0.0796824736094,15.7235034699,0.861087187353,169.915751419,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,200,204.160617862,M_pi-m_u+m_d,200,205,-0.35545871121,0.071711871335,0.427170582545,0.0552330697544,0.371937512791,continuous_bracket,0.845289160336,166.798374142,0.0791989502925,15.6280912644,0.845289160336,166.798374142,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,400,194.185678287,M_pi-m_u+m_d,190,195,-0.370404806003,0.0720620781911,0.442466884194,0.0595271238217,0.382939760373,continuous_bracket,0.853683220428,168.454748837,0.0772728991723,15.248029375,0.853683220428,168.454748837,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,600,176.398992036,M_pi-m_u+m_d,175,180,-0.115772577299,0.297998817766,0.413771395065,0.111784804177,0.301986590888,continuous_bracket,0.89000501163,175.62201893,0.0524995736447,10.3595833686,0.89000501163,175.62201893,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,800,149.115923851,M_pi-m_u+m_d,145,150,-0.587479282063,0.126187082256,0.713666364319,0.129227381274,0.584438983044,continuous_bracket,0.930694296974,183.651113539,0.0721464899456,14.2364504215,0.930694296974,183.651113539,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,900,129.626463062,M_pi-m_u+m_d,125,130,-2.1232746072,0.171431498482,2.29470610568,0.319286347107,1.97541975857,continuous_bracket,1.00227516368,197.775951223,0.0681541707362,13.4486580489,1.00227516368,197.775951223,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0,1000,99.4109168944,M_pi-m_u+m_d,95,100,-2.71645079673,0.362785178182,3.07923597491,0.5513405665,2.52789540841,branch_jump,1.17082827947,231.036031902,0.0460942109741,9.09563236889,1.17082827947,231.036031902,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,0,215.716395106,M_pi-m_u+m_d,215,220,-0.0507646166552,0.303541381768,0.354305998423,0.0934723345195,0.260833663904,continuous_bracket,0.915641983411,180.680885661,0.0327767042976,6.46772872893,0.915641983411,180.680885661,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,200,212.668283862,M_pi-m_u+m_d,210,215,-0.188668166971,0.16487024329,0.353538410261,0.0522627067122,0.301275703549,continuous_bracket,0.921242612002,181.786040898,0.0850467554357,16.7820211099,0.921242612002,181.786040898,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,400,203.182050534,M_pi-m_u+m_d,200,205,-0.229169579047,0.130927749115,0.360097328162,0.0464799984474,0.313617329715,continuous_bracket,0.925001430596,182.527757295,0.0869418018321,17.1559649301,0.925001430596,182.527757295,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,600,186.30778774,M_pi-m_u+m_d,185,190,-0.0951476331706,0.268625593484,0.363773226655,0.0834337458774,0.280339480777,continuous_bracket,0.948429832894,187.150813635,0.0502515245133,9.91598257764,0.948429832894,187.150813635,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,800,160.593655088,M_pi-m_u+m_d,160,165,-0.0463227176809,0.343825691842,0.390148409523,0.10902947385,0.281118935674,continuous_bracket,0.983303539523,194.032337544,0.0221728426602,4.37530052361,0.983303539523,194.032337544,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,900,143.16047039,M_pi-m_u+m_d,140,145,-0.328747491203,0.191345170104,0.520092661306,0.101197614858,0.418895046448,continuous_bracket,1.02957279127,203.162510183,0.0648676735645,12.8001434215,1.02957279127,203.162510183,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,1000,118.387757403,M_pi-m_u+m_d,115,120,-0.368749772639,0.175488979935,0.544238752574,0.103493793514,0.44074495906,continuous_bracket,1.11579009267,220.175511616,0.0390716432227,7.70989014221,1.11579009267,220.175511616,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
pi,0.3,1100,74.8384754692,M_pi-m_u+m_d,70,75,-0.189254871249,0.00631796202589,0.195572833275,0.00779511475544,0.20336794803,continuous_bracket,1.44942851696,286.011380965,0.00207802504905,0.410050448853,1.44942851696,286.011380965,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\mott_grid_combined.csv
