path_id,path_label,sigma_target,xi,path_order_key,T_MeV,muB_MeV,M_pi_MeV,Gamma_pi_MeV,gap_pi_inv_fm,gap_source_pi,M_K_MeV,Gamma_K_MeV,gap_K_inv_fm,gap_source_K,source_csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,100,100,373.190195,134.967524133,0,-3.041473,gap_pi,497.668165696,0,-2.125078,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,110,110,374.483418,134.969102749,0,-3.039892,gap_pi,497.665403118,0,-2.123878,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,120,120,371.708019,134.970878692,0,-3.036129,gap_pi,497.654550133,0,-2.120999,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,130,130,364.118589,134.969892057,0,-3.027848,gap_pi,497.620017908,0,-2.114607,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,140,140,351.811692,134.959236399,0,-3.010253,gap_pi,497.525498275,0,-2.100925,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,150,150,336.608943,134.922533577,0,-2.971587,gap_pi,497.281602103,0,-2.070699,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,160,160,326.531348,134.821304826,0,-2.864382,gap_pi,496.581091253,0,-1.986732,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,170,170,360.493034,135.011528054,0,-2.359062,gap_pi,494.552372366,0,-1.594017,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,180,180,375.316764,138.210593378,0,-1.601295,gap_pi,495.871700688,0,-1.018412,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,190,190,375.90617,153.831788006,0,-0.546069,gap_pi,505.092594071,0,-0.275183,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,200,200,391.838214,198.134462084,50.129740388,0.416381,gap_pi,521.239665154,86.87321175,0.323152,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,210,210,415.647096,265.351142056,106.41253129,1.005329,gap_pi,544.208330627,141.968291439,0.678205,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,220,220,438.423221,324.852336328,162.161552657,1.410602,gap_pi,556.9357248,187.657385019,0.915196,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,230,230,459.662854,378.760691439,221.141408995,1.739478,gap_pi,567.464501539,236.000724076,1.124946,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,240,240,479.789162,428.422372183,283.521998851,2.025578,gap_pi,578.880657797,289.24388987,1.33208,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,250,250,499.264886,474.534534851,348.931558157,2.28251,gap_pi,592.619747499,347.467589144,1.54319,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,260,260,518.440167,517.504462371,416.881110607,2.51696,gap_pi,609.133057494,409.919019393,1.75787,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,270,270,537.526199,557.635840996,486.935747493,2.732889,gap_pi,628.207671949,475.662455983,1.973062,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,280,280,556.624497,595.19940337,558.778364326,2.933049,gap_pi,649.288115359,543.928520941,2.185367,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,290,290,575.772527,630.44200557,632.202557064,3.11953,gap_pi,671.733272301,614.208702588,2.392079,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma30__sigma=30p000000,sigma=30.000000,30,0,300,300,594.980265,663.582285912,707.076511271,3.29397,gap_pi,694.961620106,686.208194386,2.591412,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma30p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,100,100,313.887999,134.967129479,0,-3.041687,gap_pi,497.667968369,0,-2.125236,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,110,110,309.288528,134.967918787,0,-3.040498,gap_pi,497.665205791,0,-2.124329,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,120,120,300.110743,134.968510768,0,-3.037668,gap_pi,497.655536768,0,-2.122154,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,130,130,285.758742,134.966142844,0,-3.031465,gap_pi,497.626727026,0,-2.117348,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,140,140,266.579183,134.955289859,0,-3.018413,gap_pi,497.550756131,0,-2.10717,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,150,150,244.471331,134.923125558,0,-2.990459,gap_pi,497.361914192,0,-2.085266,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,160,160,224.689231,134.83748564,0,-2.92043,gap_pi,496.858533015,0,-2.03027,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,170,170,234.763847,134.680413348,0,-2.596262,gap_pi,494.974454819,0,-1.776731,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,180,180,255.94342,135.805177248,0,-1.98871,gap_pi,493.821473158,0,-1.308099,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,190,190,258.868641,141.73801083,0,-1.191531,gap_pi,497.489979415,0,-0.714822,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,200,200,261.854821,164.353263646,0,-0.130187,gap_pi,502.03540686,0,-0.031499,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,210,210,275.207503,218.514197317,69.578289508,0.628857,gap_pi,527.824467144,108.584312252,0.461901,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,220,220,290.264802,279.279271024,121.682483858,1.111203,gap_pi,544.965671653,155.227481877,0.745262,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,230,230,304.577595,334.056062262,175.289125986,1.471975,gap_pi,556.036900315,198.905616,0.95918,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,240,240,318.123569,384.426936244,232.065037061,1.775201,gap_pi,566.087159079,245.833528486,1.156636,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,250,250,331.142537,431.279469816,292.002324003,2.04357,gap_pi,577.333811444,297.368434441,1.353872,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,260,260,343.871522,475.075210831,354.730998687,2.286985,gap_pi,590.836700727,353.410091749,1.555209,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,270,270,356.486936,516.096139572,419.804904766,2.51058,gap_pi,606.89497466,413.261541446,1.759894,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,280,280,369.096177,554.571155359,486.834321415,2.717541,gap_pi,625.289402946,476.110980254,1.965192,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,290,290,381.752955,590.716923238,555.534111119,2.910162,gap_pi,645.530022644,541.294402818,2.168118,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
xi0__sigma45__sigma=45p000000,sigma=45.000000,45,0,300,300,394.479252,624.739847251,625.715826593,3.090234,gap_pi,667.056819728,608.365258137,2.366249,gap_K,data\outputs\results\relaxtime\paper_p1_mott_phase_isentropic\production_20260531\isentropic_xi0p000_sigma45p0.csv
