window_id,candidate_source,selected_for_deep_scan,selected_order,selection_reason,mode_key,mode,plot_panel,plot_panel_label,plot_series,plot_series_label,selector,T_MeV,muB_MeV,alpha_T,xi,prev_xi,next_xi,observable,primary_species,mechanism_applicability,local_shape,local_score,value_at_xi,phase_curr,phase_structure,window_label
mode_a_muB0p0_alpha1p0_xip0p37_supplement,author_paper_figure_residual_noise_review,True,1,isolated light-flavor tau dip with smooth equilibrium background,mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,muB0.0,alpha1.0,"alpha_T=1.0, T=200.153 MeV",T_MeV=200.152917747;muB_MeV=0;alpha_T=1,200.1529177469735,0.0,1.0,0.37,0.36,0.38,tau_u,u,tau_species,local_tau_dip,1.065882,2.1697716830451648,hadron,crossover_possible,"muB0.0, alpha1.0, tau_u, xi=0.37"
mode_a_muB0p0_alpha1p2_xim0p47_supplement,author_paper_figure_residual_noise_review,True,2,isolated strange-flavor tau dip with smooth equilibrium background,mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,muB0.0,alpha1.2,"alpha_T=1.2, T=240.184 MeV",T_MeV=240.183501296;muB_MeV=0;alpha_T=1.2,240.18350129636818,0.0,1.2,-0.47,-0.48,-0.46,tau_s,s,tau_species,local_tau_dip,1.027526,0.6676786278664151,quark,no_transition,"muB0.0, alpha1.2, tau_s, xi=-0.47"
