T_MeV,mu_MeV,xi,v_n_sq,dmuB_dT_sigma,M_u_MeV,M_d_MeV,M_s_MeV,dM_u_dT,dM_d_dT,dM_s_dT,dM_u_dmuB,dM_d_dmuB,dM_s_dmuB,entropy_fm3,n_B_fm3,success
150.00,0.00,0.00,7.879846e-02,-2.599728e-12,363.909334,363.909334,546.453381,-3.035097e-01,-3.035097e-01,-1.929164e-01,1.838561e-16,1.847780e-16,1.224692e-16,1.668448e-01,-4.553474e-16,true
150.00,50.00,0.00,7.951898e-02,-2.179307e+00,363.453557,363.453557,546.184966,-3.475445e-01,-3.475445e-01,-2.197904e-01,-6.608376e-03,-6.608376e-03,-3.890179e-03,1.832041e-01,2.278966e-03,true
160.00,0.00,0.00,7.137694e-02,NaN,-636.613829,-636.613829,367.471523,1.789851e-01,1.789851e-01,-2.862035e-01,3.392140e-19,4.131180e-19,-6.015028e-19,1.544577e-01,0.000000e+00,false
160.00,50.00,0.00,7.174150e-02,-2.277012e+00,-636.385013,-636.385013,367.105616,2.019744e-01,2.019744e-01,-3.230026e-01,3.284359e-03,3.284359e-03,-5.252431e-03,1.680107e-01,1.811085e-03,true
