xi,method,calculation_sha,equilibrium_requests,fixedrho_requests,unique_solves,requested_point_calls,uncached_equivalent_requests,cache_hits,targeted_additions,residual_calls,jacobian_calls,newton_iterations,trust_region_iterations,nonconverged_attempts,fallback_count,governed_rescue_count,retry_count,exception_count,runner_seconds
-0.5,c2_dense_baseline,7e8b91adc0eaa2a01e1e50428870eb562febab70,7692,7692,7692,7692,7692,0,0,81686,66061,26957,23988,62,7,7,0,14,196.408949339
0.0,c2_dense_baseline,7e8b91adc0eaa2a01e1e50428870eb562febab70,7692,7692,7692,7692,7692,0,0,82065,66120,27599,23848,73,4,4,0,8,276.333574721
0.5,c2_dense_baseline,7e8b91adc0eaa2a01e1e50428870eb562febab70,10897,10897,10897,10897,10897,0,0,124715,99500,39625,41642,156,40,79,0,2,370.90228421
-0.5,high_resolution_oracle,7e8b91adc0eaa2a01e1e50428870eb562febab70,8972,8972,8972,10254,10254,1282,0,99434,81081,34368,29236,116,16,16,0,32,284.118887776
0.0,high_resolution_oracle,7e8b91adc0eaa2a01e1e50428870eb562febab70,8972,8972,8972,10254,10254,1282,0,102138,83119,37250,29283,149,5,5,0,10,430.904479371
0.5,high_resolution_oracle,7e8b91adc0eaa2a01e1e50428870eb562febab70,10897,10897,10897,10897,10897,0,0,124715,99500,39625,41642,156,40,79,0,2,351.617670146
-0.5,rho_support_cascade,7e8b91adc0eaa2a01e1e50428870eb562febab70,1046,1046,1046,2092,2092,1046,74,11114,8996,3608,3326,5,2,2,0,4,47.427510348
0.0,rho_support_cascade,7e8b91adc0eaa2a01e1e50428870eb562febab70,1059,1059,1059,2118,2118,1059,87,11378,9165,3825,3361,9,0,0,0,0,59.855839329
0.5,rho_support_cascade,7e8b91adc0eaa2a01e1e50428870eb562febab70,1431,1431,1431,2862,2862,1431,54,16204,12958,5163,5340,17,4,8,0,0,50.424673547
