window_id,window_label,mode_key,plot_panel,plot_series,observable,primary_species,xi,mechanism_verdict,evidence_score,dominant_channels,channel_coverage_share,dominant_denominator_branch,max_rate_reproduction_rel_error,denominator_sigma_alignment,upstream_branch_flag,mechanism_note
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,"muB900.0, alpha1.0, tau_sbar, xi=-0.003 (left branch endpoint)",mode_a,muB900.0,alpha1.0,tau_sbar,sbar,-0.003,small_denominator_supported,0.95,usbar_to_usbar,0.8078348157023251,simple_1m4KPi,1.911957755336218e-16,true,true,"usbar_to_usbar:full_process_rate_rel_err=1.912e-16 | usbar_to_usbar:exchange=s:branch=simple_1m4KPi,aligned=true | usbar_to_usbar:exchange=t:branch=mixed_detM,aligned=true"
mode_a_muB900p0_alpha1p0_xim0p01_sbar_review,"muB900.0, alpha1.0, tau_sbar, xi=-0.01 (left branch control)",mode_a,muB900.0,alpha1.0,tau_sbar,sbar,-0.01,small_denominator_supported,0.95,usbar_to_usbar,0.8106500057371591,simple_1m4KPi,3.7335610413815904e-16,true,false,"usbar_to_usbar:full_process_rate_rel_err=3.734e-16 | usbar_to_usbar:exchange=s:branch=simple_1m4KPi,aligned=true | usbar_to_usbar:exchange=t:branch=mixed_detM,aligned=true"
