window_id,channel,exchange_channel,sigma_scope,xi,band,ds_left,ds_right,area_invabs_den_simple,area_invabs_detM,area_abs_D_total_sq,area_sigma,prefactor,omega_bin,omega_sigma_bin,sigma_eff_bin,rate_bin,rate_func
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,1,0.0,0.02,2.6039054368306216,0.0,1.8269456315655948,0.009210410107251583,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,2,0.02,0.05,1.9033870810788605,0.0,1.3354496917476255,0.006849822228781098,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,3,0.05,0.1,5.608342329761429,0.0,3.9349111433759614,0.02054540435788587,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,4,0.1,0.2,9.914182943260005,0.0,6.955964284469987,0.03779208793399169,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,5,0.2,0.5,22.63799175357422,0.0,15.883211255148465,0.09548924920162442,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,6,0.5,1.0,21.278808352545695,0.0,14.929584390715197,0.1107194901325163,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,7,1.0,2.0,25.349433811413043,0.0,17.78560646226523,0.18704706161105414,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,1,0.0,0.02,0.0,1394.661901600077,0.0029793963222827327,0.009210410107251583,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,2,0.02,0.05,0.0,1074.4532388970756,0.002295339124673871,0.006849822228781098,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,3,0.05,0.1,0.0,3335.4923433584067,0.007125564704537207,0.02054540435788587,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,4,0.1,0.2,0.0,6582.761045158751,0.014062658502329978,0.03779208793399169,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,5,0.2,0.5,0.0,19240.2352422559,0.04110264004119167,0.09548924920162442,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,6,0.5,1.0,0.0,27107.516657052773,0.05790940108249992,0.1107194901325163,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.02,7,1.0,2.0,0.0,51397.813619595225,0.10980041592582848,0.18704706161105414,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,1,0.0,0.02,1.326133318146527,0.0,0.9402192662610355,0.005861152572339515,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,2,0.02,0.05,0.98703953316143,0.0,0.6998041395541924,0.004433763744616845,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,3,0.05,0.1,2.9594856094003306,0.0,2.0982546400911897,0.013518658687317943,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,4,0.1,0.2,5.42014270054349,0.0,3.8428433425213373,0.025704924573195818,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,5,0.2,0.5,13.302170604062567,0.0,9.431146110189891,0.0694718156839933,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,6,0.5,1.0,13.870195267478024,0.0,9.833871631784579,0.08845114291052769,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.01,7,1.0,2.0,18.216628187295925,0.0,12.915462234180154,0.16297028924013768,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,1,0.0,0.02,0.0,1421.5763474753508,0.00357606961315776,0.005861152572339515,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,2,0.02,0.05,0.0,1094.8123903965406,0.002754073200752636,0.004433763744616845,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,3,0.05,0.1,0.0,3397.4964413844946,0.008546627697080044,0.013518658687317943,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,4,0.1,0.2,0.0,6699.917725408884,0.016854087528286765,0.025704924573195818,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,5,0.2,0.5,0.0,19544.731821662783,0.04916606954589029,0.0694718156839933,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,6,0.5,1.0,0.0,27437.3202549227,0.06902039936466255,0.08845114291052769,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,t,full_process,-0.01,7,1.0,2.0,0.0,51767.468633955585,0.130224501737636,0.16297028924013768,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,1,0.0,0.02,0.818243549709043,0.0,0.5858624142519978,0.004420908976986386,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,2,0.02,0.05,0.6145921706194634,0.0,0.44004801869508153,0.003371967577001575,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,3,0.05,0.1,1.8594282086558263,0.0,1.331350671616948,0.010365252619683275,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,4,0.1,0.2,3.47021910127395,0.0,2.484677015026502,0.02004592810442483,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,5,0.2,0.5,8.873972043883851,0.0,6.35376433762686,0.05621044359859124,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,6,0.5,1.0,9.86608198942908,0.0,7.064115098237473,0.07566249725618027,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.003,7,1.0,2.0,13.856015009425478,0.0,9.920907299813711,0.1476372685802625,,,,,,
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,1,0.0,0.02,,,,,8.649614227131499,9.7804257942031e-7,1.2173048500211966e-8,0.012446337977869005,1.0529217349499518e-7,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,2,0.02,0.05,,,,,8.649614227131499,4.270365205214863e-6,8.405482572749315e-7,0.1968328742114316,7.270418164715835e-6,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,3,0.05,0.1,,,,,8.649614227131499,1.620374875801185e-5,3.3427070383641044e-6,0.20629220363042977,2.8913126356166757e-5,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,4,0.1,0.2,,,,,8.649614227131499,6.616215969073102e-5,1.3322832935908963e-5,0.20136635500088465,0.00011523736530813428,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,5,0.2,0.5,,,,,8.649614227131499,0.00045141008840482205,8.500247308927552e-5,0.18830432742355055,0.0007352386005743599,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,6,0.5,1.0,,,,,8.649614227131499,0.0015402043204542242,0.00026014899133439535,0.16890550680813204,0.002250188416619895,0.29033670370764125
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,all,full_process_rate,-0.003,7,1.0,2.0,,,,,8.649614227131499,0.0055250757876088566,0.0008273214851215299,0.1497393912635501,0.0071560116881187455,0.29033670370764125
