window_id,channel,exchange_channel,sigma_scope,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.0001,8.11102511901811,-0.0866158269562165,-0.0006597015802166861,,,133.28469889323674,,93.51487767309948,0.0,93.51487767309948,0.4689483287806647
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.0005,8.111425119018111,-0.08663823556612749,-0.0014752613668079563,,,133.18487201244486,,93.44483738623069,0.0,93.44483738623069,0.4686979957444901
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.001,8.11192511901811,-0.08666627895770973,-0.0020865534633879653,,,133.0601588095529,,93.35733642018174,0.0,93.35733642018174,0.4683851169494238
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.005,8.115925119018112,-0.08689059275013489,-0.004669590038577042,,,132.06933855455233,,92.66215958659328,0.0,92.66215958659328,0.4658987162624524
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.01,8.12092511901811,-0.08717093677658028,-0.0066107181127974275,,,130.8476842102987,,91.80502551561347,0.0,91.80502551561347,0.46283143275441524
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.02,8.13092511901811,-0.08773147748481458,-0.009368543147404844,,,128.45905317645574,,90.12912017320865,0.0,90.12912017320865,0.45682886263594774
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.05,8.160925119018112,-0.08941193441418949,-0.014905845623043666,,,121.70368239378719,,85.38943379042514,0.0,85.38943379042514,0.43981315042034763
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.1,8.21092511901811,-0.09220884258793971,-0.021299070082823703,,,111.6554807353953,,78.33943962964126,0.0,78.33943962964126,0.41438520955196156
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.2,8.31092511901811,-0.09778839690440955,-0.03074151435143995,,,95.16910874860747,,66.77231247686417,0.0,66.77231247686417,0.3723074230107354
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,0.5,8.61092511901811,-0.11441641256330315,-0.05155668587989345,,,63.49525912672183,,44.54938518346648,0.0,44.54938518346648,0.28981444997042166
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,1.0,9.11092511901811,-0.14178054652372674,-0.07991879890993851,,,37.751893195550956,,26.48738905084487,0.0,26.48738905084487,0.22084916837481972
mode_a_muB900p0_alpha1p0_xim0p003_sbar_review,usbar_to_usbar,s,full_process,-0.02,2.0,10.11092511901811,-0.19529407575836788,-0.13324583999927914,,,17.8909343903253,,12.552592719655522,0.0,12.552592719655522,0.17311083026253649
