xi,method,calculation_sha,equilibrium_requests,fixedrho_requests,unique_solves,requested_point_calls,uncached_equivalent_requests,cache_hits,targeted_additions,residual_calls,jacobian_calls,newton_iterations,trust_region_iterations,nonconverged_attempts,fallback_count,governed_rescue_count,retry_count,exception_count,runner_seconds
-0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,10248,10248,10248,15376,15376,5128,0,83690,63170,0,42712,0,0,0,0,0,154.609433868
0.0,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,10248,10248,10248,15376,15376,5128,0,83614,63070,0,42658,0,0,0,0,0,156.153750879
0.5,independent_oracle,8fb86255c7894004cb1c52bbb03f9f53a4828411,10248,10248,10248,15376,15376,5128,0,83684,63118,0,42726,0,0,0,0,0,165.452099803
-0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,5128,5128,5128,7696,7696,2568,0,43832,33560,0,23332,0,0,0,0,0,90.118532608
0.0,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,5128,5128,5128,7696,7696,2568,0,43520,33228,0,23034,0,0,0,0,0,94.525848419
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,5128,5128,5128,7696,7696,2568,0,43308,33008,0,22814,0,0,0,0,0,99.753216398
-0.5,production_hybrid,8fb86255c7894004cb1c52bbb03f9f53a4828411,4292,4292,4291,9053,9053,4762,12,38280,29590,0,21130,4,0,0,0,0,92.002097805
0.0,production_hybrid,8fb86255c7894004cb1c52bbb03f9f53a4828411,4287,4287,4287,9690,9690,5403,8,37690,29104,0,20558,0,0,0,0,0,91.669519485
0.5,production_hybrid,8fb86255c7894004cb1c52bbb03f9f53a4828411,4267,4267,4267,8397,8397,4130,20,37362,28790,0,20312,0,0,0,0,0,91.122547492
