# schema: M2_st_grid_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_s: 240
# n_t: 60
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t,M2
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.411841913867562e-5,25.949061878674826
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.387912389903705e-5,25.950318116554385
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.3639828659398481e-5,25.958992596696316
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.340053341975991e-5,25.92709622469728
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.316123818012134e-5,25.951996393653403
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.2921942940482771e-5,25.949861749385782
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.2682647700844201e-5,25.96451112414005
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.244335246120563e-5,25.963235089957315
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.2204057221567061e-5,25.957990172523573
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.1964761981928492e-5,25.973782646705857
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.1725466742289922e-5,25.96002511533594
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.1486171502651353e-5,25.959740025449815
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.1246876263012782e-5,25.959398245057383
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.1007581023374212e-5,25.959006790141387
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.0768285783735643e-5,25.939162135688463
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.0528990544097072e-5,25.932401169360887
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.0289695304458502e-5,25.933103679044958
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-1.0050400064819933e-5,25.93471665253293
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-9.811104825181363e-6,25.93420737851361
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-9.571809585542794e-6,25.956037358755705
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-9.332514345904224e-6,25.957502543629683
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-9.093219106265653e-6,25.958511268134796
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-8.853923866627084e-6,25.962089585891427
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-8.614628626988513e-6,25.965363932649282
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-8.375333387349943e-6,25.968567466749015
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-8.136038147711374e-6,25.9719116734405
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-7.896742908072805e-6,25.97137615547724
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-7.657447668434235e-6,25.96983235292088
us_to_us,150.0,800.0,0.0,6.839260841368458,516.0491856366709,0.001,6.839287347630491,516.0501856366709,-1.411841913867562e-5,0.0,-7.418152428795665e-6,25.96833915416557
