process,s,sigma
ssbar_to_uubar,25.51,0.0
ssbar_to_uubar,25.510635451505017,0.0
ssbar_to_uubar,25.511270903010033,0.0
ssbar_to_uubar,25.51190635451505,0.0
ssbar_to_uubar,25.512541806020067,0.0
ssbar_to_uubar,25.513177257525083,0.0
ssbar_to_uubar,25.513812709030102,0.0
ssbar_to_uubar,25.514448160535117,0.0
ssbar_to_uubar,25.515083612040133,0.0
ssbar_to_uubar,25.515719063545152,0.0
ssbar_to_uubar,25.516354515050168,0.0
ssbar_to_uubar,25.516989966555183,0.0
ssbar_to_uubar,25.517625418060202,0.0
ssbar_to_uubar,25.518260869565218,0.0
ssbar_to_uubar,25.518896321070233,0.0
ssbar_to_uubar,25.519531772575252,0.0
ssbar_to_uubar,25.520167224080268,0.0
ssbar_to_uubar,25.520802675585283,0.0
ssbar_to_uubar,25.521438127090303,0.0
ssbar_to_uubar,25.522073578595318,0.0
ssbar_to_uubar,25.522709030100334,0.0
ssbar_to_uubar,25.523344481605353,0.0
ssbar_to_uubar,25.52397993311037,0.0
ssbar_to_uubar,25.524615384615384,0.0
ssbar_to_uubar,25.525250836120403,0.0
ssbar_to_uubar,25.52588628762542,0.0
ssbar_to_uubar,25.526521739130434,0.0
ssbar_to_uubar,25.527157190635453,0.0
ssbar_to_uubar,25.52779264214047,0.0
ssbar_to_uubar,25.528428093645484,0.0
ssbar_to_uubar,25.529063545150503,0.0
ssbar_to_uubar,25.52969899665552,0.0
ssbar_to_uubar,25.530334448160534,0.0
ssbar_to_uubar,25.530969899665553,0.0
ssbar_to_uubar,25.53160535117057,0.0
ssbar_to_uubar,25.532240802675584,0.0
ssbar_to_uubar,25.532876254180604,0.0
ssbar_to_uubar,25.53351170568562,0.0
ssbar_to_uubar,25.534147157190635,0.0
ssbar_to_uubar,25.534782608695654,0.0
ssbar_to_uubar,25.53541806020067,0.0
ssbar_to_uubar,25.536053511705685,0.0
ssbar_to_uubar,25.536688963210704,0.0
ssbar_to_uubar,25.53732441471572,0.0
ssbar_to_uubar,25.537959866220735,0.0
ssbar_to_uubar,25.538595317725754,0.0
ssbar_to_uubar,25.53923076923077,0.0
ssbar_to_uubar,25.539866220735785,0.0
ssbar_to_uubar,25.540501672240804,0.0
ssbar_to_uubar,25.54113712374582,0.0
ssbar_to_uubar,25.541772575250835,0.0
ssbar_to_uubar,25.542408026755854,0.0
ssbar_to_uubar,25.54304347826087,0.0
ssbar_to_uubar,25.543678929765885,0.0
ssbar_to_uubar,25.544314381270905,0.0
ssbar_to_uubar,25.54494983277592,0.0
ssbar_to_uubar,25.545585284280936,0.0
ssbar_to_uubar,25.546220735785955,0.0
ssbar_to_uubar,25.54685618729097,0.0
ssbar_to_uubar,25.547491638795986,0.0
ssbar_to_uubar,25.548127090301005,0.0
ssbar_to_uubar,25.54876254180602,0.0
ssbar_to_uubar,25.549397993311036,0.0
ssbar_to_uubar,25.550033444816055,0.0
ssbar_to_uubar,25.55066889632107,0.0
ssbar_to_uubar,25.551304347826086,0.0
ssbar_to_uubar,25.551939799331105,0.0
ssbar_to_uubar,25.55257525083612,0.0
ssbar_to_uubar,25.553210702341136,0.0
ssbar_to_uubar,25.553846153846155,0.0
ssbar_to_uubar,25.55448160535117,0.0
ssbar_to_uubar,25.555117056856187,0.0
ssbar_to_uubar,25.555752508361206,0.0
ssbar_to_uubar,25.55638795986622,0.0
ssbar_to_uubar,25.557023411371237,0.0
ssbar_to_uubar,25.557658862876256,0.0
ssbar_to_uubar,25.55829431438127,0.0
ssbar_to_uubar,25.558929765886287,0.0
ssbar_to_uubar,25.559565217391306,0.0
ssbar_to_uubar,25.56020066889632,0.0
ssbar_to_uubar,25.560836120401337,0.0
ssbar_to_uubar,25.561471571906356,0.0
ssbar_to_uubar,25.56210702341137,0.0
ssbar_to_uubar,25.562742474916387,0.0
ssbar_to_uubar,25.563377926421406,0.0
ssbar_to_uubar,25.564013377926422,0.0
ssbar_to_uubar,25.564648829431437,0.0
ssbar_to_uubar,25.565284280936456,0.0
ssbar_to_uubar,25.565919732441472,0.0
ssbar_to_uubar,25.566555183946488,0.0
ssbar_to_uubar,25.567190635451507,0.0
ssbar_to_uubar,25.567826086956522,0.0
ssbar_to_uubar,25.568461538461538,0.0
ssbar_to_uubar,25.569096989966557,0.0
ssbar_to_uubar,25.569732441471572,0.0
ssbar_to_uubar,25.570367892976588,0.0
ssbar_to_uubar,25.571003344481607,0.0
ssbar_to_uubar,25.571638795986622,0.0
ssbar_to_uubar,25.572274247491638,0.0
ssbar_to_uubar,25.572909698996657,0.0
ssbar_to_uubar,25.573545150501673,0.0
ssbar_to_uubar,25.574180602006688,0.0
ssbar_to_uubar,25.574816053511707,0.0
ssbar_to_uubar,25.575451505016723,0.0
ssbar_to_uubar,25.57608695652174,0.0
ssbar_to_uubar,25.576722408026757,0.0
ssbar_to_uubar,25.577357859531773,0.0
ssbar_to_uubar,25.57799331103679,0.0
ssbar_to_uubar,25.578628762541808,0.0
ssbar_to_uubar,25.579264214046823,0.0
ssbar_to_uubar,25.57989966555184,0.0
ssbar_to_uubar,25.580535117056858,0.0
ssbar_to_uubar,25.581170568561873,0.0
ssbar_to_uubar,25.58180602006689,0.0
ssbar_to_uubar,25.582441471571908,0.0
ssbar_to_uubar,25.583076923076923,0.0
ssbar_to_uubar,25.58371237458194,0.0
ssbar_to_uubar,25.584347826086958,0.0
ssbar_to_uubar,25.584983277591974,0.0
ssbar_to_uubar,25.58561872909699,0.0
