process,s,t,M_squared
uu_to_uu,10.0,-0.3,274.24250329010886
uu_to_uu,10.256410256410257,-0.3,280.9989309838971
uu_to_uu,10.512820512820513,-0.3,288.2458898302774
uu_to_uu,10.76923076923077,-0.3,295.9833798292499
uu_to_uu,11.025641025641026,-0.3,304.21140098081435
uu_to_uu,11.282051282051283,-0.3,312.929953284971
uu_to_uu,11.538461538461538,-0.3,322.13903674171974
uu_to_uu,11.794871794871796,-0.3,331.8386513510606
uu_to_uu,12.051282051282051,-0.3,342.0287971129935
uu_to_uu,12.307692307692308,-0.3,352.7094740275187
uu_to_uu,12.564102564102564,-0.3,363.88068209463586
uu_to_uu,12.820512820512821,-0.3,375.542421314345
uu_to_uu,13.076923076923077,-0.3,387.69469168664637
uu_to_uu,13.333333333333334,-0.3,400.33749321153994
uu_to_uu,13.58974358974359,-0.3,413.47082588902555
uu_to_uu,13.846153846153847,-0.3,427.09468971910314
uu_to_uu,14.102564102564102,-0.3,441.20908470177295
uu_to_uu,14.35897435897436,-0.3,455.81401083703497
uu_to_uu,14.615384615384615,-0.3,470.909468124889
uu_to_uu,14.871794871794872,-0.3,486.4954565653351
uu_to_uu,15.128205128205128,-0.3,502.5719761583732
uu_to_uu,15.384615384615385,-0.3,519.1390269040037
uu_to_uu,15.64102564102564,-0.3,536.1966088022261
uu_to_uu,15.897435897435898,-0.3,553.7447218530407
uu_to_uu,16.153846153846153,-0.3,571.7833660564472
uu_to_uu,16.41025641025641,-0.3,590.312541412446
uu_to_uu,16.666666666666668,-0.3,609.332247921037
uu_to_uu,16.923076923076923,-0.3,628.84248558222
uu_to_uu,17.17948717948718,-0.3,648.8432543959949
uu_to_uu,17.435897435897434,-0.3,669.334554362362
uu_to_uu,17.692307692307693,-0.3,690.3163854813215
uu_to_uu,17.94871794871795,-0.3,711.7887477528728
uu_to_uu,18.205128205128204,-0.3,733.7516411770163
uu_to_uu,18.46153846153846,-0.3,756.2050657537518
uu_to_uu,18.71794871794872,-0.3,779.1490214830799
uu_to_uu,18.974358974358974,-0.3,802.5835083649996
uu_to_uu,19.23076923076923,-0.3,826.5085263995115
uu_to_uu,19.487179487179485,-0.3,850.9240755866153
uu_to_uu,19.743589743589745,-0.3,875.8301559263118
uu_to_uu,20.0,-0.3,901.2267674186
