process,s,t,M_squared
uu_to_uu,15.0,-5.7545197709733,NaN
uu_to_uu,15.0,-5.606967981973984,500.50801097167414
uu_to_uu,15.0,-5.459416192974669,494.6608654608609
uu_to_uu,15.0,-5.3118644039753535,489.1385613673151
uu_to_uu,15.0,-5.164312614976038,483.9410986910365
uu_to_uu,15.0,-5.016760825976723,479.06847743202553
uu_to_uu,15.0,-4.8692090369774075,474.5206975902819
uu_to_uu,15.0,-4.721657247978092,470.2977591658055
uu_to_uu,15.0,-4.574105458978776,466.3996621585966
uu_to_uu,15.0,-4.426553669979461,462.8264065686552
uu_to_uu,15.0,-4.279001880980146,459.57799239598125
uu_to_uu,15.0,-4.13145009198083,456.65441964057464
uu_to_uu,15.0,-3.983898302981515,454.05568830243544
uu_to_uu,15.0,-3.8363465139821997,451.7817983815635
uu_to_uu,15.0,-3.6887947249828845,449.83274987795903
uu_to_uu,15.0,-3.541242935983569,448.208542791622
uu_to_uu,15.0,-3.3936911469842537,446.9091771225524
uu_to_uu,15.0,-3.246139357984938,445.93465287075026
uu_to_uu,15.0,-3.098587568985623,445.2849700362153
uu_to_uu,15.0,-2.9510357799863076,444.9601286189481
uu_to_uu,15.0,-2.803483990986992,444.9601286189481
uu_to_uu,15.0,-2.6559322019876768,445.2849700362153
uu_to_uu,15.0,-2.5083804129883616,445.93465287075026
uu_to_uu,15.0,-2.360828623989046,446.9091771225524
uu_to_uu,15.0,-2.2132768349897307,448.208542791622
uu_to_uu,15.0,-2.065725045990415,449.83274987795903
uu_to_uu,15.0,-1.9181732569910999,451.7817983815635
uu_to_uu,15.0,-1.7706214679917844,454.05568830243544
uu_to_uu,15.0,-1.623069678992469,456.65441964057464
uu_to_uu,15.0,-1.4755178899931538,459.57799239598125
uu_to_uu,15.0,-1.3279661009938384,462.82640656865533
uu_to_uu,15.0,-1.180414311994523,466.3996621585966
uu_to_uu,15.0,-1.0328625229952075,470.2977591658055
uu_to_uu,15.0,-0.8853107339958922,474.5206975902819
uu_to_uu,15.0,-0.7377589449965769,479.06847743202553
uu_to_uu,15.0,-0.5902071559972615,483.9410986910365
uu_to_uu,15.0,-0.4426553669979461,489.1385613673151
uu_to_uu,15.0,-0.29510357799863074,494.6608654608609
uu_to_uu,15.0,-0.14755178899931537,500.50801097167414
uu_to_uu,15.0,0.0,NaN
