# schema: M2_vs_s_mid_t_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 5.0
# n_threshold: 30
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t_mid,M2
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001,19.386802351078874,868.8395952623919,-4.6900269815419104,-4.661137118651707,-4.675582050096809,182.10961016863106
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0013413764884981478,19.386817585651162,868.8399366388804,-4.6923194789541585,-4.658859855811747,-4.675589667382953,182.10934124457827
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0017992908838956234,19.38683802095764,868.8403945532758,-4.694975999390224,-4.65622377068216,-4.675599885036192,182.10937062883994
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0024135264876266427,19.3868654324142,868.8410087888795,-4.698054602292871,-4.653172579236074,-4.675613590764472,182.1094583773013
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.003237447684869894,19.386902201527974,868.8418327100768,-4.701622694905885,-4.6496412557368325,-4.675631975321359,182.10961285767715
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.004342636207227237,19.386951522807443,868.8429378985991,-4.705758567195148,-4.645554704727039,-4.675656635961094,182.10967916179908
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0058251101064753915,19.38701768131063,868.8444203724983,-4.710553188974089,-4.640826241451286,-4.6756897152126875,182.1099899295663
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.007813665739739042,19.387106424948588,868.8464089281316,-4.716112317389377,-4.6353558566739546,-4.675734087031666,182.11042732017873
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.010481067512269437,19.387225463896993,868.8490763299042,-4.722558972944404,-4.629028240067332,-4.675793606505868,182.1110298957938
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.014059057535320003,19.38738514051749,868.8526543199272,-4.730036354574741,-4.621710535057494,-4.675873444816117,182.11179463205877
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.01885848922832098,19.387599328014574,868.8574537516203,-4.738711279772176,-4.613249797357141,-4.675980538564659,182.11289339887128
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.025296334059465353,19.387886635945218,868.8638915964514,-4.748778255190943,-4.603470129869019,-4.676124192529981,182.11437313523913
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.03393190775256175,19.388272027391295,868.8725271701445,-4.760464307805924,-4.592169468700115,-4.6763168882530195,182.11635974365447
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.04551546326917438,19.38878898843087,868.8841107256611,-4.774034738099194,-4.5791159994464214,-4.6765753687728076,182.11902327418736
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.061053372292371594,19.389482438637454,868.8996486346842,-4.7897999971316585,-4.56404419062054,-4.676922093876099,182.12259140114062
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.08189555813651152,19.39041263591356,868.9204908205284,-4.808123941565036,-4.5466504434632675,-4.677387192514152,182.12736916865674
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.10985277619674985,19.391660415707083,868.9484480385886,-4.82943378882016,-4.5265883760016665,-4.678011082410913,182.13376640574137
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.14735393118656923,19.393334221227935,868.9859491935784,-4.854232184000304,-4.503463786342374,-4.678847985171339,182.14233148077528
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.19765709878143814,19.395579538032603,869.0362523611733,-4.883111908629198,-4.476829378518149,-4.679970643573673,182.15379978806692
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.26513258509017706,19.398591557302012,869.1037278474821,-4.916773919219111,-4.446179387197645,-4.681476653208378,182.16914906899112
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.35564261597469843,19.40263217636528,869.1942378783666,-4.956049616096986,-4.410944309383038,-4.683496962740012,182.18969248764805
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.47705064337643627,19.40805282853358,869.3156459057683,-5.001928530880636,-4.370486046767689,-4.686207288824162,182.21723059334116
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.6399045168480669,19.415325152800076,869.47849977924,-5.055593014655144,-4.324093887259676,-4.68984345095741,182.25413500366642
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.8583528737837639,19.42508221675691,869.6969481361757,-5.118462051749096,-4.270981914122557,-4.694721982935826,182.3034441529844
