process,s,sigma
uubar_to_ssbar,25.0,0.0
uubar_to_ssbar,25.975975975975977,0.2566020161921139
uubar_to_ssbar,26.95195195195195,0.5327945819458801
uubar_to_ssbar,27.92792792792793,0.7090438456223854
uubar_to_ssbar,28.903903903903903,0.8509931146078583
uubar_to_ssbar,29.87987987987988,0.9744683289609612
uubar_to_ssbar,30.855855855855857,1.0863049632954462
uubar_to_ssbar,31.83183183183183,1.190174019034989
uubar_to_ssbar,32.807807807807805,1.2882983272230186
uubar_to_ssbar,33.78378378378378,1.3821307836377805
uubar_to_ssbar,34.75975975975976,1.4726727296412876
uubar_to_ssbar,35.73573573573574,1.5606416597102954
uubar_to_ssbar,36.711711711711715,1.6465672007482417
uubar_to_ssbar,37.687687687687685,1.7308495901280323
uubar_to_ssbar,38.66366366366366,1.8137970905860719
uubar_to_ssbar,39.63963963963964,1.895650885685816
uubar_to_ssbar,40.61561561561562,1.9766021850944566
uubar_to_ssbar,41.591591591591595,2.0568042955762653
uubar_to_ssbar,42.567567567567565,2.136381333825832
uubar_to_ssbar,43.54354354354354,2.215434638021917
uubar_to_ssbar,44.51951951951952,2.2940475654058763
uubar_to_ssbar,45.4954954954955,2.3722891349265973
uubar_to_ssbar,46.471471471471475,2.450216828752503
uubar_to_ssbar,47.447447447447445,2.527878771594399
uubar_to_ssbar,48.42342342342342,2.6053154433898054
uubar_to_ssbar,49.3993993993994,2.6825610376582185
uubar_to_ssbar,50.37537537537538,2.7596445477973854
uubar_to_ssbar,51.351351351351354,2.8365906423764073
uubar_to_ssbar,52.327327327327325,2.9134203752758094
uubar_to_ssbar,53.3033033033033,2.9901517654777954
uubar_to_ssbar,54.27927927927928,3.066800273185113
uubar_to_ssbar,55.25525525525526,3.143379192903899
uubar_to_ssbar,56.231231231231234,3.2198999795844307
uubar_to_ssbar,57.207207207207205,3.2963725204683625
uubar_to_ssbar,58.18318318318318,3.372805362653729
uubar_to_ssbar,59.15915915915916,3.4492059043543644
uubar_to_ssbar,60.13513513513514,3.525580556248032
uubar_to_ssbar,61.111111111111114,3.6019348780688407
uubar_to_ssbar,62.087087087087085,3.6782736946231043
uubar_to_ssbar,63.06306306306306,3.7546011946332514
uubar_to_ssbar,64.03903903903904,3.8309210151969038
uubar_to_ssbar,65.01501501501501,3.907236314152561
uubar_to_ssbar,65.990990990991,3.983549832244085
uubar_to_ssbar,66.96696696696696,4.059863946652495
uubar_to_ssbar,67.94294294294295,4.1361807172003635
uubar_to_ssbar,68.91891891891892,4.21250192631879
uubar_to_ssbar,69.89489489489489,4.288829113690328
uubar_to_ssbar,70.87087087087087,4.365163606335747
uubar_to_ssbar,71.84684684684684,4.441506544791987
uubar_to_ssbar,72.82282282282283,4.51785890592904
uubar_to_ssbar,73.7987987987988,4.59422152286992
uubar_to_ssbar,74.77477477477477,4.670595102408914
uubar_to_ssbar,75.75075075075075,4.746980240264404
uubar_to_ssbar,76.72672672672672,4.823377434454285
uubar_to_ssbar,77.70270270270271,4.89978709704021
uubar_to_ssbar,78.67867867867868,4.97620956445233
uubar_to_ssbar,79.65465465465465,5.052645106576562
uubar_to_ssbar,80.63063063063063,5.129093934761271
uubar_to_ssbar,81.6066066066066,5.2055562088789795
uubar_to_ssbar,82.58258258258259,5.28203204356045
uubar_to_ssbar,83.55855855855856,5.358521513702787
uubar_to_ssbar,84.53453453453453,5.435024659340127
uubar_to_ssbar,85.51051051051051,5.511541489953447
uubar_to_ssbar,86.48648648648648,5.588071988286949
uubar_to_ssbar,87.46246246246247,5.664616113729104
uubar_to_ssbar,88.43843843843844,5.741173805309689
uubar_to_ssbar,89.41441441441441,5.817744984357543
uubar_to_ssbar,90.3903903903904,5.894329556858236
uubar_to_ssbar,91.36636636636636,5.970927415546078
uubar_to_ssbar,92.34234234234235,6.047538441760839
uubar_to_ssbar,93.31831831831832,6.124162507095667
uubar_to_ssbar,94.29429429429429,6.2007994748598465
uubar_to_ssbar,95.27027027027027,6.277449201376915
uubar_to_ssbar,96.24624624624624,6.354111537136649
uubar_to_ssbar,97.22222222222223,6.430786327816818
uubar_to_ssbar,98.1981981981982,6.507473415189302
uubar_to_ssbar,99.17417417417417,6.584172637922969
uubar_to_ssbar,100.15015015015015,6.66088383229478
uubar_to_ssbar,101.12612612612612,6.737606832818954
uubar_to_ssbar,102.10210210210211,6.814341472803069
