# x_label.xi: ξ
# y_label.tau_u: τ_u
# y_label.zeta: ζ
# script: scripts/relaxtime/scan_transport_vs_xi_T150_muB800.jl
# y_label.tau_s: τ_s
# schema: scan_csv_v1
# y_label.sigma: σ
# y_scale.tau_s: log
# y_scale.tau_u: log
# title: transport_vs_xi
# y_label.eta: η
# x_label: ξ
T_MeV,muq_MeV,muB_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_d,m_s,rho_baryon,rho_norm,n_u,n_d,n_s,n_ubar,n_dbar,n_sbar,tau_u,tau_d,tau_s,tau_ubar,tau_dbar,tau_sbar,tauinv_u,tauinv_d,tauinv_s,tauinv_ubar,tauinv_dbar,tauinv_sbar,eta,sigma,zeta
150.0,266.6666666666667,800.0,-0.8,0.7601595321471466,1.3513947238171495,true,12,1.2430489970682856e-10,0.5256468483135688,0.5423479750784868,2.315177207008886,2.315177207008886,0.231071668399621,0.8835468817461493,5.522168010913433,0.4987873083097209,0.4987873083097209,1.7345863584957413,0.01425201484906638,0.01425201484906638,0.05301630017860187,3.5200500622730075,3.5200500622730075,4.152711014446886,1.1756688670863291,1.1756688670863291,0.6019470847947409,0.28408686874023276,0.28408686874023276,0.24080654698126,0.8505796385323269,0.8505796385323269,1.6612755925896574,0.6280173678164215,0.12971861067058016,0.27797597062808843
150.0,266.6666666666667,800.0,-0.77,0.7601595321471466,1.3513947238171495,true,3,5.151961079974399e-10,0.5083680238721769,0.5258575076055823,2.3617743921683054,2.3617743921683054,0.3145911566365287,0.794288282166459,4.964301763540369,0.436749709542903,0.436749709542903,1.5816269368453075,0.01247605720322197,0.01247605720322197,0.04730939502529297,3.8872651923899677,3.8872651923899677,4.540070757480336,1.393817070602747,1.393817070602747,0.6375034880398693,0.2572502647768109,0.2572502647768109,0.22026088433806335,0.717454263612625,0.717454263612625,1.5686188683840743,0.6207117298042836,0.13164426017677236,0.30895828157529676
150.0,266.6666666666667,800.0,-0.74,0.7601595321471466,1.3513947238171495,true,3,7.440473237529943e-10,0.49133288216999493,0.5096248406071822,2.4116853891641186,2.4116853891641186,0.40343608020967503,0.7154208447787075,4.471380279866922,0.3830998721546806,0.3830998721546806,1.4441813944613677,0.01094820120167826,0.01094820120167826,0.042222202031249594,4.272486602855834,4.272486602855834,5.016764715613583,1.5385308025455855,1.5385308025455855,0.7235819191002854,0.2340557368469162,0.2340557368469162,0.19933165230725666,0.6499707372419479,0.6499707372419479,1.382013526876705,0.616783941390084,0.1336832224489099,0.3260273710461952
150.0,266.6666666666667,800.0,-0.71,0.7601595321471466,1.3513947238171495,true,4,4.884981308350689e-15,0.4741700120603596,0.4933109247483979,2.4656790070606576,2.4656790070606576,0.49885302073232474,0.6438086844756582,4.0238042779728636,0.33578317280911835,0.33578317280911835,1.3166517734181014,0.009607363141264614,0.009607363141264614,0.037577339326834984,4.722959945406327,4.722959945406327,5.542850510787271,1.879532260741617,1.879532260741617,0.8395706048578798,0.2117316283769516,0.2117316283769516,0.18041258699902524,0.5320472656348153,0.5320472656348153,1.191085054924329,0.6118597267795765,0.13522895327115833,0.32889913274903326
150.0,266.6666666666667,800.0,-0.68,0.7601595321471466,1.3513947238171495,true,4,3.1086244689504383e-15,0.45647013931030056,0.47654471323272074,2.524532739789393,2.524532739789393,0.6020598683095568,0.5771199508941899,3.606999693088687,0.29334064072384053,0.29334064072384053,1.194751907860879,0.008410236832989004,0.008410236832989004,0.033252862960012536,5.247647888329771,5.247647888329771,5.950872855571403,2.4423352353236045,2.4423352353236045,0.8444103268393475,0.19056156611115183,0.19056156611115183,0.1680425753112448,0.40944420140894455,0.40944420140894455,1.1842583732283678,0.5908512500156939,0.1331828908159309,0.3127228492983836
150.0,266.6666666666667,800.0,-0.65,0.7601595321471466,1.3513947238171495,true,4,1.887379141862766e-15,0.4377857702866691,0.45892533349618736,2.5888021102286265,2.5888021102286265,0.7138417384038576,0.5137097411136188,3.210685881960117,0.2547959360048413,0.2547959360048413,1.0753674693700914,0.007327694803870956,0.007327694803870956,0.029174728431176463,5.859581979881622,5.859581979881622,7.050488072619479,3.1110125020270014,3.1110125020270014,1.6076035452937905,0.1706606381536115,0.1706606381536115,0.1418341524303109,0.3214387596798287,0.3214387596798287,0.6220439130825937,0.6103582129203939,0.1390466422085254,0.2579135446015324
150.0,266.6666666666667,800.0,-0.62,0.7601595321471466,1.3513947238171495,true,4,5.440092820663267e-15,0.4177024728642131,0.44009043476144594,2.6582212099114493,2.6582212099114493,0.8335350706320677,0.4527934489143455,2.829959055714659,0.2196715801373486,0.2196715801373486,0.9570523317513476,0.006344938817596219,0.006344938817596219,0.02532526764781632,6.585584589935019,6.585584589935019,7.778428753129445,3.9739187149785353,3.9739187149785353,1.9787044626429064,0.15184680818288102,0.15184680818288102,0.12856066845089717,0.2516407787181931,0.2516407787181931,0.5053811819195702,0.5898837358302216,0.13632649111450545,0.1701550545829832
150.0,266.6666666666667,800.0,-0.59,0.7601595321471466,1.3513947238171495,true,4,2.6645352591003757e-15,0.396061179891716,0.41992086549888835,2.7306899418869746,2.7306899418869746,0.9573685941432619,0.39486168680434736,2.467885542527171,0.18806636919044542,0.18806636919044542,0.8411387004469593,0.005463436330199988,0.005463436330199988,0.021759505754408222,7.4407364591265726,7.4407364591265726,8.587214196039243,4.44825454167112,4.44825454167112,2.351649202554834,0.13439529883811857,0.13439529883811857,0.11645220174678289,0.22480727904215664,0.22480727904215664,0.4252334909958505,0.562769089989109,0.13175072489672426,0.038025686268825604
150.0,266.6666666666667,800.0,-0.56,0.7601595321471466,1.3513947238171495,true,4,1.3322676295501878e-15,0.3732692373269899,0.3988183006539474,2.8017911555795703,2.8017911555795703,1.077794105029847,0.3417478820239363,2.135924262649602,0.16052628299955873,0.16052628299955873,0.7321777240638714,0.004697224198883999,0.004697224198883999,0.018592195593411985,8.528719466293627,8.528719466293627,9.572529112882972,6.337660537786852,6.337660537786852,2.9870398419234814,0.11725089609901022,0.11725089609901022,0.10446560028260167,0.15778693005687644,0.15778693005687644,0.33477959884058917,0.5381498060622588,0.1275883397635659,-0.12115280550438312
150.0,266.6666666666667,800.0,-0.53,0.7601595321471466,1.3513947238171495,true,4,1.887379141862766e-15,0.3502784037531812,0.37766920343700333,2.8665335483018897,2.8665335483018897,1.1865573572197876,0.29548159137848695,1.8467599461155435,0.13747285401007722,0.13747285401007722,0.6355330902335016,0.00405707568954797,0.00405707568954797,0.015919872739099505,9.742543335004335,9.742543335004335,10.708128429471039,7.887146420524394,7.887146420524394,3.776477237591053,0.10264260220501807,0.10264260220501807,0.09338700096720806,0.12678856796645,0.12678856796645,0.2647970415513168,0.5143416665176732,0.12339413797362019,-0.29881268719432985
