# schema: M2_vs_s_mid_t_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_threshold: 240
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t_mid,M2
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001,19.386802351078874,868.8395952623919,-4.6900269815419104,-4.661137118651707,-4.675582050096809,182.10961016863106
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0010471098974848638,19.386804453446906,868.8396423722894,-4.690364367797183,-4.6608018347644675,-4.675583101280825,182.1093615916207
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0010964391374107632,19.38680665485741,868.8396917015293,-4.6907096348322765,-4.6604587691398764,-4.6755842019860765,182.10935436371255
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001148092272772577,19.38680895997626,868.8397433546646,-4.691062967325423,-4.660107741765581,-4.675585354545502,182.10934880942511
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0012021787820460587,19.38681137368918,868.8397974411739,-4.691424554317779,-4.659748568486146,-4.675586561401962,182.1093448211111
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0012588133012267268,19.386813901112024,868.8398540756931,-4.691794589302458,-4.65938106092431,-4.675587825113384,182.10934232567945
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001318115866800101,19.386816547601676,868.8399133782586,-4.692173270344554,-4.659005026371865,-4.67558914835821,182.10934127338123
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0013802121701582278,19.38681931876738,868.839975474562,-4.692560800181513,-4.65862026770061,-4.675590533941062,182.10934163115178
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0014452338240017433,19.38682222048263,868.8400404962159,-4.692957386340501,-4.658226583256875,-4.675591984798688,182.10934337847902
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001513318641292125,19.38682525889762,868.8401085810332,-4.693363241251876,-4.657823766760488,-4.675593504006182,182.10934650473422
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0015846109273453303,19.386828440452277,868.8401798733192,-4.6937785823651605,-4.65741160720186,-4.67559509478351,182.10935100723503
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.001659261785685964,19.386831771889934,868.8402545241776,-4.69420363226904,-4.656989888735638,-4.675596760502339,182.10935689001218
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0017374294383101837,19.386835260271578,868.8403326918302,-4.694638618818309,-4.656558390568013,-4.675598504693161,182.10936416283204
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0018192795610361611,19.386838912990868,868.8404145419529,-4.695083775258502,-4.6561168868471094,-4.675600331052806,182.10937284054688
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0019049856346528846,19.386842737789753,868.8405002480265,-4.695539340349042,-4.655665146555454,-4.675602243452248,182.10938294256363
ssbar_to_uubar,150.0,800.0,0.0,19.386757724219557,868.8385952623919,0.0019947293126115206,19.386846742774928,868.8405899917045,-4.696005558510132,-4.65520293337954,-4.675604245944836,182.10939449248104
