process,s,sigma
uubar_to_uubar,10.0,0.7264495217414626
uubar_to_uubar,10.416666666666666,0.7489063992221758
uubar_to_uubar,10.833333333333334,0.7727094886656537
uubar_to_uubar,11.25,0.7977280714577395
uubar_to_uubar,11.666666666666666,0.8238478128566462
uubar_to_uubar,12.083333333333334,0.8509682313863086
uubar_to_uubar,12.5,0.879000631412964
uubar_to_uubar,12.916666666666666,0.9078664014464288
uubar_to_uubar,13.333333333333334,0.9374956037406751
uubar_to_uubar,13.75,0.9678257977957174
uubar_to_uubar,14.166666666666666,0.9988010530878229
uubar_to_uubar,14.583333333333334,1.0303711159618307
uubar_to_uubar,15.0,1.0624907029405681
uubar_to_uubar,15.416666666666666,1.0951188983353106
uubar_to_uubar,15.833333333333334,1.1282186384049944
uubar_to_uubar,16.25,1.1617562677212276
uubar_to_uubar,16.666666666666668,1.1957011560791553
uubar_to_uubar,17.083333333333332,1.2300253664203833
uubar_to_uubar,17.5,1.2647033659298483
uubar_to_uubar,17.916666666666668,1.2997117738292294
uubar_to_uubar,18.333333333333332,1.335029140487747
uubar_to_uubar,18.75,1.370635753362496
uubar_to_uubar,19.166666666666668,1.4065134660075211
uubar_to_uubar,19.583333333333332,1.442645546986956
uubar_to_uubar,20.0,1.4790165460185158
