process,s,sqrt_s_GeV,sigma
udbar_to_udbar,0.25681889525074175,0.1,0.0
udbar_to_udbar,0.37191153431743434,0.12033898305084746,0.0
udbar_to_udbar,0.5082520452118241,0.14067796610169492,0.0
udbar_to_udbar,0.6658404279339107,0.16101694915254236,0.0
udbar_to_udbar,0.8446766824836949,0.18135593220338983,0.002749309155784116
udbar_to_udbar,1.044760808861176,0.2016949152542373,0.004238934239227018
udbar_to_udbar,1.266092807066354,0.22203389830508474,0.006429302059922812
udbar_to_udbar,1.5086726770992294,0.2423728813559322,0.009506424236156542
udbar_to_udbar,1.7725004189598021,0.2627118644067797,0.013703517762364881
udbar_to_udbar,2.0575760326480705,0.2830508474576271,0.019324296837456314
udbar_to_udbar,2.3638995181640374,0.30338983050847457,0.026725804512333938
udbar_to_udbar,2.691470875507701,0.32372881355932204,0.03635077929898197
udbar_to_udbar,3.0402901046790625,0.3440677966101695,0.04872063416177545
udbar_to_udbar,3.4103572056781193,0.3644067796610169,0.06446058431995424
udbar_to_udbar,3.801672178504875,0.3847457627118644,0.08431264942009328
udbar_to_udbar,4.214235023159326,0.40508474576271186,0.1090655258337585
udbar_to_udbar,4.648045739641475,0.42542372881355933,0.13969521895665582
udbar_to_udbar,5.103104327951323,0.4457627118644068,0.17721343024365557
udbar_to_udbar,5.5794107880888655,0.4661016949152542,0.22269298273177182
udbar_to_udbar,6.076965120054106,0.4864406779661017,0.27748846712837383
udbar_to_udbar,6.595767323847045,0.5067796610169492,0.3426662507475635
udbar_to_udbar,7.135817399467679,0.5271186440677966,0.41952029016937703
udbar_to_udbar,7.69711534691601,0.5474576271186441,0.5094743657616576
udbar_to_udbar,8.27966116619204,0.5677966101694916,0.6134014783645938
udbar_to_udbar,8.883454857295765,0.588135593220339,0.7326840878915416
udbar_to_udbar,9.508496420227186,0.6084745762711864,0.8679828053295118
udbar_to_udbar,10.154785854986306,0.6288135593220339,1.0205582997996212
udbar_to_udbar,10.822323161573127,0.6491525423728813,1.1903030256872225
udbar_to_udbar,11.511108339987642,0.6694915254237288,1.3785275248438922
udbar_to_udbar,12.221141390229851,0.6898305084745763,1.5847072523219565
udbar_to_udbar,12.95242231229976,0.7101694915254237,1.8090030605532865
udbar_to_udbar,13.704951106197365,0.7305084745762712,2.0514429267009775
udbar_to_udbar,14.47872777192267,0.7508474576271187,2.311403323843247
udbar_to_udbar,15.273752309475674,0.7711864406779662,2.5884324816362785
udbar_to_udbar,16.090024718856363,0.7915254237288135,2.8823646553952704
udbar_to_udbar,16.927545000064754,0.811864406779661,3.1918417121035665
udbar_to_udbar,17.786313153100846,0.8322033898305085,3.5165290973536916
udbar_to_udbar,18.66632917796464,0.8525423728813559,3.855896456185719
udbar_to_udbar,19.567593074656124,0.8728813559322034,4.208935166574209
udbar_to_udbar,20.490104843175306,0.8932203389830509,4.5749817216374975
udbar_to_udbar,21.433864483522186,0.9135593220338983,4.9539270967055575
udbar_to_udbar,22.39887199569677,0.9338983050847458,5.3436345088858515
udbar_to_udbar,23.385127379699043,0.9542372881355933,5.745638618292054
udbar_to_udbar,24.392630635529002,0.9745762711864406,6.159148593902243
udbar_to_udbar,25.42138176318667,0.9949152542372881,6.5837962224766855
udbar_to_udbar,26.47138076267204,1.0152542372881357,7.0186973974651155
udbar_to_udbar,27.542627633985102,1.035593220338983,7.466135453161193
udbar_to_udbar,28.63512237712586,1.0559322033898304,7.924019817783289
udbar_to_udbar,29.748864992094326,1.076271186440678,8.395479848032783
udbar_to_udbar,30.88385547889047,1.0966101694915253,8.882598862762658
udbar_to_udbar,32.04009383751433,1.116949152542373,9.38722265898518
udbar_to_udbar,33.21758006796586,1.1372881355932203,9.914729411573422
udbar_to_udbar,34.416314170245116,1.1576271186440679,10.477192421144185
udbar_to_udbar,35.63629614435206,1.1779661016949152,11.101318970325629
udbar_to_udbar,36.8775259902867,1.1983050847457628,11.88374971440345
udbar_to_udbar,38.14000370804903,1.2186440677966102,13.181946057726186
udbar_to_udbar,39.423729297639056,1.2389830508474575,12.695729068520194
udbar_to_udbar,40.728702759056794,1.259322033898305,12.887546312849919
udbar_to_udbar,42.054924092302215,1.2796610169491525,13.191905729359933
udbar_to_udbar,43.402393297375355,1.3,13.546823071167852
