xi,current_bracket_low_MeV,current_bracket_high_MeV,current_width_MeV,target_width_MeV,required_midpoint_MeV,width_if_midpoint_classifies_MeV,current_status,diagnostic_status,next_action,solver_called_by_this_package
0.125,126.1875,126.3125,0.125,0.1,126.25,0.0625,ambiguous,unresolved_without_new_slice,numerical_midpoint_required,False
0.39375,113.4375,113.5625,0.125,0.1,113.5,0.0625,ambiguous,unresolved_without_new_slice,numerical_midpoint_required,False
0.5,106.9375,107.0625,0.125,0.1,107.0,0.0625,ambiguous,unresolved_without_new_slice,numerical_midpoint_required,False
