window_id,mode_key,observable,channel,xi,sigma_peak_ds,sigma_peak_value,simple_peak_ds,simple_peak_invabs,mixed_peak_ds,mixed_peak_invabs,dominant_denominator_branch,denominator_sigma_same_band,max_abs_D_simple_sq,max_abs_D_mixed_sq,max_abs_D_total_sq
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,dubar_to_dubar,0.3,0.01,330.5198610899401,0.01,69169.36735587973,,,simple_1m4KPi,true,61640.17981989052,0.0,61640.17981989052
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,dubar_to_dubar,0.31,0.0001,90782.1415077768,0.0001,1.8413516162008554e7,,,simple_1m4KPi,true,1.6415414078955887e7,0.0,1.6415414078955887e7
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,dubar_to_dubar,0.32,0.0001,301.27523420897137,0.0001,58396.28235265919,,,simple_1m4KPi,true,52079.400601128786,0.0,52079.400601128786
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_uubar,0.3,0.01,84.25184659816482,0.01,69169.36735587973,2.0,234288.70611503086,mixed_detM,false,15410.044954972627,2.0140145953803423,15609.955415123099
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_uubar,0.31,0.0001,22689.257547913607,0.0001,1.8413516162008554e7,2.0,240601.43106481244,simple_1m4KPi,true,4.103853519738971e6,2.057477423645224,4.1030621840397776e6
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_uubar,0.32,0.0001,73.50071451714578,0.0001,58396.28235265919,2.0,247222.69994342094,mixed_detM,false,13019.850150282193,2.102903803949719,12793.000474416584
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_ddbar,0.3,0.01,81.10507225442636,0.01,69169.36735587973,2.0,234288.70611503086,mixed_detM,false,15410.044954972627,2.0140145953803423,15212.072170435898
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_ddbar,0.31,0.0001,22701.91377976816,0.0001,1.8413516162008554e7,2.0,240601.43106481244,simple_1m4KPi,true,4.103853519738971e6,2.057477423645224,4.1046468200372625e6
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,tau_dbar,uubar_to_ddbar,0.32,0.0001,77.24123988614274,0.0001,58396.28235265919,2.0,247222.69994342094,mixed_detM,false,13019.850150282193,2.102903803949719,13248.700249964584
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,tau_ubar,uubar_to_uubar,0.25,0.0001,150.52278586756407,0.0001,5.828957080358437,0.0001,4.347088254561604e8,mixed_detM,true,1.3618703415631501,2896.1473280523223,2773.424065056421
