window_id,mode_key,mode,plot_panel,plot_series,xi_left,target_xi,xi_right,prev_xi,next_xi,affected_tau_fields,tau_shape,max_tau_step_factor,max_tau_rel_step,cause_verdict,evidence_score,dominant_background_driver,max_background_rel_step,phase_prev,phase_target,phase_next,phase_reference_target,phase_structure_target,phase_boundary_xi_target,phase_boundary_changed_in_local_window,seed_source_target,equilibrium_backend_target,m_u_prev,m_u_target,m_u_next,Phi_prev,Phi_target,Phi_next,s_prev,s_target,s_next,top_channel_evidence,mechanism_note
mode_b_T200p0_muB450p0_xip0p31_1,mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,0.3,0.31,0.32,0.3,0.32,tau_d;tau_dbar;tau_sbar;tau_u;tau_ubar,local_tau_dip,36.43517892069968,0.9725539978223663,channel_rate_spike_supported,0.78,m_u,0.019866058388235686,quark,quark,quark,crossover,no_transition,0.3,False,phase_aware_continuity_quark,models,0.44896291131603405,0.45806281392290604,0.46723736981025676,0.6162397556097597,0.6157037298653913,0.615168003313777,12.154024116984285,12.103673253544686,12.053621974222835,dbar:dubar_to_dubar(0.66);ubar:dubar_to_dubar(0.66);dbar:uubar_to_ddbar(0.17);ubar:uubar_to_ddbar(0.17);dbar:uubar_to_uubar(0.17),"smooth background; tau jump is driven by a local channel rate/contribution spike, led by dbar:dubar_to_dubar;ubar:dubar_to_dubar;dbar:uubar_to_ddbar;ubar:uubar_to_ddbar. Denominator-chain origin remains a candidate unless deep-scanned."
mode_b_T120p0_muB900p0_xim0p09_1,mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,-0.14,-0.09,-0.09,-0.1,-0.08,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,step_or_rapid_increase,7.180974468903953,0.8607431339116526,upstream_first_order_branch_jump_supported,0.9,m_u,0.5927497636657343,hadron,hadron,hadron,crossover,first_order_possible,-0.1,False,phase_aware_continuity_hadron,models,0.6363819389966097,1.5626312331327308,1.5727046639594149,0.2383850601135985,0.1291740982596078,0.1265075214385848,2.0728540650019083,0.8641500815906333,0.8392795006082445,not_primary;upstream_driver=m_u;max_background_rel_step=0.5927,first-order reference context with a fast background jump (m_u); channel rates respond downstream of the branch/background change.
mode_a_muB450p0_alpha1p0_xip0p26_2,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,0.25,0.26,0.27,0.25,0.27,tau_d;tau_dbar;tau_u;tau_ubar,local_tau_dip,4.240085884464368,0.7641557206036818,channel_rate_spike_supported,0.78,m_u,0.007513994879300885,hadron,hadron,hadron,crossover,crossover_possible,0.3,True,phase_aware_continuity_hadron,models,1.0860542875081878,1.0942766768546117,1.1022940306712554,0.5099811414153843,0.5089553446120274,0.5079405262101223,6.964967741150383,6.919286554832343,6.874386399474908,ubar:uubar_to_ddbar(0.43);dbar:uubar_to_ddbar(0.43);ubar:uubar_to_uubar(0.47);dbar:uubar_to_uubar(0.47);u:uubar_to_ddbar(0.32),"smooth background; tau jump is driven by a local channel rate/contribution spike, led by ubar:uubar_to_ddbar;dbar:uubar_to_ddbar;ubar:uubar_to_uubar;dbar:uubar_to_uubar. Denominator-chain origin remains a candidate unless deep-scanned."
mode_a_muB900p0_alpha1p0_xip0p00_1,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.0,-0.07,0.0,0.0,-0.01,0.01,tau_d;tau_dbar;tau_s;tau_sbar;tau_u;tau_ubar,step_or_rapid_increase,3.856193102350638,0.7406768869042307,upstream_first_order_branch_jump_supported,0.9,m_u,0.47854900879512724,quark,quark,quark,first_order,first_order_possible,0.0,False,phase_aware_continuity_quark,models,0.7343467829351137,1.40827574464538,1.4336531103021501,0.25458151141494967,0.17528214871097536,0.1700362223738492,2.250129722553447,1.293816906999994,1.2384502277296967,not_primary;upstream_driver=m_u;max_background_rel_step=0.4785,first-order reference context with a fast background jump (m_u); channel rates respond downstream of the branch/background change.
mode_a_muB0p0_alpha1p1_xip0p48_1,mode_a,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1,0.47,0.48,0.49,0.47,0.49,tau_d;tau_dbar;tau_u;tau_ubar,local_tau_dip,1.5480528750354063,0.35402723245022977,weak_or_broad_tau_variation_candidate,0.45,m_u,0.015788265319822265,quark,quark,quark,crossover,no_transition,0.5,False,phase_aware_continuity_quark,models,0.4604904121056902,0.4678773843875452,0.475285425068089,0.6696621401267551,0.669322772763762,0.6689844908592878,15.804388638150417,15.755666650673675,15.707281172651909,not_primary;upstream_driver=m_u;max_background_rel_step=0.01579,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB900p0_alpha1p1_xip0p18_1,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.1,0.17,0.18,0.19,0.17,0.19,tau_dbar;tau_ubar,step_or_rapid_increase,1.4354485497350082,0.30335364497417505,weak_or_broad_tau_variation_candidate,0.45,m_u,0.03833647273459704,quark,quark,quark,first_order,no_transition,0.2,False,phase_aware_continuity_quark,models,0.4855090570446936,0.5044000872607384,0.5245078688749443,0.34086100791543783,0.3388469085611727,0.3367523096983016,3.497214298435514,3.457343201520276,3.4163854577957853,not_primary;upstream_driver=m_u;max_background_rel_step=0.03834,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB450p0_alpha1p1_xip0p35_1,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.1,0.35,0.35,0.36,0.34,0.36,tau_d;tau_dbar;tau_u;tau_ubar,local_tau_dip,1.2493698756050826,0.19959651699166361,weak_or_broad_tau_variation_candidate,0.45,m_u,0.01902492162110296,quark,quark,quark,crossover,no_transition,0.3,True,phase_aware_continuity_quark,models,0.4542995450485598,0.46311017992354003,0.47198271795149926,0.6188472630871494,0.6183361879651974,0.6178255586516423,12.274049329982198,12.225169793732992,12.176584173888344,not_primary;upstream_driver=m_u;max_background_rel_step=0.01902,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB900p0_alpha1p2_xip0p49_1,mode_a,mode_a_fixed_muB_phase_scaled,muB900.0,alpha1.2,0.49,0.49,0.5,0.48,0.5,tau_dbar;tau_ubar,step_or_rapid_increase,1.2405985751979387,0.19393749114982733,weak_or_broad_tau_variation_candidate,0.45,m_u,0.02348646792513857,quark,quark,quark,first_order,no_transition,0.5,False,phase_aware_continuity_quark,models,0.5005221034199987,0.5125603352945934,0.5248704885116905,0.40501226107808197,0.4037307250023756,0.402431697349943,4.591916287990867,4.55897804250929,4.525869145085979,not_primary;upstream_driver=m_u;max_background_rel_step=0.02349,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_a_muB450p0_alpha1p0_xim0p20_1,mode_a,mode_a_fixed_muB_phase_scaled,muB450.0,alpha1.0,-0.21,-0.2,-0.2,-0.21,-0.19,tau_dbar;tau_ubar,step_or_rapid_increase,1.1837261592700739,0.15521001866121267,weak_or_broad_tau_variation_candidate,0.45,m_u,0.039450209671610184,quark,quark,quark,crossover,no_transition,-0.2,False,phase_aware_continuity_quark,models,0.38483485757444585,0.40061043910253513,0.417063689083286,0.5675196839521783,0.5663264950323321,0.5651202319122497,10.111176654764808,10.02993082954848,9.948753421071778,not_primary;upstream_driver=m_u;max_background_rel_step=0.03945,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
mode_b_T200p0_muB0p0_xim0p21_1,mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB0.0,-0.22,-0.21,-0.21,-0.22,-0.2,tau_d;tau_dbar;tau_u;tau_ubar,step_or_rapid_increase,1.1498863926661769,0.1303488706555121,weak_or_broad_tau_variation_candidate,0.45,m_u,0.03633416037867269,quark,quark,quark,crossover,no_transition,-0.2,False,phase_aware_continuity_quark,models,0.3751931634492624,0.38933948680456976,0.40395571239989775,0.6250776486736015,0.6241994958905898,0.6233182341914558,13.331398808448993,13.240782070187038,13.15070627254823,not_primary;upstream_driver=m_u;max_background_rel_step=0.03633,"flagged by robust local tau step, but neither upstream background nor channel-rate evidence is strong enough for a paper-ready mechanism verdict."
