xi,T_MeV,level,midpoint_rho,sampled_mu_MeV,sample_value_source,bracket_low,bracket_high,bracket_width,candidate_mu_MeV,rho_hadron,rho_quark,area_residual,position_error_MeV,density_error,geometry_converged,candidate_count,crossing_count,endpoint_dependent,route_decision_source
-0.5,5.0,11,0.00046997070312499996,324.378334078125,deep_curve_exact_or_linear,0.0004638671875,0.00046997070312499996,6.103515624999978e-06,nan,0.0004692520205020087,2.8040673220348737,6.668851989562424e-07,nan,3.71881345162528e-17,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,12,0.00046691894531249997,324.3292163828125,deep_curve_exact_or_linear,0.00046691894531249997,0.00046997070312499996,3.051757812499989e-06,nan,0.00046925202050200865,2.8040673220348737,6.650994411449983e-07,nan,5.421010862427522e-20,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,1,0.003125,350.797171,deep_curve_exact_or_linear,0.0,0.003125,0.003125,nan,0.0028827587023025902,2.799027476481228,4.281370260919061e-06,nan,0.0,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,2,0.0015625,223.57212800000002,deep_curve_exact_or_linear,0.0,0.0015625,0.0015625,nan,0.002174473740817322,2.799159758915097,2.257396072579561e-06,nan,0.0007082849614852681,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,3,0.00078125,159.9596065,deep_curve_exact_or_linear,0.00078125,0.0015625,0.00078125,nan,0.0016432600197033714,2.7992589707404987,1.2454089784098112e-06,nan,0.0005312137211139507,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,4,0.0011718750000000002,191.76586725,deep_curve_exact_or_linear,0.0011718750000000002,0.0015625,0.0003906249999999999,nan,0.001488322684378469,2.7992879075229076,7.394154313249361e-07,nan,0.00015493733532490235,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,5,0.0013671875000000001,207.668997625,deep_curve_exact_or_linear,0.0013671875000000001,0.0015625,0.00019531249999999996,nan,0.0014675721483974552,2.799291782984837,4.864186577824987e-07,nan,2.0750535981013847e-05,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,6,0.00146484375,215.6205628125,deep_curve_exact_or_linear,0.00146484375,0.0015625,9.765625000000009e-05,nan,0.0014662320096153483,2.799292033275087,3.5992027101128003e-07,nan,1.3401387821069654e-06,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,7,0.001513671875,219.59634540625,deep_curve_exact_or_linear,0.00146484375,0.001513671875,4.882812500000004e-05,nan,0.001466189454805231,2.7992920412228117,2.966710776256711e-07,nan,4.255481011734667e-08,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,8,0.0014892578125,217.60845410937497,deep_curve_exact_or_linear,0.00146484375,0.0014892578125,2.4414062499999913e-05,nan,0.0014661887846091886,2.7992920413479805,2.6504648093286623e-07,nan,6.701960423259601e-10,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,9,0.00147705078125,216.6145084609375,deep_curve_exact_or_linear,0.00146484375,0.00147705078125,1.2207031249999957e-05,nan,0.0014661887793526681,2.799292041348962,2.4923418258646337e-07,nan,5.25652047930758e-12,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,10,0.001470947265625,216.11753563671874,deep_curve_exact_or_linear,0.00146484375,0.001470947265625,6.103515625000087e-06,nan,0.0014661887793320947,2.799292041348966,2.4132803341326236e-07,nan,2.0573386744215938e-14,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,11,0.0014678955078125,215.8690492246094,deep_curve_exact_or_linear,0.00146484375,0.0014678955078125,3.0517578125000434e-06,nan,0.0014661887793320544,2.799292041348966,2.3737495882666228e-07,nan,4.0332320816460765e-17,False,1,3,True,post_sampled_curve_candidate
-0.5,20.0,12,0.00146636962890625,215.7448060185547,deep_curve_exact_or_linear,0.00146484375,0.00146636962890625,1.5258789062499133e-06,nan,0.0014661887793320544,2.799292041348966,2.3539842153336182e-07,nan,0.0,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,1,0.003125,367.856817,deep_curve_exact_or_linear,0.0,0.003125,0.003125,nan,0.002689402001977917,2.5043597037111165,1.7729539824918754e-06,nan,0.0,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,2,0.0015625,343.423974,deep_curve_exact_or_linear,0.0,0.0015625,0.0015625,nan,0.002034862261703269,2.50440809141141,2.331058918183668e-06,nan,0.000654539740274648,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,3,0.00078125,331.2075525,deep_curve_exact_or_linear,0.00078125,0.0015625,0.00078125,nan,0.0015439574564972832,2.5044443821866302,2.6101113860295642e-06,nan,0.0004909048052059858,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,4,0.0011718750000000002,337.31576325,deep_curve_exact_or_linear,0.0011718750000000002,0.0015625,0.0003906249999999999,nan,0.001400776888312204,2.50445496699607,2.7496376199525124e-06,nan,0.0001431805681850792,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,5,0.0013671875000000001,340.369868625,deep_curve_exact_or_linear,0.0013671875000000001,0.0015625,0.00019531249999999996,nan,0.001381600919358845,2.504456384604477,2.8194007369139864e-06,nan,1.917596895335892e-05,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,6,0.00146484375,341.8969213125,deep_curve_exact_or_linear,0.0013671875000000001,0.00146484375,9.765624999999987e-05,nan,0.0013803624713639407,2.504456476158353,2.8542822953947235e-06,nan,1.2384479949043882e-06,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,7,0.0014160156250000002,341.13339496875,deep_curve_exact_or_linear,0.0013671875000000001,0.0014160156250000002,4.882812500000004e-05,nan,0.0013803231456463606,2.5044564790655577,2.871723074635092e-06,nan,3.932571758014959e-08,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,8,0.0013916015625000003,340.751631796875,deep_curve_exact_or_linear,0.0013671875000000001,0.0013916015625000003,2.441406250000013e-05,nan,0.0013803225263053223,2.5044564791113433,2.8804434642552764e-06,nan,6.193410383072834e-10,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,9,0.00137939453125,340.5607502109375,deep_curve_exact_or_linear,0.00137939453125,0.0013916015625000003,1.2207031250000173e-05,nan,0.0013803225214476709,2.5044564791117025,2.8848036590653686e-06,nan,4.857651390507978e-12,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,10,0.0013854980468750002,340.65619100390626,deep_curve_exact_or_linear,0.00137939453125,0.0013854980468750002,6.103515625000087e-06,nan,0.0013803225214286585,2.504456479111704,2.8869837564704146e-06,nan,1.901235245627131e-14,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,11,0.0013824462890625001,340.60847060742185,deep_curve_exact_or_linear,0.00137939453125,0.0013824462890625001,3.0517578125000434e-06,nan,0.0013803225214286212,2.504456479111704,2.8880738051729375e-06,nan,3.729655473350135e-17,False,1,3,True,post_sampled_curve_candidate
0.0,5.0,12,0.00138092041015625,340.5846104091797,deep_curve_exact_or_linear,0.00137939453125,0.00138092041015625,1.5258789062499133e-06,nan,0.0013803225214286212,2.504456479111704,2.8886188295241992e-06,nan,0.0,False,1,3,True,post_sampled_curve_candidate
