xi,T_MeV,level,midpoint_rho,sampled_mu_MeV,sample_value_source,bracket_low,bracket_high,bracket_width,candidate_mu_MeV,rho_hadron,rho_quark,area_residual,position_error_MeV,density_error,geometry_converged,candidate_count,crossing_count,endpoint_dependent,route_decision_source
-0.5,5.0,1,0.00625,368.325991,deep_curve_exact_or_linear,0.0,0.00625,0.00625,nan,0.0017803009022343008,2.803068260977162,4.320545680762362e-06,nan,0.0,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,2,0.003125,367.110729,deep_curve_exact_or_linear,0.0,0.003125,0.003125,nan,0.0011247764613681547,2.803567791506018,2.491929682048058e-06,nan,0.0006555244408661461,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,3,0.0015625,341.962469,deep_curve_exact_or_linear,0.0,0.0015625,0.0015625,nan,0.0006331331307185451,2.8039424394026597,1.5776216826909057e-06,nan,0.0004916433306496096,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,4,0.00078125,329.388339,deep_curve_exact_or_linear,0.0,0.00078125,0.00078125,nan,0.0004897371592790757,2.804051711705847,1.1204676830123297e-06,nan,0.00014339597143946939,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,5,0.000390625,323.101274,deep_curve_exact_or_linear,0.000390625,0.00078125,0.000390625,nan,0.0004705323416755753,2.8040663463893094,8.918906831730417e-07,nan,1.9204817603500352e-05,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,6,0.0005859375000000001,326.2448065,deep_curve_exact_or_linear,0.000390625,0.0005859375000000001,0.00019531250000000007,nan,0.0004692920305386826,2.80406729154595,7.776021832533975e-07,nan,1.2403111368927341e-06,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,7,0.00048828125,324.67304025,deep_curve_exact_or_linear,0.000390625,0.00048828125,9.765624999999998e-05,nan,0.00046925264565883166,2.804067321558484,7.204579332935756e-07,nan,3.938487985093511e-08,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,8,0.000439453125,323.887157125,deep_curve_exact_or_linear,0.000439453125,0.00048828125,4.882812499999999e-05,nan,0.0004692520253860463,2.804067322031152,6.918858083136646e-07,nan,6.202727853370747e-10,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,9,0.0004638671875,324.2800986875,deep_curve_exact_or_linear,0.0004638671875,0.00048828125,2.441406250000002e-05,nan,0.0004692520205210869,2.804067322034859,6.775997458237094e-07,nan,4.8649594010415076e-12,False,1,3,True,post_sampled_curve_candidate
-0.5,5.0,10,0.00047607421875,324.47656946875003,deep_curve_exact_or_linear,0.0004638671875,0.00047607421875,1.220703125000001e-05,nan,0.0004692520205020459,2.8040673220348737,6.704567145787315e-07,nan,1.904102960373355e-14,False,1,3,True,post_sampled_curve_candidate
