xi,T_CEP_MeV,muq_CEP_MeV,muB_CEP_MeV
-0.5,147.1435546875,202.22990394985578,606.6897118495674
-0.45,145.5419921875,214.5525322364505,643.6575967093515
-0.4,143.9501953125,225.72400219094723,677.1720065728417
-0.35,142.4072265625,235.85694768947852,707.5708430684356
-0.3,140.8447265625,245.27216212174514,735.8164863652354
-0.25,139.3017578125,253.98698102251387,761.9609430675416
-0.2,137.7001953125,262.2561761182468,786.7685283547404
-0.15,136.1083984375,269.99186557663694,809.9755967299109
-0.1,134.4775390625,277.34532469452097,832.0359740835629
-0.05,132.7783203125,284.4042579076851,853.2127737230553
0.0,131.0009765625,291.20551446570016,873.6165433971005
0.05,129.1845703125,297.6964876395235,893.0894629185706
0.1,127.2802734375,303.972931211782,911.918793635346
0.15,125.2587890625,310.0819497773134,930.2458493319402
0.2,123.1005859375,316.045412886866,948.1362386605981
0.25,120.8154296875,321.83773036511525,965.5131910953457
0.3,118.4326171875,327.4134989886232,982.2404969658696
0.35,115.8740234375,332.8598774039224,998.5796322117671
0.4,113.1201171875,338.1763713738264,1014.5291141214791
0.45,110.1708984375,343.3382667109283,1030.0148001327848
0.5,106.9775390625,348.3668438961749,1045.1005316885246
