xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.5,60.0,322.2462342435699,0.04885980596715683,2.7822654059428156,60.0,60.0
-0.5,65.0,320.1450505423604,0.049638279286777595,2.785681324276557,65.0,65.0
-0.5,70.0,317.71680968286836,0.061342452924103855,2.7905073092692914,70.0,70.0
-0.5,75.0,314.9419185448107,0.0799618937561672,2.7976161574932017,75.0,75.0
-0.5,80.0,311.76894328929325,0.09679732699160316,2.8070562945584845,80.0,80.0
-0.5,85.0,308.14630599694124,0.1233991097512223,2.8188180420976607,85.0,85.0
-0.5,90.0,304.02522491414663,0.1503012048559137,2.832933949402415,90.0,90.0
-0.5,95.0,299.3466048818723,0.18848474093815837,2.8490387220426188,95.0,95.0
-0.5,100.0,294.0496472630167,0.23267223604618759,2.866461442482334,100.0,100.0
-0.5,105.0,288.0715993048941,0.28580871043467043,2.8841210319476587,105.0,105.0
-0.5,110.0,281.34628394710757,0.3495268471267342,2.900402383381426,110.0,110.0
-0.5,115.0,273.8064156526624,0.4303192931992087,2.9127949979940313,115.0,115.0
-0.5,120.0,265.3834132295046,0.528399117369858,2.918138336594071,120.0,120.0
-0.5,125.0,256.01005381683535,0.6506045272468699,2.912080050722052,125.0,125.0
-0.5,130.0,245.62567310398555,0.8107313136740991,2.8884623498936706,130.0,130.0
-0.5,135.0,234.18960902053215,1.0262663609530909,2.8382887919976176,135.0,135.0
-0.5,140.0,221.70778612919003,1.3298353906331586,2.7450751909974835,140.0,140.0
-0.5,145.0,208.25539872912327,1.7851972819450936,2.551160492857513,145.0,145.0
-0.45,60.0,326.41927953445304,0.04930485538614649,2.7475828847303014,60.0,60.0
-0.45,65.0,324.3647799153664,0.051541041905891025,2.7498263436210117,65.0,65.0
-0.45,70.0,322.0067994123543,0.07094601469327771,2.754035418967448,70.0,70.0
-0.45,75.0,319.3128079678486,0.0883086502243841,2.760635247038811,75.0,75.0
-0.45,80.0,316.23026239223805,0.10785417686515311,2.7695459125567528,80.0,80.0
-0.45,85.0,312.71821530738066,0.13545627474649083,2.7810290001620173,85.0,85.0
-0.45,90.0,308.7204079937144,0.16657549097380037,2.794891669454005,90.0,90.0
-0.45,95.0,304.1837286770424,0.20323420327246672,2.810900827666729,95.0,95.0
-0.45,100.0,299.0479254923367,0.24919738695008758,2.8283981615049836,100.0,100.0
-0.45,105.0,293.2504246730991,0.3057011624749476,2.8464001727884964,105.0,105.0
-0.45,110.0,286.72714581611876,0.3745882941948216,2.8631986943342014,110.0,110.0
