layer,mode,case_slug,path,family,retention_class,recommended_action,file_count,bytes,tree_sha256,manifest_sha256,manifest_hash_mismatch_count,manifest_hash_mismatch_files,registry_status,manifest_registry_status,status_consistency,source_commit,calculation_sha,workflow_head_sha,verdict,numerical_status,manuscript_eligible,legacy_fallback,explicit_rollback,production_write,scan_rows,expected_scan_rows,scan_path_exists,scan_contract_ok,scan_duplicate_keys,scan_nonfinite_values,scan_nonconverged_rows,diagnostic_rows,diagnostic_duplicate_keys,figure_manifest_path,figure_manifest_sha256,figure_source_csv_sha256,figure_source_match,tree_contract_ok
result_convergence,shared_convergence,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence,historical_prod_v1,historical_evidence,retain_historical_evidence,8,1238230,af37c71f401b8b24a9ec1f23b9072dd6a21fa2d36d6b1210e225f7a937472880,ae7e0a3632e84fea234a8191ebea3d083462d0d43965cdb33c5e14dbb45526d6,6,"p104_vs_p128_convergence_gate.csv,p104_vs_p128_convergence_gate.summary.json,p104_vs_p128_convergence_gate.md,audit_summary_refined.json,download_manifest.csv,merged_manifest.json",,,not_registered,c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f,,,production-grade,,,,,,0,,False,False,0,0,0,0,0,,,,False,False
result_convergence,shared_convergence,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence,historical_prod_v1,historical_evidence,retain_historical_evidence,7,1908261,e13eb022848fe62ea320b5464f8f832d235a03eb22ae678bbfdb538f276b5dfc,6f4af90af5d93195ca9b3817ab3c9ccc00aaa47947e32ac72588bebb0ebb6724,2,"merged_manifest.json,highxi_anchor_comparison_to_p128_plus5.summary.json",,,not_registered,700a0845abd09013eb39ff8f8d2993d5574476d3,,,production-grade,,,,,,0,,False,False,0,0,0,0,0,,,,False,False
result,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,historical_prod_v1,historical_evidence,retain_historical_evidence,8,8304040,69ccabda09361e3ee133acc6d78071a793b26d12943795cac79820d311088307,bcfe8b949d38dc72116eddcac8b571b4c2faa8f5a6cad33333b201314208a454,3,"effective_config.json,README.md,PRODUCTION_AUDIT.md",superseded_for_manuscript,,historical_manifest_status_not_recorded,700a0845abd09013eb39ff8f8d2993d5574476d3,,,production-grade,,False,,,,909,,True,True,0,0,0,38178,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/plot_manifest.json,2611e47fcf55617ab5e30c8806f452b337f09602560a9479104bce8e0673c1b5,,False,False
result,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1,historical_prod_v1,historical_evidence,retain_historical_evidence,8,1735710,39c44fc96bd84d0a56f6d3b04be0091b5285a90ad59907a3cef7be9d0db4a569,774888c6a7fe2773344810e06ebf81c0bbd27548f7de469a4baecc590b753d13,6,"phase_guided_transport_scan.csv,sampling_plan.csv,channel_diagnostics.csv,failed_points.csv,effective_config.json,plot_manifest.json",superseded_for_manuscript,,historical_manifest_status_not_recorded,c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f,,,production-grade,,False,,,,189,,True,True,0,0,0,7938,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,5226430b7c0a998ed450f5ce915f41e41abc65fe0f3524fe790a3241f2040fbf,640eaf100a1ba03a9711e5632cbbbe150891ae11c1d80345f3d96d9ef6881c80,False,False
result,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,legacy_prod_v1,legacy_fallback_required,retain_immutable_legacy_snapshot,18,13762457,f44b61fe07afd1eac4c40d6ba8c043007182aa653655ba511a41cc1d034af0dd,22648797c081b405085036f11f2d9913d2ffbe8f35e9090c719737d83caf94e0,0,,superseded_for_manuscript,current_candidate,historical_manifest_status_stale_but_registry_superseded,05be2c05186f8e12baf3097b68f8619e53d19711,,,production-grade,,False,,,,909,909,True,True,0,0,0,38178,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/plot_manifest.json,41a44b1d7645e3789cd88d8d9db69acaabfeefc3b0d1ad6a79628cf56b1d5c06,ec5e330a6af39b1be3b12db1cfd53a07074600c15559b5360b3135e88941504c,True,True
result,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,current_prod_v2,canonical_current,retain_canonical,17,11702376,f9296e849a34d0ee8030da33648b92bf83b25d53fe9b76ee1058ad9ef19e6e30,3d0a91170a62f570e119d1189d8e79526c008a1a77a94464772d53c3ca9e5f72,0,,approved,versioned_candidate_not_default,semantic_split_expected,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571,,diagnostic_only,False,True,--phase-reference-mode legacy,False,910,910,True,True,0,0,0,38220,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/plot_manifest.json,eed426abfc592a7842d6124b1dbe86fb3394c6cd58a7e29b2be69335790180c7,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,True,True
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,historical_prod_v1,historical_evidence,retain_historical_evidence,37,8165536,51e4029f4d24e2d8b68ce36ede391380161c2dce15257c1133de878a2a443fdd,,0,,superseded_for_manuscript,,figure_manifest_status_not_applicable,700a0845abd09013eb39ff8f8d2993d5574476d3,,,production-grade,,False,,,,909,,True,True,0,0,0,38178,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/plot_manifest.json,2611e47fcf55617ab5e30c8806f452b337f09602560a9479104bce8e0673c1b5,,False,False
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1,historical_prod_v1,historical_evidence,retain_historical_evidence,25,5508979,84ddf77d4b9108b86bdefbbabcf1d51a8bf52fb33681963b3e22c2e4c32de81d,,0,,superseded_for_manuscript,,figure_manifest_status_not_applicable,c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f,,,production-grade,,False,,,,189,,True,True,0,0,0,7938,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,5226430b7c0a998ed450f5ce915f41e41abc65fe0f3524fe790a3241f2040fbf,640eaf100a1ba03a9711e5632cbbbe150891ae11c1d80345f3d96d9ef6881c80,False,False
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,legacy_prod_v1,legacy_figure_history,retain_immutable_legacy_figure_snapshot,37,7972810,869ed86367fe6ce6c7e5b35b80e6e07e04fa1bb3fe8990777da6f9d53c7bfa4c,,0,,superseded_for_manuscript,,figure_manifest_status_not_applicable,05be2c05186f8e12baf3097b68f8619e53d19711,,,production-grade,,False,,,,909,909,True,True,0,0,0,38178,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/plot_manifest.json,41a44b1d7645e3789cd88d8d9db69acaabfeefc3b0d1ad6a79628cf56b1d5c06,ec5e330a6af39b1be3b12db1cfd53a07074600c15559b5360b3135e88941504c,True,True
figure,mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,current_prod_v2,canonical_current,retain_canonical,37,7969379,afa10e2fbf45931dae28833603974a8d4a0e44f94ae65c6ae90d7604d59ee0fd,,0,,approved,,figure_manifest_status_not_applicable,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571,,diagnostic_only,False,True,--phase-reference-mode legacy,False,910,910,True,True,0,0,0,38220,0,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/plot_manifest.json,eed426abfc592a7842d6124b1dbe86fb3394c6cd58a7e29b2be69335790180c7,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,True,True
