mode,current_case,legacy_case,expected_legacy_tree_sha256,actual_legacy_tree_sha256,checks_passed,checks_total,verdict,check_details
mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,f44b61fe07afd1eac4c40d6ba8c043007182aa653655ba511a41cc1d034af0dd,f44b61fe07afd1eac4c40d6ba8c043007182aa653655ba511a41cc1d034af0dd,11,11,pass,"{""current_manifest_exists"": true, ""current_tree_contract"": true, ""explicit_rollback_recorded"": true, ""legacy_fallback_enabled"": true, ""legacy_hash_matches"": true, ""legacy_hash_recorded"": true, ""legacy_registry_superseded"": true, ""legacy_tree_contract"": true, ""legacy_tree_exists"": true, ""no_production_write"": true, ""solver_free_audit"": true}"
mode_b_fixed_T_sparse_muB,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,d9779b96fb1f6147234390e9150e08dbfcf0299ea257a0f563bde0e2e61dd001,d9779b96fb1f6147234390e9150e08dbfcf0299ea257a0f563bde0e2e61dd001,11,11,pass,"{""current_manifest_exists"": true, ""current_tree_contract"": true, ""explicit_rollback_recorded"": true, ""legacy_fallback_enabled"": true, ""legacy_hash_matches"": true, ""legacy_hash_recorded"": true, ""legacy_registry_superseded"": true, ""legacy_tree_contract"": true, ""legacy_tree_exists"": true, ""no_production_write"": true, ""solver_free_audit"": true}"
