path,line,token,classification,role,snippet
README.md,163,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,documentation_contract,review_required,- phase-guided 低 `xi` 分辨率 anchor / p104-vs-p128 收敛依据：`first_canonical_v1_p128_xi005_validated_anchored_prod_v1`
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,4,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""case_slug"": ""first_canonical_v1_p128_xi005_validated_anchored_prod_v1"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,6,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""source_csv"": ""data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/phase_guided_transport_scan.csv"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,8,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""figure_dir"": ""data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/plot_manifest.json,42,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""source_csv"": ""data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/phase_guided_transport_scan.csv"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,4,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""case_slug"": ""first_canonical_v1_p128_xi005_validated_anchored_prod_v1"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,6,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""source_csv"": ""data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/phase_guided_transport_scan.csv"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/plot_manifest.json,8,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""figure_dir"": ""data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi005_validated_anchored_prod_v1"","
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/plot_manifest.json,42,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""source_csv"": ""data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1/phase_guided_transport_scan.csv"","
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence/README.md,1,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,# first_canonical_v1_p128_xi005_validated_anchored_prod_v1 Convergence Evidence
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_validated_anchored_prod_v1_convergence/manifest.json,3,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""case_slug"": ""first_canonical_v1_p128_xi005_validated_anchored_prod_v1"","
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence/README.md,1,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,# first_canonical_v1_p128_xi001_validated_anchored_prod_v1 convergence and import gates
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence/README.md,12,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,- `highxi_anchor_comparison_to_p128_plus5.csv`: old-grid anchor comparison against `first_canonical_v1_p128_xi005_validated_anchored_prod_v1`
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence/README.md,16,first_canonical_v1_p128_xi005_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,Parameter convergence is inherited from `first_canonical_v1_p128_xi005_validated_anchored_prod_v1_convergence` because this case uses the same p128 validated-anchored integration policy and only increases xi sampling density.
data/outputs/results/relaxtime/transport/phase_guided/first_canonical_v1_p128_xi001_validated_anchored_prod_v1_convergence/manifest.json,3,first_canonical_v1_p128_xi001_validated_anchored_prod_v1,generated_artifact_or_manifest,generated_artifact,"""case_slug"": ""first_canonical_v1_p128_xi001_validated_anchored_prod_v1"","
