T_MeV,meson,q,mass_ref,gamma_ref,threshold_ref,omega_thr,delta_low,delta_high,delta_span,low_pi_multiple,low_pi_target,low_pi_distance,high_pi_multiple,high_pi_target,high_pi_distance,span_pi_multiple,span_pi_target,span_pi_distance,delta_min,delta_max
208.0,pi,0.0,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.8042267073873247,-1.0820350625855772e-7,1.8999273116559722e-7,2.9819623742415494e-7,0,0.0,1.0820350625855772e-7,0,0.0,1.8999273116559722e-7,0,0.0,2.9819623742415494e-7,-1.2377343098885955e-5,2.579377526766428
208.0,pi,2.0,0.8453988732731724,0.07256096460410094,0.8042267073873247,2.155639254809361,0.014355856597070175,1.983356746329032e-7,-0.014355658261395543,0,0.0,0.014355856597070175,0,0.0,1.983356746329032e-7,0,0.0,0.014355658261395543,-1.6176715970517657e-5,2.1748702147687835
208.0,pi,4.0,0.8453988732731724,0.07256096460410094,0.8042267073873247,4.080046641507307,0.015066030548079711,0.08328805590147373,0.06822202535339401,0,0.0,0.015066030548079711,0,0.0,0.08328805590147373,0,0.0,0.06822202535339401,-8.083080145342638e-6,1.569996373464893
208.0,K,0.0,2.5315894049371632,0.21180203708310893,2.4538439205892284,2.4538439205892284,-6.60754075745375e-9,1.677015010045114e-7,1.7430904176196516e-7,0,0.0,6.60754075745375e-9,0,0.0,1.677015010045114e-7,0,0.0,1.7430904176196516e-7,-0.16348708022464525,2.2127873588366826
208.0,K,2.0,2.5315894049371632,0.21180203708310893,2.4538439205892284,3.165651589580369,0.019979642516619343,1.7688839539507792e-7,-0.019979465628223947,0,0.0,0.019979642516619343,0,0.0,1.7688839539507792e-7,0,0.0,0.019979465628223947,-0.008333823439822384,1.9865663203416313
208.0,K,4.0,2.5315894049371632,0.21180203708310893,2.4538439205892284,4.692691124143237,0.016198417063223138,0.26713046737869045,0.25093205031546734,0,0.0,0.016198417063223138,0,0.0,0.26713046737869045,0,0.0,0.25093205031546734,-1.7309907730716303e-6,1.4885780089536242
210.0,pi,0.0,0.909686481009134,0.17433872030007808,0.6980303235506904,0.6980303235506904,-9.62257202566518e-8,1.8843114221361413e-7,2.846568624702659e-7,0,0.0,9.62257202566518e-8,0,0.0,1.8843114221361413e-7,0,0.0,2.846568624702659e-7,-3.5783418859121417e-6,2.4776381632150146
210.0,pi,2.0,0.909686481009134,0.17433872030007808,0.6980303235506904,2.1183121423898514,0.013714071608217424,1.9676421403317257e-7,-0.01371387484400339,0,0.0,0.013714071608217424,0,0.0,1.9676421403317257e-7,0,0.0,0.01371387484400339,-6.647929953055062e-6,2.097498727710142
210.0,pi,4.0,0.909686481009134,0.17433872030007808,0.6980303235506904,4.060449030907331,0.014856332752028596,0.07812927080503757,0.06327293805300897,0,0.0,0.014856332752028596,0,0.0,0.07812927080503757,0,0.0,0.06327293805300897,-5.100762617677053e-6,1.5159875681026846
210.0,K,0.0,2.572283695554165,0.3408672502723144,2.376754001793583,2.376754001793583,-6.297028544796352e-9,1.6632064086993263e-7,1.72617669414729e-7,0,0.0,6.297028544796352e-9,0,0.0,1.6632064086993263e-7,0,0.0,1.72617669414729e-7,-0.1699921508773625,2.131794135686327
210.0,K,2.0,2.572283695554165,0.3408672502723144,2.376754001793583,3.1062774481751965,0.01952034655399525,1.754916366872232e-7,-0.019520171062358562,0,0.0,0.01952034655399525,0,0.0,1.754916366872232e-7,0,0.0,0.019520171062358562,-0.011575356296469929,1.9148497762376573
210.0,K,4.0,2.572283695554165,0.3408672502723144,2.376754001793583,4.652844246806658,0.01596927195307355,0.25963768552392047,0.24366841357084693,0,0.0,0.01596927195307355,0,0.0,0.25963768552392047,0,0.0,0.24366841357084693,-1.3498005143214644e-6,1.4168960975783158
212.0,pi,0.0,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.6116056058989852,-8.59435274743336e-8,1.8679042392316513e-7,2.7273395139749876e-7,0,0.0,8.59435274743336e-8,0,0.0,1.8679042392316513e-7,0,0.0,2.7273395139749876e-7,-2.032220492867813e-6,2.403344933148225
212.0,pi,2.0,0.9740069109697355,0.24189142422807122,0.6116056058989852,2.091425690089673,0.013143937103339836,1.951126902504731e-7,-0.013143741990649585,0,0.0,0.013143937103339836,0,0.0,1.951126902504731e-7,0,0.0,0.013143741990649585,-5.527327762955963e-6,2.0385310877932405
212.0,pi,4.0,0.9740069109697355,0.24189142422807122,0.6116056058989852,4.04648754071566,0.014661127418023365,0.07436548497634103,0.05970435755831767,0,0.0,0.014661127418023365,0,0.0,0.07436548497634103,0,0.0,0.05970435755831767,-2.8275672891425443e-6,1.4716252951620346
212.0,K,0.0,2.6069453759028143,0.42656959113794474,2.3110898056020854,2.3110898056020854,-6.024028606115843e-9,1.6498706086748387e-7,1.710110894735997e-7,0,0.0,6.024028606115843e-9,0,0.0,1.6498706086748387e-7,0,0.0,1.710110894735997e-7,-0.17475643678385241,2.0727054828411395
212.0,K,2.0,2.6069453759028143,0.42656959113794474,2.3110898056020854,3.0563272222649664,0.019075239124293843,1.7413973391946727e-7,-0.019075064984559922,0,0.0,0.019075239124293843,0,0.0,1.7413973391946727e-7,0,0.0,0.019075064984559922,-0.014471014634076648,1.8599955024516241
212.0,K,4.0,2.6069453759028143,0.42656959113794474,2.3110898056020854,4.619646749434191,0.015756413540258443,0.2531779956943943,0.23742158215413586,0,0.0,0.015756413540258443,0,0.0,0.2531779956943943,0,0.0,0.23742158215413586,-1.0458505204796547e-6,1.35402179023042
