xi,sequence,role,T_MeV,bracket_low_MeV,bracket_high_MeV
0.125,1,low,126.1875,126.1875,126.3125
0.125,2,midpoint,126.25,126.1875,126.3125
0.125,3,high,126.3125,126.1875,126.3125
0.39375,1,low,113.4375,113.4375,113.5625
0.39375,2,midpoint,113.5,113.4375,113.5625
0.39375,3,high,113.5625,113.4375,113.5625
0.5,1,low,106.9375,106.9375,107.0625
0.5,2,midpoint,107.0,106.9375,107.0625
0.5,3,high,107.0625,106.9375,107.0625
