mode_key,mode,scan_rows,diagnostic_rows,failed_rows,xi_count,scan_sha256,diagnostics_sha256,manifest_sha256,plot_manifest_sha256,max_tau_v1_v2_rel_drift,max_rate_v1_v2_rel_drift,transfer_gate_tol,transfer_gate_passed
mode_a,mode_a_fixed_muB_phase_scaled,909,38178,0,101,ec5e330a6af39b1be3b12db1cfd53a07074600c15559b5360b3135e88941504c,c4447fdc5e289c0e1f184db3f49b3575077e702bf687133b79a044d76f050a81,22648797c081b405085036f11f2d9913d2ffbe8f35e9090c719737d83caf94e0,41a44b1d7645e3789cd88d8d9db69acaabfeefc3b0d1ad6a79628cf56b1d5c06,0.00016650388598370386,0.0005376562885010908,0.001,True
mode_b,mode_b_fixed_T_sparse_muB,909,38178,0,101,481cfc7596a8610fab623ae168d73044bc83cfae8319894064a69552ffe719e5,5f252367555b5bbea7aaaa17b3ab8cf6b9ebfa6baf575c7bfbb888ef840d7857,22d16f20e7eacbe98fbe05fc07d6f1aa4baf0922bfc3ca97316ca54fb3e5b66d,8139c835802c0040db892e109d3c123b089907177d8b4e93b4e45edda219722b,8.227979408292409e-06,0.00037216685864895603,0.001,True
