iter,m_fm,g_fm,residual_norm
0,2.97246066498985,2.41418586067261,0.03016348979940515
1,2.97246066498985,2.41418586067261,0.11280471674351827
2,2.97246066498985,2.41418586067261,0.11280471674351827
3,2.97246066498985,2.41418586067261,0.11280471674351827
4,2.97246066498985,2.41418586067261,0.11280471674351827
5,2.97246066498985,2.41418586067261,0.11280471674351827
6,2.97246066498985,2.41418586067261,0.10399701176251837
7,2.9305945817630157,2.478331836819159,0.019879026158084928
8,2.9305945817630157,2.478331836819159,0.11384447106713938
9,2.9305945817630157,2.478331836819159,0.10384796515948752
10,2.9092270399594935,2.5084356299796253,0.014881332733631708
11,2.9092270399594935,2.5084356299796253,0.10870618443224798
12,2.9092270399594935,2.5084356299796253,0.10377506707478315
13,2.9092270399594935,2.5084356299796253,0.10130368492516036
14,2.9092270399594935,2.5084356299796253,0.10006602141221645
15,2.9092270399594935,2.5084356299796253,0.0994466405666162
16,2.907868519956214,2.5102037651481526,0.014575005876440568
17,2.907868519956214,2.5102037651481526,0.09975566387185086
18,2.907868519956214,2.5102037651481526,0.09944628319194199
19,2.907188424569596,2.5110835433831182,0.014422091390033635
20,2.907188424569596,2.5110835433831182,0.09960080229790966
21,2.907188424569596,2.5110835433831182,0.09944619160163118
22,2.907188424569596,2.5110835433831182,0.09936887726595398
23,2.9070182944819467,2.5113029399217477,0.01438389269393988
24,2.9070182944819467,2.5113029399217477,0.09940752362682431
25,2.9070182944819467,2.5113029399217477,0.09936887148619811
26,2.906933216073905,2.511412569120024,0.014364797334502084
27,2.906933216073905,2.511412569120024,0.09938819484578054
28,2.906933216073905,2.511412569120024,0.09936887003672985
29,2.9068906735216022,2.5114673664038283,0.014355250654227762
30,2.9068906735216022,2.5114673664038283,0.09937853176244571
31,2.9068906735216022,2.5114673664038283,0.09936886967379505
32,2.9068694014074756,2.5114947607109355,0.01435047756423926
33,2.9068694014074756,2.5114947607109355,0.09937370054827652
34,2.9068694014074756,2.5114947607109355,0.09936886958299011
35,2.906858765140805,2.5115084567800428,0.014348091081817983
36,2.906858765140805,2.5115084567800428,0.03274353383241937
37,2.906858765140805,2.5115084567800428,0.029641158930563898
38,2.906858765140805,2.5115084567800428,0.018005304869138587
39,2.906858765140805,2.5115084567800428,0.1034490230797902
40,2.906858765140805,2.5115084567800428,0.10140613197475543
41,2.906858765140805,2.5115084567800428,0.10038589137902322
42,2.906858765140805,2.5115084567800428,0.09987607232158358
43,2.906858765140805,2.5115084567800428,0.0996212381031112
44,2.906858765140805,2.5115084567800428,0.09949383982145354
45,2.906858765140805,2.5115084567800428,0.09943014538752155
46,2.906858765140805,2.5115084567800428,0.09939829934727995
47,2.906858765140805,2.5115084567800428,0.09938237662134033
48,2.906858765140805,2.5115084567800428,0.0993744153319157
49,2.906858765140805,2.5115084567800428,0.0993704347055897
50,2.90685876402316,2.511537437815764,0.014346187580621617
51,2.90685876402316,2.511537437815764,0.014346187400171823
52,2.90685876402316,2.511537437815764,0.014346187490396616
53,2.90685876402316,2.511537437815764,0.014346187535509064
54,2.90685876402316,2.511537437815764,0.014346187558065354
55,2.90685876402316,2.511537437815764,0.014346187569343381
56,2.90685876402316,2.511537437815764,0.014346187574982495
57,2.90685876402316,2.511537437815764,0.014346187577801997
58,2.90685876402316,2.511537437815764,0.0143461875792118
59,2.90685876402316,2.511537437815764,0.014346187579916646
60,2.90685876402316,2.511537437815764,0.014346187580269044
61,2.90685876402316,2.511537437815764,0.01434618758044532
62,2.90685876402316,2.511537437815764,0.0143461875805335
63,2.90685876402316,2.511537437815764,0.014346187580577506
64,2.90685876402316,2.511537437815764,0.014346187580599516
65,2.90685876402316,2.511537437815764,0.014346187580610431
66,2.90685876402316,2.511537437815764,0.014346187580616086
67,2.90685876402316,2.511537437815764,0.01434618758061875
68,2.90685876402316,2.511537437815764,0.014346187580620173
69,2.90685876402316,2.511537437815764,0.014346187580620812
70,2.90685876402316,2.511537437815764,0.01434618758062127
71,2.90685876402316,2.511537437815764,0.014346187580621395
72,2.90685876402316,2.511537437815764,0.014346187580621526
73,2.90685876402316,2.511537437815764,0.014346187580621617
74,2.90685876402316,2.511537437815764,0.014346187580621617
75,2.90685876402316,2.511537437815764,0.014346187580621617
76,2.90685876402316,2.511537437815764,0.014346187580621617
77,2.90685876402316,2.511537437815764,0.014346187580621617
78,2.90685876402316,2.511537437815764,0.014346187580621617
79,2.90685876402316,2.511537437815764,0.014346187580621617
80,2.90685876402316,2.511537437815764,0.014346187580621617
81,2.90685876402316,2.511537437815764,0.014346187580621617
82,2.90685876402316,2.511537437815764,0.014346187580621617
83,2.90685876402316,2.511537437815764,0.014346187580621617
84,2.90685876402316,2.511537437815764,0.014346187580621617
85,2.90685876402316,2.511537437815764,0.014346187580621617
86,2.90685876402316,2.511537437815764,0.014346187580621617
87,2.90685876402316,2.511537437815764,0.014346187580621617
88,2.90685876402316,2.511537437815764,0.014346187580621617
89,2.90685876402316,2.511537437815764,0.014346187580621617
90,2.90685876402316,2.511537437815764,0.014346187580621617
91,2.90685876402316,2.511537437815764,0.014346187580621617
92,2.90685876402316,2.511537437815764,0.014346187580621617
93,2.90685876402316,2.511537437815764,0.014346187580621617
94,2.90685876402316,2.511537437815764,0.014346187580621617
95,2.90685876402316,2.511537437815764,0.014346187580621617
96,2.90685876402316,2.511537437815764,0.014346187580621617
97,2.90685876402316,2.511537437815764,0.014346187580621617
98,2.90685876402316,2.511537437815764,0.014346187580621617
99,2.90685876402316,2.511537437815764,0.014346187580621617
100,2.90685876402316,2.511537437815764,0.014346187580621617
101,2.90685876402316,2.511537437815764,0.014346187580621617
102,2.90685876402316,2.511537437815764,0.014346187580621617
103,2.90685876402316,2.511537437815764,0.014346187580621617
104,2.90685876402316,2.511537437815764,0.014346187580621617
105,2.90685876402316,2.511537437815764,0.014346187580621617
106,2.90685876402316,2.511537437815764,0.014346187580621617
107,2.90685876402316,2.511537437815764,0.014346187580621617
108,2.90685876402316,2.511537437815764,0.014346187580621617
109,2.90685876402316,2.511537437815764,0.014346187580621617
110,2.90685876402316,2.511537437815764,0.014346187580621617
111,2.90685876402316,2.511537437815764,0.014346187580621617
112,2.90685876402316,2.511537437815764,0.014346187580621617
113,2.90685876402316,2.511537437815764,0.014346187580621617
114,2.90685876402316,2.511537437815764,0.014346187580621617
115,2.90685876402316,2.511537437815764,0.014346187580621617
116,2.90685876402316,2.511537437815764,0.014346187580621617
117,2.90685876402316,2.511537437815764,0.014346187580621617
118,2.90685876402316,2.511537437815764,0.014346187580621617
119,2.90685876402316,2.511537437815764,0.014346187580621617
120,2.90685876402316,2.511537437815764,0.014346187580621617
121,2.90685876402316,2.511537437815764,0.014346187580621617
122,2.90685876402316,2.511537437815764,0.014346187580621617
123,2.90685876402316,2.511537437815764,0.014346187580621617
124,2.90685876402316,2.511537437815764,0.014346187580621617
125,2.90685876402316,2.511537437815764,0.014346187580621617
126,2.90685876402316,2.511537437815764,0.014346187580621617
127,2.90685876402316,2.511537437815764,0.014346187580621617
128,2.90685876402316,2.511537437815764,0.014346187580621617
129,2.90685876402316,2.511537437815764,0.014346187580621617
130,2.90685876402316,2.511537437815764,0.014346187580621617
131,2.90685876402316,2.511537437815764,0.014346187580621617
132,2.90685876402316,2.511537437815764,0.014346187580621617
133,2.90685876402316,2.511537437815764,0.014346187580621617
134,2.90685876402316,2.511537437815764,0.014346187580621617
135,2.90685876402316,2.511537437815764,0.014346187580621617
