T_MeV,xi,method,m0,g0,mass,gamma,residual,converged
255.0,-0.3,newton,2.6,1.8,2.460958303101959,2.3445615561645066,0.10940779552006617,false
255.0,-0.3,trust_region,2.6,1.8,2.621185366141336,1.2489292550916724,0.0632684602570963,false
255.0,-0.3,newton,2.6,1.82,2.720329743983311,2.5592137368557974,0.1307487829309421,false
255.0,-0.3,trust_region,2.6,1.82,2.6189192360827658,1.23945119340386,0.06378577603594067,false
255.0,-0.3,newton,2.6,1.84,3.290277182880529,-1.548994774297718,0.2653832027592641,false
255.0,-0.3,trust_region,2.6,1.84,2.6191058825667977,1.2402207376700558,0.06374355550646063,false
255.0,-0.3,newton,2.6,1.86,2.7202396576815375,2.559358017261741,0.13077576784571776,false
255.0,-0.3,trust_region,2.6,1.86,2.618534287876245,1.237861763383369,0.0638729167018307,false
255.0,-0.3,newton,2.6,1.88,2.1826305977125364,1.6322552971242965,0.1276941094392157,false
255.0,-0.3,trust_region,2.6,1.88,2.6166336051766073,1.230103941287642,0.06429996714871919,false
255.0,-0.3,newton,2.6,1.9,2.5048515591464766,2.417798871669658,0.10476483073425596,false
255.0,-0.3,trust_region,2.6,1.9,2.6164317691362764,1.2292932327883415,0.06434486080500136,false
255.0,-0.3,newton,2.6,1.92,2.592373838425764,2.527722437434171,0.11785448898145404,false
255.0,-0.3,trust_region,2.6,1.92,2.6220309052658104,1.252531502636496,0.06307312506878039,false
255.0,-0.3,newton,2.6,1.94,2.697282297412838,2.5818216896666972,0.1373259438696835,false
255.0,-0.3,trust_region,2.6,1.94,2.6196749822423695,1.2425849634732828,0.06361421052839317,false
255.0,-0.3,newton,2.6,1.96,2.6789450074857224,2.542245502917744,0.14111561758022673,false
255.0,-0.3,trust_region,2.6,1.96,2.6195649907260607,1.24212993624094,0.06363914915998528,false
255.0,-0.3,newton,2.6,1.98,2.422784345313982,2.2728345756523014,0.11289592415532217,false
255.0,-0.3,trust_region,2.6,1.98,2.614381893344693,1.2211062267767996,0.06479901369765403,false
255.0,-0.3,newton,2.6,2.0,2.691336529995209,2.584486084661792,0.1391335789160047,false
255.0,-0.3,trust_region,2.6,2.0,2.6174901699507536,1.2335816061704221,0.06410817078227528,false
255.0,-0.3,newton,2.6,2.02,2.6054611719304823,2.53886930785713,0.12092043454389194,false
255.0,-0.3,trust_region,2.6,2.02,2.617226662660164,1.2325087320909651,0.06416728215409889,false
255.0,-0.3,newton,2.6,2.04,2.247266786906404,1.8420406814499226,0.12461182857767875,false
255.0,-0.3,trust_region,2.6,2.04,2.6131053492127605,1.2160912743264367,0.06507884938181036,false
255.0,-0.3,newton,2.6,2.06,2.6616414956755357,2.585918934908933,0.13995853615478324,false
255.0,-0.3,trust_region,2.6,2.06,2.6124511920169593,1.2135515140092206,0.06522118721453367,false
255.0,-0.3,newton,2.6,2.08,2.675631831350476,2.547948201162262,0.14331471741127058,false
255.0,-0.3,trust_region,2.6,2.08,2.6115480515429277,1.2100616054447217,0.06541707916800797,false
255.0,-0.3,newton,2.6,2.1,2.7316689785561215,0.5330221127307448,0.10278371149122363,false
255.0,-0.3,trust_region,2.6,2.1,2.6139547443717985,1.2194247594525378,0.06489278246463223,false
255.0,-0.3,newton,2.6,2.12,2.09335488246129,-0.32150465327137334,0.15057632512178631,false
255.0,-0.3,trust_region,2.6,2.12,2.6132079336966743,1.2164933234166695,0.06505639969640738,false
255.0,-0.3,newton,2.6,2.14,2.2616263746425043,1.8842578410561255,0.12385357680229103,false
255.0,-0.3,trust_region,2.6,2.14,2.615473609373866,1.2254464047659133,0.0645578604497493,false
255.0,-0.3,newton,2.6,2.16,2.4840630702135638,2.3843531531565882,0.10705924984453191,false
255.0,-0.3,trust_region,2.6,2.16,2.6145614789695535,1.221815980807509,0.064759491775065,false
255.0,-0.3,newton,2.6,2.18,2.8593410371121375,3.2970170730420794,0.1600091459142685,false
255.0,-0.3,trust_region,2.6,2.18,2.6140856424243624,1.2199384843938672,0.0648641007557097,false
255.0,-0.3,newton,2.6,2.2,2.486904035213093,2.389111723279555,0.10675750163233887,false
255.0,-0.3,trust_region,2.6,2.2,2.547044370509223,1.0130763686591067,0.07747245750472746,false
255.0,-0.3,newton,2.6,2.22,3.6064554591680205,-1.4521219125737281,0.31747559648936197,false
255.0,-0.3,trust_region,2.6,2.22,2.5685054530990215,1.0696897358114223,0.07379938329879338,false
255.0,-0.3,newton,2.6,2.24,2.556640270143992,2.4896489958504886,0.11019004665081598,false
255.0,-0.3,trust_region,2.6,2.24,2.551961786059128,1.0254538212580715,0.07665377388778802,false
255.0,-0.3,newton,2.6,2.26,2.357347749847539,2.1324750163563184,0.11796859420387457,false
255.0,-0.3,trust_region,2.6,2.26,2.554357972767813,1.0316117827421347,0.076250189801087,false
255.0,-0.3,newton,2.6,2.28,2.4838438686165984,2.3839886922621742,0.10708248408482275,false
255.0,-0.3,trust_region,2.6,2.28,2.55670865697462,1.0377220295452916,0.07585108281674628,false
255.0,-0.3,newton,2.6,2.3,2.465765895005758,2.353063417021674,0.10893507549269403,false
255.0,-0.3,trust_region,2.6,2.3,2.559007316148228,1.0437864953678127,0.07545787260168656,true
255.0,-0.3,newton,2.6,2.32,1.996201105716509,0.5932545061291807,0.13395650021524816,false
255.0,-0.3,trust_region,2.6,2.32,2.600991202785526,1.1712833100948192,0.06763387094856385,false
255.0,-0.3,newton,2.6,2.34,3.686439710622377,-1.3612990185603322,0.33021841079435404,false
255.0,-0.3,trust_region,2.6,2.34,2.5985196341185652,1.162696640214497,0.06813513264499871,false
255.0,-0.3,newton,2.6,2.36,2.344045776292222,2.1010911257344507,0.11888255457178915,false
255.0,-0.3,trust_region,2.6,2.36,2.5956919748300606,1.153066714987501,0.0687011894894065,false
255.0,-0.3,newton,2.6,2.38,2.7228947892408217,2.5548146738311486,0.12996698031528855,false
255.0,-0.3,trust_region,2.6,2.38,2.592481587551876,1.1423843923219696,0.06933469399732249,false
255.0,-0.3,newton,2.6,2.4,2.261300346628425,1.883315420424656,0.12387111724111798,false
255.0,-0.3,trust_region,2.6,2.4,2.604837551703066,1.1850041391067918,0.06684102604678112,false
255.0,-0.3,newton,2.6,2.42,2.6614654395326847,2.5858778320450617,0.13986361312911444,false
255.0,-0.3,trust_region,2.6,2.42,2.606710689985205,1.1918498895742928,0.0664489437010252,false
255.0,-0.3,newton,2.6,2.44,2.5630920250891243,2.4979252402928505,0.11154326347206403,false
255.0,-0.3,trust_region,2.6,2.44,2.6047289799944036,1.1846108874077004,0.06686362368997426,false
255.0,-0.3,newton,2.6,2.46,2.280288428917663,1.9370291451107886,0.12282384919760632,false
255.0,-0.3,trust_region,2.6,2.46,2.602916930049524,1.1780947644282285,0.06723903335745579,false
255.0,-0.3,newton,2.6,2.48,2.661970922007043,2.5859890519654476,0.1401379369355053,false
255.0,-0.3,trust_region,2.6,2.48,2.5950361673576943,1.150864655983385,0.0688313907056905,false
255.0,-0.3,newton,2.6,2.5,2.4197047517208747,2.2666659974975785,0.11315748106673577,false
255.0,-0.3,trust_region,2.6,2.5,2.603828877621683,1.1813655049571985,0.0670504296244643,false
255.0,-0.3,newton,2.6,2.52,2.7293800858525095,2.540277476631699,0.1278117042947734,false
255.0,-0.3,trust_region,2.6,2.52,2.596661645018219,1.1563462135403995,0.06850795912821339,false
255.0,-0.3,newton,2.6,2.54,2.678813850069955,2.5422497247845586,0.14117992844375268,false
255.0,-0.3,trust_region,2.6,2.54,2.5660939500362843,1.062974908462353,0.07422574812133041,false
255.0,-0.3,newton,2.6,2.56,2.2037393149925397,1.7046438408921372,0.12674368569262026,false
255.0,-0.3,trust_region,2.6,2.56,2.5773526062794625,1.0951877466508944,0.072201955947053,false
255.0,-0.3,newton,2.6,2.58,2.699935497730481,2.580303803542547,0.13655602618885287,false
255.0,-0.3,trust_region,2.6,2.58,2.5867464025437203,1.1239082177324409,0.07044350656405342,true
255.0,-0.3,newton,2.6,2.6,2.720150353010958,2.5595004088719593,0.13080249043265224,false
255.0,-0.3,trust_region,2.6,2.6,2.582905802546399,1.111946992297337,0.07117071072192824,false
255.0,-0.3,newton,2.6,2.62,2.6689425127881083,2.5531885349175747,0.14314317739561405,false
255.0,-0.3,trust_region,2.6,2.62,2.60009228031544,1.1681360949278676,0.06781697876482466,false
255.0,-0.3,newton,2.6,2.64,2.678908566358805,2.5422436410457774,0.14113324483696668,false
255.0,-0.3,trust_region,2.6,2.64,2.5971529801361126,1.1580152201779148,0.06840968101699937,false
255.0,-0.3,newton,2.6,2.66,2.462343912573745,2.3470243638311117,0.10927238334532471,false
255.0,-0.3,trust_region,2.6,2.66,2.587891223603972,1.1275338076186594,0.07022439444558477,false
255.0,-0.3,newton,2.6,2.68,2.480485776664299,2.3783738082828867,0.1074360434053832,false
255.0,-0.3,trust_region,2.6,2.68,2.591235325213243,1.138303601905939,0.06957806560502797,false
255.0,-0.3,newton,2.6,2.7,2.4006114537303933,2.227656504935342,0.11472851480953397,false
255.0,-0.3,trust_region,2.6,2.7,2.5872478142316213,1.1254937623213281,0.07034768550306093,false
255.0,-0.3,newton,2.6,2.72,2.608779960019343,2.541108724177123,0.12171345117266102,false
255.0,-0.3,trust_region,2.6,2.72,2.5824160026945853,1.1104429844642276,0.07126260149616079,false
255.0,-0.3,newton,2.6,2.74,2.2687237466354926,1.9045950483623915,0.12346793846188842,false
255.0,-0.3,trust_region,2.6,2.74,2.5653463823587055,1.0609087582328451,0.07435713467166481,false
