m_fm,g_fm,m_MeV,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
2.2,0.0,434.11935688000005,0.0,0.1345113512074721,-0.06867227853464378,0.1510271016831072,-0.8209451119433047
2.21,0.0,436.092626684,0.0,0.13391405399472234,-0.06957251906563057,0.15090828097370582,-0.8212869280010231
2.22,0.0,438.065896488,0.0,0.13331776830216358,-0.07048002121808172,0.1508013950067128,-0.8215946409535434
2.23,0.0,440.039166292,0.0,0.1327225412181934,-0.07139480374797152,0.15070663870455878,-0.8218676163698158
2.24,0.0,442.01243609600004,0.0,0.1321284200303946,-0.07231688527224064,0.15062420547576938,-0.8221052309252003
2.25,0.0,443.98570589999997,0.0,0.1315354522252989,-0.0732462842686766,0.1505542870571332,-0.8223068733710948
2.26,0.0,445.95897570399995,0.0,0.13094368548820304,-0.07418301907588051,0.15049707335508516,-0.8224719455059879
2.27,0.0,447.932245508,0.0,0.13035316770304115,-0.07512710789331978,0.150452752286662,-0.8225998631450585
2.28,0.0,449.905515312,0.0,0.12976394695231397,-0.07607856878146632,0.15042150962039721,-0.8226900570853544
2.29,0.0,451.878785116,0.0,0.12917607151707922,-0.07703741966202415,0.15040352881753935,-0.8227419740634837
2.3,0.0,453.85205491999994,0.0,0.1285895898770053,-0.07800367831824663,0.15039899087398467,-0.8227550777026896
2.31,0.0,455.825324724,0.0,0.12800455071049155,-0.07897736239534997,0.15040807416332821,-0.8227288494461149
2.32,0.0,457.79859452799997,0.0,0.1274210028948587,-0.07995848940102594,0.1504309542814429,-0.8226627894730255
2.33,0.0,459.771864332,0.0,0.12683899550661532,-0.08094707670606358,0.15046780389300735,-0.8225564175947245
2.34,0.0,461.745134136,0.0,0.12625857782180183,-0.08194314154508742,0.15051879258040246,-0.8224092741268992
2.35,0.0,463.71840394000003,0.0,0.1256797993164224,-0.08294670101742499,0.1505840866954085,-0.8222209207351245
2.36,0.0,465.69167374399996,0.0,0.12510270966696949,-0.08395777208811872,0.15066384921413148,-0.8219909412502925
2.37,0.0,467.664943548,0.0,0.1245273587510502,-0.08497637158910074,0.1507582395955912,-0.8217189424507716
2.38,0.0,469.638213352,0.0,0.12395379664811912,-0.0860025162205538,0.15086741364439799,-0.8214045548081751
2.39,0.0,471.611483156,0.0,0.12338207364035324,-0.0870362225524886,0.1509915233779694,-0.821047433193626
2.4,0.0,473.58475295999995,0.0,0.12281224021364907,-0.08807750702657308,0.15113071689868698,-0.8206472575416375
2.41,0.0,475.55802276400004,0.0,0.12224434705879231,-0.08912638595826142,0.151285138271449,-0.8202037334686718
2.42,0.0,477.53129256799997,0.0,0.12167844507281489,-0.09018287553927921,0.151454927407038,-0.8197165928436642
2.43,0.0,479.504562372,0.0,0.12111458536056817,-0.0912469918405418,0.15164021995173396,-0.8191855943078883
2.44,0.0,481.477832176,0.0,0.12055281923655782,-0.09231875081559796,0.1518411471836098,-0.8186105237416679
2.45,0.0,483.45110198000003,0.0,0.11999319822709233,-0.09339816830472439,0.1520578359159563,-0.8179911946755608
2.46,0.0,485.42437178399996,0.0,0.11943577407281149,-0.09448526003982899,0.15229040840829658,-0.8173274486437693
2.47,0.0,487.39764158800006,0.0,0.11888059873168715,-0.0955800416503754,0.15253898228548632,-0.8166191554776043
2.48,0.0,489.370911392,0.0,0.11832772438261438,-0.09668252867060664,0.1528036704654395,-0.8158662135368936
2.49,0.0,491.344181196,0.0,0.11777720342975385,-0.09779273654844825,0.15308458109609807,-0.8150685498772003
2.5,0.0,493.317451,0.0,0.11722908850784616,-0.09891068065660594,0.15338181750238034,-0.8142261203505962
2.51,0.0,495.29072080399993,0.0,0.1166834324888012,-0.10003637630657475,0.15369547814402107,-0.8133389096374568
2.52,0.0,497.263990608,0.0,0.11614028848999425,-0.10116983876657348,0.15402565658549736,-0.812406931206193
2.53,0.0,499.23726041199996,0.0,0.11559970988488574,-0.10231108328486203,0.1543724414796622,-0.8114302271968902
2.54,0.0,501.210530216,0.0,0.11506175031687499,-0.10346012512058869,0.15473591656739152,-0.8104088682232087
2.55,0.0,503.18380002,0.0,0.11452646371775814,-0.10461697958540345,0.15511616069664597,-0.8093429530841714
2.56,0.0,505.157069824,0.0,0.11399390433291408,-0.1057816621008581,0.1555132478661599,-0.8082326083728371
2.57,0.0,507.13033962799994,0.0,0.1134641267566143,-0.10695418827963155,0.155927247302054,-0.8070779879608265
2.58,0.0,509.103609432,0.0,0.11293718598310244,-0.10813457404394874,0.1563582235811347,-0.8058792723232726
2.59,0.0,511.07687923599997,0.0,0.11241313748323965,-0.10932283580441865,0.15680623682476924,-0.80463666764192
2.6,0.0,513.0501490400001,0.0,0.11189203732464985,-0.11051899074184987,0.15727134300710327,-0.8033504045711896
2.61,0.0,515.0234188439999,0.0,0.11137394237038623,-0.11172305727522948,0.15775359446315737,-0.802020736440532
2.62,0.0,516.996688648,0.0,0.11085891063031139,-0.11293505589225869,0.15825304077813784,-0.8006479364102692
2.63,0.0,518.969958452,0.0,0.11034700193994314,-0.114155010758224,0.15876973048520315,-0.7992322924397826
2.64,0.0,520.943228256,0.0,0.10983827944237451,-0.11538295323554876,0.15930371473452207,-0.797774096955336
2.65,0.0,522.91649806,0.0,0.10933281347367002,-0.11661893112738925,0.15985505684639156,-0.796273620726377
2.66,0.0,524.889767864,0.0,0.10883069554637306,-0.11786304201683134,0.1604238665740503,-0.7947310204012693
2.67,0.0,526.863037668,0.0,0.1083321595118282,-0.11911572284614738,0.16101059658810157,-0.7931455408110124
2.68,0.0,528.836307472,0.0,0.1078388319076093,-0.12037496662275068,0.16161480828385114,-0.7915188486275208
2.69,0.0,530.809577276,0.0,0.10734746769778034,-0.12164166659842343,0.1622349341971944,-0.7898556230257086
2.7,0.0,532.78284708,0.0,0.10685933040322515,-0.1229164786821226,0.16287227273492053,-0.7881528433965729
