path,occurrence_count,classification,path_retirement_blocker,decision
.github/workflows/pnjl-phase-diagram.yml,5,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,7,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
config/governance/task_tracks.toml,1,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,5,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,6,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
data/reference/pnjl/legacy_phase_reference_v1/crossover_dense.meta.json,1,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
data/reference/pnjl/legacy_phase_reference_v1/phase_reference_dense_manifest.json,2,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-23_Issue130_RS_phase-reference_adapter_parity.md,1,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-23_Issue130_phase-reference-runtime-switch.md,3,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-24_Issue130_phase-reference-retirement.md,2,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-27_Issue130_RS_publication_clean_and_old_reference_retirement.md,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-28_Issue130_PNJL_legacy_phase-reference_retirement_and_physical_cleanup.md,2,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-28_Issue130_RS_old_reference_retirement_audit.md,2,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-primary-runtime.md,3,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-runtime-fallback.md,2,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/dev/active/2026-08-29_Issue130_phase-reference_three-layer_accepted-map.md,1,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
docs/guides/scripts/README.md,2,governance_or_metadata_reference;runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/guides/sop/workflows/relaxtime_transport.md,1,runtime_legacy_contract,False,retain_as_explicit_history_or_test
docs/notes/pnjl/一阶相变方法对比.md,1,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
docs/superpowers/plans/2026-04-27-relaxtime-xi-smoothness-sampling-implementation-plan.md,2,governance_or_metadata_reference,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,13,diagnostic_or_historical_tooling;runtime_legacy_contract,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/audit_issue130_phase_reference_legacy_retirement.py,14,diagnostic_or_historical_tooling;runtime_legacy_contract,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/audit_issue130_phase_reference_runtime_consumers.py,5,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/build_issue130_rs_runtime_consumer_smoke_v2.py,5,diagnostic_or_historical_tooling;runtime_legacy_contract,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/build_issue130_rs_runtime_parity_evidence.py,4,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl/import_issue130_phase_reference.py,5,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl_cep_narrow_pilot.jl,1,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/pnjl_cep_narrow_pilot_v2.jl,1,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/relaxtime/audit_issue130_rs_old_reference_retirement.py,3,diagnostic_or_historical_tooling;runtime_legacy_contract,False,retain_as_explicit_history_or_test
scripts/analysis/relaxtime/build_phase_guided_pole_sensitive_rendering.py,2,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/analysis/relaxtime/import_issue130_rs_candidate_results.py,2,runtime_legacy_contract,False,retain_as_explicit_history_or_test
scripts/dev/export_pnjl_chi_b_taylordiff_baseline.jl,1,active_path_contract,True,migrate_before_physical_delete
scripts/perf/pnjl_chi_b_taylordiff_probe.jl,1,diagnostic_or_historical_tooling,False,retain_as_explicit_history_or_test
scripts/pnjl/plot_phase_diagram.py,1,active_path_contract,True,migrate_before_physical_delete
scripts/pnjl/validate_phase_data.py,1,active_path_contract,True,migrate_before_physical_delete
scripts/relaxtime/generate_xi_smoothness_params.jl,1,active_path_contract,True,migrate_before_physical_delete
scripts/relaxtime/run_gap_transport_scan.jl,1,active_path_contract,True,migrate_before_physical_delete
scripts/relaxtime/xi_smoothness_sampling_lib.jl,1,active_path_contract,True,migrate_before_physical_delete
tests/regression/pnjl/test_pnjl_chi_b_taylordiff_cep_smoke.jl,1,snapshot_or_contract_test,False,retain_as_explicit_history_or_test
tests/unit/python/test_issue130_phase_reference_retirement.py,4,runtime_legacy_contract;snapshot_or_contract_test,False,retain_as_explicit_history_or_test
tests/unit/python/test_issue130_rs_numerical_pilot.py,1,snapshot_or_contract_test,False,retain_as_explicit_history_or_test
tests/unit/python/test_issue130_rs_old_reference_physical_deletion.py,1,snapshot_or_contract_test,False,retain_as_explicit_history_or_test
tests/unit/python/test_pnjl_phase_reference_adapter.py,1,snapshot_or_contract_test,False,retain_as_explicit_history_or_test
tests/unit/relaxtime/test_phase_reference_adapter.jl,2,runtime_legacy_contract,False,retain_as_explicit_history_or_test
