T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
60.000000,3.050000,0.000000,382.884607,382.884607,382.884607,382.884607,1148.653822,0.000000,0.000000,21.770505,0.814105,-18.682284,0.726602,0.726602,0.010796,-0.169688,-0.169688,-2.059837,0.109503,0.137789,38.315958,38.315958,461.460530,3,0.000000,true,
60.000000,3.000000,0.000000,381.886145,381.886145,381.886145,381.886145,1145.658434,0.000000,0.000000,21.763158,0.800422,-18.732952,0.714788,0.714788,0.010423,-0.177376,-0.177376,-2.060454,0.107969,0.136861,39.804815,39.804815,461.605581,3,0.000000,true,
60.000000,2.950000,0.000000,380.884977,380.884977,380.884977,380.884977,1142.654931,0.000000,0.000000,21.755913,0.786296,-18.783634,0.702972,0.702972,0.010056,-0.185640,-0.185640,-2.061082,0.106389,0.135884,41.405207,41.405207,461.758473,3,0.000000,true,
60.000000,2.900000,0.000000,379.881976,379.881976,379.881976,379.881976,1139.645927,0.000000,0.000000,21.748777,0.771721,-18.834330,0.691153,0.691153,0.009694,-0.194539,-0.194539,-2.061724,0.104761,0.134857,43.128667,43.128667,461.920608,3,0.000000,true,
60.000000,2.850000,0.000000,378.878282,378.878282,378.878282,378.878282,1136.634847,0.000000,0.000000,21.741757,0.756692,-18.885042,0.679331,0.679331,0.009338,-0.204139,-0.204139,-2.062384,0.103085,0.133778,44.988051,44.988051,462.093634,3,0.000000,true,
60.000000,2.800000,0.000000,377.875364,377.875364,377.875364,377.875364,1133.626093,0.000000,0.000000,21.734866,0.741202,-18.935772,0.667507,0.667507,0.008987,-0.214514,-0.214514,-2.063065,0.101360,0.132644,46.997647,46.997647,462.279492,3,0.000000,true,
60.000000,2.750000,0.000000,376.875071,376.875071,376.875071,376.875071,1130.625213,0.000000,0.000000,21.728113,0.725245,-18.986523,0.655679,0.655679,0.008641,-0.225746,-0.225746,-2.063772,0.099585,0.131453,49.173246,49.173246,462.480466,3,0.000000,true,
60.000000,2.700000,0.000000,375.879697,375.879697,375.879697,375.879697,1127.639091,0.000000,0.000000,21.721515,0.708816,-19.037295,0.643849,0.643849,0.008301,-0.237922,-0.237922,-2.064511,0.097758,0.130203,51.532166,51.532166,462.699244,3,0.000000,true,
60.000000,2.650000,0.000000,374.892039,374.892039,374.892039,374.892039,1124.676116,0.000000,0.000000,21.715089,0.691907,-19.088093,0.632017,0.632017,0.007967,-0.251140,-0.251140,-2.065287,0.095879,0.128891,54.093185,54.093185,462.938978,3,0.000000,true,
60.000000,2.600000,0.000000,373.915440,373.915440,373.915440,373.915440,1121.746319,0.000000,0.000000,21.708852,0.674513,-19.138919,0.620181,0.620181,0.007638,-0.265503,-0.265503,-2.066109,0.093946,0.127514,56.876341,56.876341,463.203345,3,0.000000,true,
60.000000,2.550000,0.000000,372.953805,372.953805,372.953805,372.953805,1118.861414,0.000000,0.000000,21.702829,0.656628,-19.189776,0.608343,0.608343,0.007314,-0.281119,-0.281119,-2.066984,0.091960,0.126069,59.902539,59.902539,463.496599,3,0.000000,true,
60.000000,2.500000,0.000000,372.011558,372.011558,372.011558,372.011558,1116.034675,0.000000,0.000000,21.697041,0.638243,-19.240669,0.596502,0.596502,0.006997,-0.298095,-0.298095,-2.067923,0.089918,0.124552,63.192894,63.192894,463.823600,3,0.000000,true,
60.000000,2.450000,0.000000,371.093517,371.093517,371.093517,371.093517,1113.280551,0.000000,0.000000,21.691514,0.619355,-19.291603,0.584658,0.584658,0.006685,-0.316535,-0.316535,-2.068936,0.087821,0.122958,66.767749,66.767749,464.189812,3,0.000000,true,
60.000000,2.400000,0.000000,370.204628,370.204628,370.204628,370.204628,1110.613885,0.000000,0.000000,21.686270,0.599954,-19.342582,0.572811,0.572811,0.006378,-0.336533,-0.336533,-2.070036,0.085666,0.121284,70.645325,70.645325,464.601229,3,0.000000,true,
60.000000,2.350000,0.000000,369.349539,369.349539,369.349539,369.349539,1108.048618,0.000000,0.000000,21.681330,0.580035,-19.393612,0.560961,0.560961,0.006077,-0.358162,-0.358162,-2.071235,0.083454,0.119524,74.840033,74.840033,465.064233,3,0.000000,true,
60.000000,2.300000,0.000000,368.531959,368.531959,368.531959,368.531959,1105.595878,0.000000,0.000000,21.676706,0.559591,-19.444701,0.549109,0.549109,0.005781,-0.381464,-0.381464,-2.072545,0.081183,0.117671,79.360576,79.360576,465.585345,3,0.000000,true,
60.000000,2.250000,0.000000,367.753811,367.753811,367.753811,367.753811,1103.261432,0.000000,0.000000,21.672399,0.538612,-19.495855,0.537255,0.537255,0.005491,-0.406445,-0.406445,-2.073981,0.078854,0.115718,84.208108,84.208108,466.170887,3,0.000000,true,
