q_inv_fm,weight,band,order,density,bound,landau,pair,root_count,negative_root_count,topology_evaluated,omega_tail
8.079420287004927,0.20245707258075143,tail1,8,3.347864563953957e-10,0.0,3.3482125137572396e-10,-3.4794980328221043e-14,0,0,false,3.3802300537722426e-15
8.406667045172746,0.44476206890674924,tail1,8,2.6665672991416383e-10,0.0,2.6668100024146303e-10,-2.4270327299208446e-14,0,0,false,2.3902100985402147e-15
8.948935180167343,0.6274132917557749,tail1,8,1.7826276204808597e-10,0.0,1.7827605702911856e-10,-1.3294981032578471e-14,0,0,false,1.3371460324176484e-15
9.6331307150087,0.7253675667567239,tail1,8,1.0308105995915436e-10,0.0,1.0308723316551459e-10,-6.1732063602322855e-15,0,0,false,6.35894513449131e-16
10.3668692849913,0.7253675667567239,tail1,8,5.497040642126563e-11,0.0,5.4973095515891696e-11,-2.689094626063132e-15,0,0,false,2.833688156544229e-16
11.051064819832657,0.6274132917557749,tail1,8,2.961675196279533e-11,0.0,2.961798267386175e-11,-1.2307110664214203e-15,0,0,false,1.3215363648502523e-16
11.593332954827254,0.44476206890674924,tail1,8,1.7803776585522512e-11,0.0,1.7804436292794437e-11,-6.59707271927336e-16,0,0,false,7.180178081286845e-17
11.920579712995073,0.20245707258075143,tail1,8,1.3003194761548895e-11,0.0,1.3003646834766796e-11,-4.520732179019284e-16,0,0,false,4.9581067782675094e-17
12.079420287004927,0.20245707258075143,tail2,8,1.1144043016906274e-11,0.0,1.1144419175165332e-11,-3.7615825905829044e-16,0,0,false,4.140171782792033e-17
12.406667045172746,0.44476206890674924,tail2,8,8.081658471336837e-12,0.0,8.081915818741566e-12,-2.573474047269783e-16,0,0,false,2.852587378637204e-17
12.948935180167343,0.6274132917557749,tail2,8,4.700792641776446e-12,0.0,4.700929522381759e-12,-1.3688060531329742e-16,0,0,false,1.5340677778216766e-17
13.6331307150087,0.7253675667567239,tail2,8,2.3373784084478043e-12,0.0,2.3374398895150775e-12,-6.148106727317866e-17,0,0,false,6.978815025866597e-18
14.3668692849913,0.7253675667567239,tail2,8,1.087095982196123e-12,0.0,1.087121929057674e-12,-2.594686155100205e-17,0,0,false,2.9820945536163767e-18
15.051064819832657,0.6274132917557749,tail2,8,5.254753865613876e-13,0.0,5.254869508166917e-13,-1.1564255304121762e-17,0,0,false,1.3432153207242411e-18
15.593332954827254,0.44476206890674924,tail2,8,2.930114868680618e-13,0.0,2.930175673317285e-13,-6.080463666738516e-18,0,0,false,7.117653163446555e-19
15.920579712995073,0.20245707258075143,tail2,8,2.0533591398660047e-13,0.0,2.0534003541470404e-13,-4.121428103551733e-18,0,0,false,4.845952993900757e-19
16.158840574009854,0.40491414516150287,tail3,8,1.582863493182133e-13,0.0,1.582894531480586e-13,-3.103829845290254e-18,0,0,false,3.660913054308345e-19
16.813334090345492,0.8895241378134985,tail3,8,7.701700159618923e-14,0.0,7.701842340353329e-14,-1.4218073440553957e-18,0,0,false,1.6907591943614774e-19
17.897870360334686,1.2548265835115497,tail3,8,2.2974624602083586e-14,0.0,2.2975012474656915e-14,-3.878725733285614e-19,0,0,false,4.669520145314045e-20
19.2662614300174,1.4507351335134477,tail3,8,4.874911826724184e-15,0.0,4.874986503080502e-15,-7.467635631852593e-20,0,0,false,9.113654218762926e-21
20.7337385699826,1.4507351335134477,tail3,8,9.020861097124503e-16,0.0,9.020987521179381e-16,-1.2642405487856516e-20,0,0,false,1.5626659998003551e-21
