mode_key,scan_rows,channel_rows,failed_rows,xi_count,xi_min,xi_max,xi_step,plot_count,has_antiquark_tau_fields,has_zeta_over_s,scan_csv,channel_diagnostics_csv,plot_manifest,scan_sha256,diagnostics_sha256
mode_a,909,38178,0,101,-0.5,0.5,0.01,36,True,True,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/phase_guided_transport_scan.csv,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/channel_diagnostics.csv,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/plot_manifest.json,d2379f7b44d22b632896690cb96c4d6e95f76d28c69f295248d0bea92b0b71ec,1261beca5da5305c2cd95a45fc38aa277d91ebe077f3fa91558d63c76c873d66
mode_b,909,38178,0,101,-0.5,0.5,0.01,36,True,True,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/phase_guided_transport_scan.csv,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/channel_diagnostics.csv,data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1/plot_manifest.json,8d4813ff88c581b777063a219cbca002a21506e995033c4f1ea64f269ce358b0,9ba789558cdec1b8175893a417ad3826f6c4f03a2ec679ec07bec10f7f24da42
