mode_key,mode,plot_panel,plot_series,species,observable,xi_left,xi_right,xi_mid,tau_left,tau_right,tau_ratio_right_over_left,tau_step_factor,tau_rel_step,log_step_abs,robust_z,phase_left,phase_right,phase_reference_left,phase_reference_right,phase_structure_left,phase_structure_right,seed_right,m_u_left,m_u_right,Phi_left,Phi_right
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,ubar,tau_ubar,0.31,0.32,0.315,0.016160000794673744,0.5887925203125869,36.43517892069968,36.43517892069968,0.9725539978223663,3.5955347617922158,3069.148688644679,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.45806281392290604,0.46723736981025676,0.6157037298653913,0.615168003313777
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,dbar,tau_dbar,0.31,0.32,0.315,0.016160000794673744,0.5887925203125869,36.43517892069968,36.43517892069968,0.9725539978223663,3.5955347617922158,3069.148688644679,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.45806281392290604,0.46723736981025676,0.6157037298653913,0.615168003313777
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,ubar,tau_ubar,0.3,0.31,0.305,0.5100770887596774,0.016160000794673744,0.03168148727081432,31.564174732453992,0.9683185127291857,3.452022766458128,2946.6146319055542,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44896291131603405,0.45806281392290604,0.6162397556097597,0.6157037298653913
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,dbar,tau_dbar,0.3,0.31,0.305,0.5100770887596774,0.016160000794673744,0.03168148727081432,31.564174732453992,0.9683185127291857,3.452022766458128,2946.6146319055542,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44896291131603405,0.45806281392290604,0.6162397556097597,0.6157037298653913
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,u,tau_u,0.31,0.32,0.315,0.06947228354085003,1.5549066295633045,22.381683029736774,22.381683029736774,0.9553206075400416,3.1082429024573273,3219.5085633156395,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.45806281392290604,0.46723736981025676,0.6157037298653913,0.615168003313777
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,d,tau_d,0.31,0.32,0.315,0.06947228354085003,1.5549066295633045,22.381683029736774,22.381683029736774,0.9553206075400416,3.1082429024573273,3219.5085633156395,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.45806281392290604,0.46723736981025676,0.6157037298653913,0.615168003313777
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,u,tau_u,0.3,0.31,0.305,1.4215715183095725,0.06947228354085003,0.04887005869635129,20.46242682484565,0.9511299413036487,3.0185903666295593,3126.624316979834,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44896291131603405,0.45806281392290604,0.6162397556097597,0.6157037298653913
mode_b,mode_b_fixed_T_sparse_muB,T200.0,muB450.0,d,tau_d,0.3,0.31,0.305,1.4215715183095725,0.06947228354085003,0.04887005869635129,20.46242682484565,0.9511299413036487,3.0185903666295593,3126.624316979834,quark,quark,crossover,crossover,no_transition,no_transition,phase_aware_continuity_quark,0.44896291131603405,0.45806281392290604,0.6162397556097597,0.6157037298653913
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,ubar,tau_ubar,-0.1,-0.09,-0.095,1.0489427646440979,7.532431212250795,7.180974468903953,7.180974468903953,0.8607431339116526,1.9714350937540774,164.62035731515397,hadron,hadron,first_order,crossover,first_order_possible,first_order_possible,phase_aware_continuity_hadron,0.6363819389966097,1.5626312331327308,0.2383850601135985,0.1291740982596078
mode_b,mode_b_fixed_T_sparse_muB,T120.0,muB900.0,dbar,tau_dbar,-0.1,-0.09,-0.095,1.0489427646440979,7.532431212250795,7.180974468903953,7.180974468903953,0.8607431339116526,1.9714350937540774,164.62035731515397,hadron,hadron,first_order,crossover,first_order_possible,first_order_possible,phase_aware_continuity_hadron,0.6363819389966097,1.5626312331327308,0.2383850601135985,0.1291740982596078
