T_MeV,mu_MeV,rho,xi,phi_u,phi_d,phi_s,Phi1,Phi2,mu_u_MeV,mu_d_MeV,mu_s_MeV
50.0,44.13627248563929,0.0,0.0,-1.8432945728205818,-1.8432945728205832,-2.2270091561170275,7.645817738249521e-6,4.180420500440944e-5,44.13627248563928,44.13627248563928,44.13627248563928
50.0,349.8860247645245,0.05,0.0,-1.817856113308361,-1.8178561133083606,-2.2234321409347113,0.006141959466819636,0.022142251855363795,349.8860247645245,349.8860247645245,349.8860247645245
50.0,359.3427183447382,0.1,0.0,-1.7922020579946862,-1.7922020579946827,-2.2198427327436834,0.009641743910499857,0.027742688985495437,359.3427183447383,359.3427183447383,359.3427183447383
50.0,364.00498305048694,0.15,0.0,-1.766323039094759,-1.7663230390947597,-2.216241006464985,0.012493970121277849,0.0315814077571634,364.0049830504869,364.0049830504869,364.0049830504869
50.0,366.70483266900436,0.2,0.0,-1.7402092295116907,-1.740209229511691,-2.2126270629622584,0.014966934242266455,0.0345673518363544,366.7048326690043,366.7048326690043,366.7048326690043
50.0,368.3300782879824,0.25,0.0,-1.71385031427997,-1.7138503142799668,-2.2090010328668876,0.0171739177581766,0.037030580215397096,368.3300782879824,368.3300782879824,368.3300782879824
50.0,369.27644055328375,0.3,0.0,-1.6872354603300859,-1.6872354603300874,-2.2053630809329463,0.019176861210782242,0.039133457411751164,369.27644055328375,369.27644055328375,369.27644055328375
50.0,369.89294931443123,0.4,0.0,-1.6331918181236222,-1.6331918181236222,-2.198052271343332,0.02271367257161611,0.0425982785188227,369.89294931443123,369.89294931443123,369.89294931443123
50.0,369.4463497897311,0.5,0.0,-1.5779800025390247,-1.577980002539027,-2.190696838769808,0.02576832440197508,0.04538456600293334,369.4463497897311,369.4463497897311,369.4463497897311
50.0,365.88474855126105,0.75,0.0,-1.434096192212101,-1.4340961922121014,-2.172136791928662,0.03190913566234994,0.05055144007280553,365.88474855126105,365.88474855126105,365.88474855126105
50.0,360.6076727402133,1.0,0.0,-1.2801542254420297,-1.280154225442025,-2.1534127135902996,0.03653825397860925,0.054168920110757676,360.6076727402133,360.6076727402133,360.6076727402133
50.0,354.7365782975665,1.25,0.0,-1.1135982358496195,-1.1135982358496166,-2.134722448120025,0.04011861124782111,0.056875057698495664,354.7365782975665,354.7365782975665,354.7365782975665
50.0,349.1282550545872,1.5,0.0,-0.9317645497691535,-0.9317645497691528,-2.116495992355811,0.04297834619363659,0.05905607381800501,349.1282550545872,349.1282550545872,349.1282550545872
50.0,344.94592657452193,1.75,0.0,-0.7345569962106124,-0.73455699621061,-2.099685067765398,0.045447800855113865,0.06106867756383648,344.9459265745219,344.9459265745219,344.9459265745219
50.0,344.15160983028426,2.0,0.0,-0.5347394049043181,-0.5347394049043157,-2.0861606584484367,0.04796441945231628,0.06340654174527482,344.1516098302842,344.1516098302842,344.1516098302842
50.0,348.45832909276606,2.25,0.0,-0.36885242234158494,-0.36885242234158666,-2.0777673550819817,0.05100025505672141,0.06655401998526009,348.4583290927661,348.4583290927661,348.4583290927661
50.0,356.6427607226955,2.5,0.0,-0.26014984168477423,-0.26014984168477334,-2.0735403621906867,0.05452604623688263,0.07039383001417285,356.6427607226955,356.6427607226955,356.6427607226955
50.0,366.3311507609073,2.75,0.0,-0.19421486220562229,-0.1942148622056213,-2.0711874190337216,0.05829266668619186,0.07459804145010607,366.3311507609073,366.3311507609073,366.3311507609073
50.0,376.2355201654959,3.0,0.0,-0.15241918122677783,-0.15241918122677733,-2.0694158361935884,0.062171075317728065,0.07894758980508947,376.2355201654959,376.2355201654959,376.2355201654959
60.0,37.48377582522048,0.0,0.0,-1.8432944190511418,-1.8432944190511409,-2.2270091266425456,4.837527088443492e-5,0.0001589630235447213,37.48377582522048,37.48377582522048,37.48377582522048
60.0,339.232749241807,0.05,0.0,-1.8183986190511991,-1.8183986190512,-2.2234410941541762,0.007487660618666962,0.028518201250055414,339.232749241807,339.232749241807,339.232749241807
60.0,350.89589220195285,0.1,0.0,-1.7932775614647263,-1.7932775614647287,-2.2198603604897227,0.011772582344764014,0.03576020218695134,350.89589220195285,350.89589220195285,350.89589220195285
60.0,356.8088590845595,0.15,0.0,-1.767922775224787,-1.7679227752247866,-2.216267044577793,0.01527894717998734,0.040739840221007614,356.8088590845595,356.8088590845595,356.8088590845595
60.0,360.3699163443443,0.2,0.0,-1.742325344487529,-1.7423253444875282,-2.2126612894183526,0.018331486900541507,0.044624786454920164,360.3699163443443,360.3699163443443,360.3699163443443
60.0,362.644272885713,0.25,0.0,-1.7164758739425128,-1.7164758739425168,-2.209043264388586,0.021066861787238562,0.047838655689588394,362.644272885713,362.644272885713,362.644272885713
60.0,364.1066142812926,0.3,0.0,-1.6903644589825044,-1.6903644589825035,-2.2054131689958125,0.023559531771741568,0.05058965345382675,364.10661428129254,364.10661428129254,364.10661428129254
60.0,365.50697795924515,0.4,0.0,-1.637313439588795,-1.6373134395887952,-2.1981177421166054,0.027987934315943742,0.0551387775424195,365.50697795924515,365.50697795924515,365.50697795924515
60.0,365.63963778237013,0.5,0.0,-1.5830816207039113,-1.5830816207039111,-2.190777386453691,0.031844205712445874,0.05881339471253189,365.63963778237013,365.63963778237013,365.63963778237013
60.0,363.05782997086,0.75,0.0,-1.4416445939517035,-1.4416445939517037,-2.1722537525633365,0.039704759905882195,0.0656697738210135,363.05782997086,363.05782997086,363.05782997086
60.0,358.4092399582917,1.0,0.0,-1.2902495344743592,-1.2902495344743616,-2.1535604094370417,0.04574856246573269,0.07050159027172315,358.4092399582918,358.4092399582918,358.4092399582918
60.0,352.9666973744954,1.25,0.0,-1.1264727391443656,-1.1264727391443674,-2.134879856301769,0.05050584355614285,0.07412482640151344,352.9666973744954,352.9666973744954,352.9666973744954
60.0,347.61697390120486,1.5,0.0,-0.9477115354508322,-0.9477115354508335,-2.116600918198704,0.05434949416458798,0.07702718888926405,347.61697390120486,347.61697390120486,347.61697390120486
60.0,343.47881387579497,1.75,0.0,-0.7534610318115066,-0.7534610318115067,-2.0995753098355796,0.05765956158649288,0.07965741111868782,343.47881387579497,343.47881387579497,343.47881387579497
60.0,342.3878786132339,2.0,0.0,-0.5544152205112437,-0.55441522051124,-2.085502458451724,0.06096226667329497,0.08261521060366368,342.38787861323397,342.38787861323397,342.38787861323397
60.0,346.17624715894453,2.25,0.0,-0.38461113656396606,-0.38461113656396545,-2.0762345997878406,0.06485387880695859,0.08653831660480119,346.17624715894453,346.17624715894453,346.17624715894453
60.0,353.98951934906535,2.5,0.0,-0.27075845834225787,-0.27075845834225903,-2.0710926886373953,0.06942357267936011,0.09141106400101214,353.98951934906535,353.98951934906535,353.98951934906535
