xi,T_MeV,cap,candidate_index,rho_low,rho_high,negative_secants,slope_before,slope_after,geometry_gate,oracle_status,simulated_status,reason
-0.5,5.0,48,1,0.10625,1.8625,286,0.6281599999965701,0.9710399999949211,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
-0.5,20.0,48,1,0.15,1.86875,277,0.8873599999969876,1.1479999999937556,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
-0.5,60.0,48,1,0.34375,1.9375,255,0.8115199999974749,0.6353600000056668,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,100.0,48,1,0.7,2.190625,240,0.2814399999988392,0.3107199999976464,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
-0.5,130.0,48,1,1.3,2.490625,192,0.07552000000032315,0.15040000000227283,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
0.0,5.0,48,1,0.23125,1.890625,268,0.4849600000034111,0.20543999999062798,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
0.0,20.0,48,1,0.259375,1.89375,264,0.31296000001020285,0.3031999999984756,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
0.0,60.0,48,1,0.4625,1.940625,237,0.25791999999455445,0.11039999999411364,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
0.0,100.0,48,1,0.8625,2.10625,199,0.18127999999705677,0.2672000000075211,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
0.0,120.0,48,1,1.29375,2.203125,148,0.072159999999714,0.05856000001586259,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
0.5,5.0,48,1,0.40625,1.7375,213,0.3300800000033644,0.010079999992740556,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
0.5,20.0,48,1,0.43125,1.74375,211,0.1657599999998629,0.196640000003751,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
0.5,60.0,48,1,0.6375,1.759375,181,0.23423999999977324,0.0624000000061633,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
0.5,90.0,48,1,0.98125,1.775,127,0.11247999999795906,0.05951999999524475,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
0.5,100.0,48,1,1.19375,1.74375,88,0.04848000000492834,0.03295999999863805,True,confirmed_first_order,confirmed_first_order,unique_candidate_geometry_gate
-0.5,5.0,96,1,0.10625,1.8625,300,0.6281599999965701,0.9710399999949211,False,ambiguous_near_critical,ambiguous_near_critical,maxwell_or_geometry_unresolved
