T_MeV,mu_MeV,xi,M_u_MeV,M_d_MeV,M_s_MeV,dM_u_dT,dM_d_dT,dM_s_dT,dM_u_dmu,dM_d_dmu,dM_s_dmu,dP_dT,dP_dmu,dEpsilon_dT,dEpsilon_dmu,dn_dT,dn_dmu,pressure_fm4,energy_fm4,entropy_fm3,rho_norm,converged
150.00,0.00,0.00,363.909334,363.909334,546.453381,-3.035097e-01,-3.035097e-01,-1.929164e-01,5.515684e-16,5.543341e-16,3.674076e-16,1.668448e-01,-1.439118e-18,2.117361e+00,-3.664841e-15,-9.937679e-16,7.617229e-03,2.161791e+01,-2.149108e+01,1.668448e-01,-0.000000,true
150.00,50.00,0.00,363.453557,363.453557,546.184966,-3.475445e-01,-3.475445e-01,-2.197904e-01,-1.982513e-02,-1.982513e-02,-1.167054e-02,1.832041e-01,6.836898e-03,2.415916e+00,1.147412e-01,4.634741e-02,1.190139e-02,2.161871e+01,-2.147771e+01,1.832041e-01,0.014244,true
160.00,0.00,0.00,-636.613829,-636.613829,367.471523,1.789851e-01,1.789851e-01,-2.862035e-01,1.017642e-18,1.239354e-18,-1.804509e-18,1.544577e-01,-9.175402e-19,2.163972e+00,1.607675e-17,8.830381e-18,6.173483e-03,1.784846e+01,-1.772322e+01,1.544577e-01,0.000000,true
160.00,50.00,0.00,-636.385013,-636.385013,367.105616,2.019744e-01,2.019744e-01,-3.230026e-01,9.853076e-03,9.853076e-03,-1.575729e-02,1.680107e-01,5.433254e-03,2.441221e+00,9.968962e-02,3.811000e-02,9.191009e-03,1.784910e+01,-1.771149e+01,1.680107e-01,0.011319,true
