mode,case_slug,result_manifest_sha256,scan_sha256,diagnostics_sha256,figure_manifest_sha256,scan_rows,diagnostic_rows,quality_ok_rows,quality_warning_rows,numerical_status,registry_status,calculation_sha,workflow_head_sha
mode_a_fixed_muB_phase_scaled,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,3d0a91170a62f570e119d1189d8e79526c008a1a77a94464772d53c3ca9e5f72,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,6eaf02101e330762569d028fe1398c94184e243ea6d7e39a8db69718a6e4e246,eed426abfc592a7842d6124b1dbe86fb3394c6cd58a7e29b2be69335790180c7,910,38220,680,230,diagnostic_only,approved,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571
mode_b_fixed_T_sparse_muB,first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,093ff05502f63515ac70b1a3e992971ecbc649c343bc7e591fa4fb1b8fc54921,3b73b937f1f09cf7112b3a42219088f98b852e5ef0354174b66f71823f7bb29c,ada5d7c204a02e705cfbb5744bedbcc68158d54cce55faa0c8b92d0ba50d0d0f,fbb216a45db2fa8c3a819a1e97f129821752972e7bc70db2a75360e9e69d9b77,909,38178,669,240,diagnostic_only,approved,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,22874505877491754eed27519ad8a7b871c82571
