muB_MeV,xi,mode,alpha_T,T_MeV_candidate,T_MeV_legacy,muq_MeV_candidate,muq_MeV_legacy,phase_reference_kind_candidate,phase_reference_kind_legacy,phase_structure_candidate,phase_structure_legacy,quality_reason_candidate,quality_reason_legacy,eta_over_s_candidate,eta_over_s_legacy,eta_over_s_abs_diff,eta_over_s_rel_diff,sigma_over_T_candidate,sigma_over_T_legacy,sigma_over_T_abs_diff,sigma_over_T_rel_diff,zeta_over_s_candidate,zeta_over_s_legacy,zeta_over_s_abs_diff,zeta_over_s_rel_diff,tau_u_candidate,tau_u_legacy,tau_u_abs_diff,tau_u_rel_diff,tau_d_candidate,tau_d_legacy,tau_d_abs_diff,tau_d_rel_diff,tau_s_candidate,tau_s_legacy,tau_s_abs_diff,tau_s_rel_diff,tau_ubar_candidate,tau_ubar_legacy,tau_ubar_abs_diff,tau_ubar_rel_diff,tau_dbar_candidate,tau_dbar_legacy,tau_dbar_abs_diff,tau_dbar_rel_diff,tau_sbar_candidate,tau_sbar_legacy,tau_sbar_abs_diff,tau_sbar_rel_diff
150.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,50.0,50.0,crossover,crossover,no_transition,no_transition,ok,ok,0.1179498498918219,0.11797313281054668,2.328291872477628e-05,0.0001973578065623329,0.012776127602695147,0.012766295747792427,9.831854902719872e-06,0.0007701415584407102,0.020931955523494472,0.0209651554623056,3.319993881112718e-05,0.001583577039093231,0.7519855554417726,0.7520132143123308,2.765887055822258e-05,3.6779766674066885e-05,0.7519855554417726,0.7520132143123308,2.765887055822258e-05,3.6779766674066885e-05,1.2937502050214664,1.295217295490022,0.001467090468555643,0.0011326983307465763,0.5127551742710749,0.5126740362230554,8.11380480194579e-05,0.0001582643985976231,0.5127551742710749,0.5126740362230554,8.11380480194579e-05,0.0001582643985976231,0.9753331037391054,0.9764860047457942,0.0011529010066887446,0.001180663113537276
150.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,50.0,50.0,crossover,crossover,no_transition,no_transition,ok,ok,0.10399898453311876,0.10402147357366881,2.2489040550049966e-05,0.00021619613506170007,0.016026484365988185,0.016019486927256715,6.997438731469463e-06,0.00043680791795918967,0.008703996784719233,0.00873231697828844,2.832019356920762e-05,0.0032431476822957083,0.7115686316071985,0.7116257673410945,5.7135733895985474e-05,8.028901779297058e-05,0.7115686316071985,0.7116257673410945,5.7135733895985474e-05,8.028901779297058e-05,0.8000818386483884,0.8007037482403917,0.0006219095920032558,0.000776703735145427,0.5225154760491867,0.5224781324358377,3.73436133489502e-05,7.147402164919531e-05,0.5225154760491867,0.5224781324358377,3.73436133489502e-05,7.147402164919531e-05,0.599615041459815,0.6000463469965516,0.00043130553673653704,0.0007187870385269019
150.0,0.0,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,50.0,50.0,crossover,crossover,crossover_possible,crossover_possible,ok,ok,0.1821291551210158,0.1829933167385478,0.0008641616175319999,0.004722367094786709,0.015976588060229766,0.01601708201291804,4.0493952688274576e-05,0.0025281729003831994,0.06094994925737402,0.061435165137983506,0.0004852158806094853,0.007898015404039192,1.6690247623803025,1.6782510432467224,0.009226280866419856,0.005497557057119902,1.6690247623803025,1.6782510432467224,0.009226280866419856,0.005497557057119902,2.3725420249698046,2.3834577281032603,0.01091570313345569,0.004579776265695441,1.2584050859394216,1.265876582714505,0.007471496775083519,0.005902231605439672,1.2584050859394216,1.265876582714505,0.007471496775083519,0.005902231605439672,1.9604236125539118,1.9703846160461145,0.009961003492202636,0.0050553599592098675
150.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,50.0,50.0,crossover,crossover,no_transition,no_transition,ok,ok,0.08396416749754924,0.08398203622136376,1.7868723814512544e-05,0.00021276840403599325,0.011282141841961434,0.011276871694637522,5.270147323911678e-06,0.0004673412508912188,0.009954313844440241,0.009969156931464527,1.4843087024285842e-05,0.0014889009297705284,0.6966068045799654,0.696712774863844,0.00010597028387859808,0.00015210038871370983,0.6966068045799654,0.696712774863844,0.00010597028387859808,0.00015210038871370983,0.9677484395765318,0.9686391727582829,0.0008907331817511466,0.0009195717113264247,0.5107447125872574,0.5107474504090362,2.7378217788420756e-06,5.360421822271396e-06,0.5107447125872574,0.5107474504090362,2.7378217788420756e-06,5.360421822271396e-06,0.7417907197093374,0.742457419726311,0.0006667000169735537,0.0008979639764652317
150.0,0.5,mode_a_fixed_muB_phase_scaled,1.0,198.2066818967471,198.12550509377107,50.0,50.0,crossover,crossover,crossover_possible,crossover_possible,ok,ok,0.2594601133689984,0.26044704473830116,0.0009869313693027792,0.00378937442079427,0.01779915469537353,0.017827051693559925,2.789699818639413e-05,0.0015648688670416545,0.08653659204632484,0.0869823244138205,0.00044573236749566314,0.005124401658606875,3.048363155715429,3.0621244484273804,0.013761292711951256,0.004494034433844994,3.048363155715429,3.0621244484273804,0.013761292711951256,0.004494034433844994,3.9478190126589165,3.96285370860301,0.015034695944093457,0.003793906373948259,2.398521138678876,2.4097892850123093,0.011268146333433204,0.004675988229973247,2.398521138678876,2.4097892850123093,0.011268146333433204,0.004675988229973247,3.382211807445847,3.395690040143052,0.013478232697205161,0.003969217607575678
150.0,0.5,mode_a_fixed_muB_phase_scaled,1.2,237.84801827609652,237.75060611252528,50.0,50.0,crossover,crossover,no_transition,no_transition,ok,ok,0.07456953810472267,0.07459192616602982,2.2388061307151985e-05,0.000300140544129665,0.009184467177801704,0.009180469834088382,3.9973437133220685e-06,0.0004354182068633749,0.009454084375154269,0.009465990538457977,1.1906163303708125e-05,0.0012577831401094615,0.7016641201197558,0.7018656708670281,0.0002015507472723499,0.0002871642760691948,0.7016641201197558,0.7018656708670281,0.0002015507472723499,0.0002871642760691948,1.090681848161622,1.091811307465648,0.0011294593040258594,0.0010344821456810165,0.5145109362655058,0.5145844180879439,7.348182243804846e-05,0.0001427983822578363,0.5145109362655058,0.5145844180879439,7.348182243804846e-05,0.0001427983822578363,0.8457552776290967,0.846613848373294,0.0008585707441972623,0.0010141231989613006
450.0,-0.5,mode_a_fixed_muB_phase_scaled,1.0,182.76306553605758,182.76306553605758,150.0,150.0,crossover,crossover,no_transition,no_transition,ok,ok,0.21901584017314724,0.21901584017314724,0.0,0.0,0.023090509828232884,0.023090509828232884,0.0,0.0,0.04668325246035852,0.04668325246035852,0.0,0.0,1.294872794718913,1.294872794718913,0.0,0.0,1.294872794718913,1.294872794718913,0.0,0.0,1.9075438816347525,1.9075438816347525,0.0,0.0,0.3900982914065806,0.3900982914065806,0.0,0.0,0.3900982914065806,0.3900982914065806,0.0,0.0,0.864431699480825,0.864431699480825,0.0,0.0
450.0,-0.5,mode_a_fixed_muB_phase_scaled,1.2,219.31567864326908,219.31567864326908,150.0,150.0,crossover,crossover,no_transition,no_transition,ok,ok,0.17160880836504308,0.17160880836504308,0.0,0.0,0.0244849013983221,0.0244849013983221,0.0,0.0,0.01943021519559345,0.01943021519559345,0.0,0.0,1.0885406279326606,1.0885406279326606,0.0,0.0,1.0885406279326606,1.0885406279326606,0.0,0.0,1.2496567326658234,1.2496567326658234,0.0,0.0,0.4090698476905211,0.4090698476905211,0.0,0.0,0.4090698476905211,0.4090698476905211,0.0,0.0,0.5231796007325612,0.5231796007325612,0.0,0.0
450.0,0.0,mode_a_fixed_muB_phase_scaled,1.0,182.76306553605758,182.76306553605758,150.0,150.0,crossover,crossover,crossover_possible,crossover_possible,ok,ok,0.30543444170447565,0.30543444170447565,0.0,0.0,0.024898638060212686,0.024898638060212686,0.0,0.0,0.12807649902876242,0.12807649902876242,0.0,0.0,2.6129110519832146,2.6129110519832146,0.0,0.0,2.6129110519832146,2.6129110519832146,0.0,0.0,3.187336547052622,3.187336547052622,0.0,0.0,1.1341815076014519,1.1341815076014519,0.0,0.0,1.1341815076014519,1.1341815076014519,0.0,0.0,1.9477237226081323,1.9477237226081323,0.0,0.0
450.0,0.0,mode_a_fixed_muB_phase_scaled,1.2,219.31567864326908,219.31567864326908,150.0,150.0,crossover,crossover,no_transition,no_transition,ok,ok,0.13614329662798716,0.13614329662798716,0.0,0.0,0.017005728268691397,0.017005728268691397,0.0,0.0,0.019553365011865016,0.019553365011865016,0.0,0.0,1.0732332760826906,1.0732332760826906,0.0,0.0,1.0732332760826906,1.0732332760826906,0.0,0.0,1.4649926986964608,1.4649926986964608,0.0,0.0,0.40099959750108377,0.40099959750108377,0.0,0.0,0.40099959750108377,0.40099959750108377,0.0,0.0,0.666178024003442,0.666178024003442,0.0,0.0
