target_id,xi,target_mu_MeV,mu_CEP_proxy_MeV,T_crossover_MeV,rho_crossover,derivative_peak,found,status,finite_and_converged,runner_seconds,estimated_detector_calls
crossover_xi_0_fraction_1,0.0,290.01341628501734,291.19540870457195,131.66836842013058,1.9525896242598444,683.530336010313,True,crossover_candidate,True,21.898673132,35
crossover_xi_0_fraction_2,0.0,290.60441249479464,291.19540870457195,131.33627090750227,1.9595349398224249,1436.046465824975,True,crossover_candidate,True,13.33117017,35
crossover_xi_0p0125_fraction_1,0.0125,291.04539643891815,292.82437557624047,131.5815893217498,1.966641004970375,436.9028855358688,True,crossover_candidate,True,19.801624037,35
crossover_xi_0p0125_fraction_2,0.0125,291.9348860075793,292.82437557624047,131.07608422295922,1.9703151954055145,853.7817058440626,True,crossover_candidate,True,20.336010342,35
crossover_xi_0p025_fraction_1,0.025,292.0789155874181,294.43061576277364,131.4752494322982,1.9373735219469326,323.9561708293274,True,crossover_candidate,True,50.284386002,37
crossover_xi_0p025_fraction_2,0.025,293.2547656750959,294.43061576277364,130.81001893144824,1.9578179734469872,633.12624344264,True,crossover_candidate,True,19.268671412,37
crossover_xi_0p03125_fraction_1,0.03125,292.6094022211812,295.2785121121419,131.41947134667666,1.9473114051590428,289.6971792549399,True,crossover_candidate,True,28.344873218,37
crossover_xi_0p03125_fraction_2,0.03125,293.94395716666156,295.2785121121419,130.6549234432479,1.9444880121585932,578.8053140972983,True,crossover_candidate,True,27.960153785,37
crossover_xi_0p0375_fraction_1,0.0375,293.13618070631856,296.12021793150063,131.35546705775945,1.9346988866203914,260.48519310292795,True,crossover_candidate,True,36.15308139,37
crossover_xi_0p0375_fraction_2,0.0375,294.6281993189096,296.12021793150063,130.4955172255413,1.9108138069771494,515.4450513004487,True,crossover_candidate,True,24.96668552,37
crossover_xi_0p04375_fraction_1,0.04375,293.6592839419037,296.95578979107665,131.30215880037065,1.9462797610157017,237.3040910908494,True,crossover_candidate,True,19.619147921,37
crossover_xi_0p04375_fraction_2,0.04375,295.3075368664902,296.95578979107665,130.34910682088605,1.936872682194591,480.99745359089866,True,crossover_candidate,True,19.111110272,37
crossover_xi_0p05_fraction_1,0.05,294.12662554315693,297.6810400317263,131.26969947680317,1.9375157913180088,214.5339955825331,True,crossover_candidate,True,19.455824859,37
crossover_xi_0p05_fraction_2,0.05,295.9038327874416,297.6810400317263,130.23735694217117,1.9134626552849558,421.73926559049505,True,crossover_candidate,True,19.386592856,37
crossover_xi_0p0625_fraction_1,0.0625,295.15546253074285,299.3234072989634,131.15297135902367,1.93437597230048,184.15576314317047,True,crossover_candidate,True,22.851472994,39
crossover_xi_0p0625_fraction_2,0.0625,297.2394349148531,299.3234072989634,129.93507714112596,1.9138944342047355,366.46428090923683,True,crossover_candidate,True,15.662976089,39
crossover_xi_0p075_fraction_1,0.075,296.1193332578375,300.8405118420086,131.070225640633,1.9360374853904656,159.39236988454576,True,crossover_candidate,True,16.308987903,39
crossover_xi_0p075_fraction_2,0.075,298.47992254992306,300.8405118420086,129.68357849048664,1.923919101408839,309.94005621003316,True,crossover_candidate,True,16.462382511,39
crossover_xi_0p0875_fraction_1,0.0875,297.1207748451721,302.4373337357471,130.95224621541516,1.9271102063933365,141.7887329492116,True,crossover_candidate,True,19.649419696,39
crossover_xi_0p0875_fraction_2,0.0875,299.7790542904596,302.4373337357471,129.37414075450602,1.89505626618675,276.60614945411373,True,crossover_candidate,True,23.11285176,39
crossover_xi_0p1125_fraction_1,0.1125,299.0828846923266,305.5628315633134,130.72176534727612,1.91316793968297,115.77528922500326,True,crossover_candidate,True,18.977676761,39
crossover_xi_0p1125_fraction_2,0.1125,302.32285812782,305.5628315633134,128.78091742072476,1.892382502563465,225.12485352817262,True,crossover_candidate,True,15.112390594,39
crossover_xi_0p125_fraction_1,0.125,300.0921229617145,307.1884846886959,130.58152270907826,1.907765106652727,106.60419446280281,True,crossover_candidate,True,20.999652168,41
crossover_xi_0p125_fraction_2,0.125,303.6403038252052,307.1884846886959,128.43590947955872,1.8774408463494514,209.03855766738724,True,crossover_candidate,True,14.840859921,41
crossover_xi_0p13125_fraction_1,0.13125,300.51972327708893,307.8488691498111,130.55551152767137,1.9065922005557259,101.58419198535891,True,crossover_candidate,True,29.813360506,41
crossover_xi_0p13125_fraction_2,0.13125,304.18429621345,307.8488691498111,128.3344304062151,1.8776708935736766,195.92155208686358,True,crossover_candidate,True,34.235077599,41
crossover_xi_0p1375_fraction_1,0.1375,300.9922048482012,308.600070955756,130.50008655047392,1.903758096228616,97.56082559866633,True,crossover_candidate,True,35.85938658,41
crossover_xi_0p1375_fraction_2,0.1375,304.79613790197857,308.600070955756,128.18868858709033,1.8769098047441384,187.52869444109706,True,crossover_candidate,True,20.201953495,41
crossover_xi_0p14375_fraction_1,0.14375,301.46150039945263,309.3459442306198,130.4490173444132,1.9044739168070586,93.83429633633877,True,crossover_candidate,True,22.091783037,41
crossover_xi_0p14375_fraction_2,0.14375,305.40372231503625,309.3459442306198,128.04195761425268,1.8736283514505931,179.70824602957296,True,crossover_candidate,True,56.728475257,41
crossover_xi_0p15_fraction_1,0.15,301.9276366938137,310.08653387191225,130.39500163871682,1.9021980265326275,90.36390261497128,True,crossover_candidate,True,22.523612553,41
crossover_xi_0p15_fraction_2,0.15,306.007085282863,310.08653387191225,127.89621579512792,1.8712417416452578,172.38871618500062,True,crossover_candidate,True,20.207641204,41
crossover_xi_0p1625_fraction_1,0.1625,302.89667611489926,311.644301866571,130.25788249900663,1.8953286743966498,84.50406216495377,True,crossover_candidate,True,19.981303248,41
crossover_xi_0p1625_fraction_2,0.1625,307.27048899073515,311.644301866571,127.5584777356867,1.860508683210911,161.5881157313103,True,crossover_candidate,True,19.811329022,41
crossover_xi_0p175_fraction_1,0.175,303.8066448940217,313.08792145874577,130.1534655323938,1.891588339839569,78.95429084795138,True,crossover_candidate,True,21.01197489,41
crossover_xi_0p175_fraction_2,0.175,308.44728317638373,313.08792145874577,127.26649241383024,1.8506038982297004,149.5072535738416,True,crossover_candidate,True,17.976557239,41
crossover_xi_0p1875_fraction_1,0.1875,304.7493378992675,314.60087733505475,130.01982014444062,1.884950060972514,74.34587792649424,True,crossover_candidate,True,16.399790205,41
crossover_xi_0p1875_fraction_2,0.1875,309.67510761716113,314.60087733505475,126.93445765352176,1.842783610134956,140.61261697215838,True,crossover_candidate,True,42.753974585,41
crossover_xi_0p1_fraction_1,0.1,298.10854400737855,304.01130777497764,130.83968665073672,1.9238399928512302,127.51260233060893,True,crossover_candidate,True,16.225962507,39
crossover_xi_0p1_fraction_2,0.1,301.0599258911781,304.01130777497764,129.07947298405546,1.9004552790522264,248.84067255734064,True,crossover_candidate,True,18.913915669,39
crossover_xi_0p225_fraction_1,0.225,307.45663159205463,318.9204411042932,129.66853062249527,1.8735329164668173,62.85605633556893,True,crossover_candidate,True,62.886263105,43
crossover_xi_0p225_fraction_2,0.225,313.1885363481739,318.9204411042932,125.99698635953797,1.8231854041354627,116.59612079989071,True,crossover_candidate,True,27.348306737,43
crossover_xi_0p25_fraction_1,0.25,321.6280751668769,321.8347517075805,120.96987074633057,1.800770862370878,2072.142933108148,True,crossover_candidate,True,15.06389216,33
crossover_xi_0p25_fraction_2,0.25,321.7314134372287,321.8347517075805,120.88825137410446,1.6791360742080848,1377.8356763978238,True,crossover_candidate,True,18.943666354,33
crossover_xi_0p2625_fraction_1,0.2625,322.51444558430774,323.21784527202306,120.78777246084519,1.7622153265436855,872.5125781127402,True,crossover_candidate,True,19.198634764,33
crossover_xi_0p2625_fraction_2,0.2625,322.8661454281654,323.21784527202306,120.51342987879025,1.6772847284489134,893.4975571941127,True,crossover_candidate,True,19.86813722,33
crossover_xi_0p275_fraction_1,0.275,323.42425348349286,324.66065742413326,120.57508818063971,1.7256129929577195,491.83297723769226,True,crossover_candidate,True,19.494106431,35
crossover_xi_0p275_fraction_2,0.275,324.0424554538131,324.66065742413326,120.11002327567981,1.7838796346027268,831.0059668628946,True,crossover_candidate,True,18.903393344,35
crossover_xi_0p2875_fraction_1,0.2875,324.18034245337685,326.0019695332096,120.48350289599045,1.7417059623861224,321.83965380418823,True,crossover_candidate,True,19.566417431,37
crossover_xi_0p2875_fraction_2,0.2875,325.0911559932932,326.0019695332096,119.77888518981126,1.7324809084822494,640.1918912589092,True,crossover_candidate,True,27.705661185,37
crossover_xi_0p2_fraction_1,0.2,305.63476779633106,316.00308080198874,129.91803063830605,1.8809112353697333,69.94241966519692,True,crossover_candidate,True,19.615776496,41
crossover_xi_0p2_fraction_2,0.2,310.8189242991599,316.00308080198874,126.6492278056377,1.8372633239329246,130.8466003702868,True,crossover_candidate,True,27.353852757,41
crossover_xi_0p30625_fraction_1,0.30625,325.6035504305096,328.09229904805244,120.107065476884,1.7381788440538621,232.6719420933692,True,crossover_candidate,True,32.308912641,37
crossover_xi_0p30625_fraction_2,0.30625,326.847924739281,328.09229904805244,119.12835926754535,1.728921268587238,458.2208663278644,True,crossover_candidate,True,19.519805284,37
crossover_xi_0p3125_fraction_1,0.3125,326.06641463568116,328.83514694681367,119.98123044375893,1.725972613845067,212.49098203378625,True,crossover_candidate,True,19.136679117,37
crossover_xi_0p3125_fraction_2,0.3125,327.45078079124744,328.83514694681367,118.8911261301883,1.7244354087101175,425.23504145785563,True,crossover_candidate,True,14.947276945,37
crossover_xi_0p31875_fraction_1,0.31875,326.4691197797549,329.4584947629787,119.90417811381525,1.7222772694046724,191.58630087680484,True,crossover_candidate,True,18.60587678,39
crossover_xi_0p31875_fraction_2,0.31875,327.9638072713668,329.4584947629787,118.72432089819964,1.7247299103564766,371.88848844440696,True,crossover_candidate,True,19.522671922,39
crossover_xi_0p325_fraction_1,0.325,326.89726031579914,330.1335225521384,119.81075460749695,1.7268089835401557,175.80285131965843,True,crossover_candidate,True,29.643794741,39
crossover_xi_0p325_fraction_2,0.325,328.5153914339688,330.1335225521384,118.52001743077864,1.7121762341965665,341.6495030162712,True,crossover_candidate,True,36.901511675,39
crossover_xi_0p3375_fraction_1,0.3375,327.78110045181836,331.5410716252949,119.58741374410774,1.7193684710557149,151.9976252482472,True,crossover_candidate,True,15.787078765,39
crossover_xi_0p3375_fraction_2,0.3375,329.6610860385566,331.5410716252949,118.07044362632878,1.6961838284562354,297.2528235028511,True,crossover_candidate,True,21.07138348,39
crossover_xi_0p35_fraction_1,0.35,328.6155514126001,332.8530007734056,119.39734264678856,1.714116059466788,132.4411295057749,True,crossover_candidate,True,21.349581164,39
crossover_xi_0p35_fraction_2,0.35,330.73427609300285,332.8530007734056,117.66897856743662,1.6830755425725374,253.9588952974301,True,crossover_candidate,True,19.361071154,39
