level,targeted_additions,status,reason,candidate_count,candidate_mu,candidate_area,rho_hadron,rho_quark,endpoint_dependent,bracket_low,bracket_high,bracket_width,positive_rho_bracket,position_error_MeV,density_error,geometry_converged,unique_solves,solver_failures
0,0,first_order,unique_three_crossing_candidate,1,331.55028067778716,2.927748907897092e-6,0.0009155747459987783,2.803740118625389,true,0.0,0.003125,0.003125,false,,,false,1281,0
1,1,first_order,unique_three_crossing_candidate,1,331.5624632610687,-3.48633954401384e-6,0.000469248602312438,2.8040645654697944,true,0.0,0.0015625,0.0015625,false,0.01218258328151478,0.0004463261436863403,true,1282,0
2,2,first_order,unique_three_crossing_candidate,1,331.56837476757323,6.024695375883437e-7,0.00024045829896287695,2.8042220008500225,true,0.0,0.00078125,0.00078125,false,0.005911506504560293,0.00022879030334956106,true,1283,0
3,3,first_order,unique_three_crossing_candidate,1,331.57124276855666,1.3726533012954937e-6,0.00012324500396496954,2.804298381519649,true,0.0,0.000390625,0.000390625,false,0.0028680009834261,0.00011721329499790741,true,1284,0
4,4,first_order,unique_three_crossing_candidate,1,331.57263396306354,-1.8850591161755064e-6,6.31951134722602e-5,2.8043354318444678,true,0.0,0.0001953125,0.0001953125,false,0.001391194506879856,6.0049890492709337e-5,true,1285,0
5,5,first_order,unique_three_crossing_candidate,1,331.5733060170253,5.259568401676277e-7,3.242171494660267e-5,2.8043533300013794,true,0.0,9.765625e-5,9.765625e-5,false,0.0006720539617504073,3.077339852565753e-5,true,1286,0
6,6,first_order,unique_three_crossing_candidate,1,331.57363134251,6.411681745598963e-7,1.6644154470901458e-5,2.8043619940773374,true,0.0,4.8828125e-5,4.8828125e-5,false,0.0003253254847095377,1.5777560475701215e-5,true,1287,0
7,7,first_order,unique_three_crossing_candidate,1,331.57378972465386,-2.914613846940478e-6,8.550406269939304e-6,2.804366212114317,true,0.0,2.44140625e-5,2.44140625e-5,false,0.0001583821438657651,8.093748200962155e-6,true,1288,0
8,8,first_order,unique_three_crossing_candidate,1,331.5738646351273,-5.35331789526396e-7,4.395751766402138e-6,2.8043682071318066,true,0.0,1.220703125e-5,1.220703125e-5,false,7.491047341545709e-5,4.1546545035371655e-6,true,1289,0
9,9,first_order,unique_three_crossing_candidate,1,331.57390102021435,-2.8797223870686246e-7,2.261619190242834e-6,2.804369176140301,true,0.0,6.103515625e-6,6.103515625e-6,false,3.638508707126675e-5,2.134132576159304e-6,true,1290,0
10,10,first_order,unique_three_crossing_candidate,1,331.5739181426083,8.524825801516051e-7,1.1645889708652175e-6,2.8043696321442995,true,0.0,3.0517578125e-6,3.0517578125e-6,false,1.7122393956015003e-5,1.0970302193776167e-6,true,1291,0
11,11,first_order,unique_three_crossing_candidate,1,331.5739267038053,4.2434300886877677e-7,6.002233605475955e-7,2.8043698601462985,true,0.0,1.52587890625e-6,1.52587890625e-6,false,8.561196978007501e-6,5.64365610317622e-7,true,1292,0
12,12,first_order,unique_three_crossing_candidate,1,331.5739309844038,-2.9237516382062305e-7,3.096454379960572e-7,2.8043699741472983,true,0.0,7.62939453125e-7,7.62939453125e-7,false,4.280598489003751e-6,2.905779225515383e-7,true,1293,0
